Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MAIO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.706 ; 2.187.366.831 ; 22.452 ; 2.346.604.240 ; 17.968 ; 5.943.182.231 ; 30.331 ; 6.685.313.738 ; 76.457 ; 17.162.467.040 ; 705 ; 6.022.038.033 ; 585 ; 3.236.202.199 ; 1.290 ; 9.258.240.231 ; 77.747 ; 26.420.707.272 
2;33.479.023;BANCO CITIBANK S.A.; 1.420 ; 1.346.816.703 ; 6.993 ; 1.697.164.603 ; 7.179 ; 6.175.866.040 ; 10.544 ; 8.376.123.189 ; 26.136 ; 17.595.970.535 ; 381 ; 3.665.647.508 ; 367 ; 2.569.388.202 ; 748 ; 6.235.035.710 ; 26.884 ; 23.831.006.244 
3;60.746.948;BANCO BRADESCO S.A.; 7.982 ; 5.039.303.709 ; 20.595 ; 2.674.187.675 ; 43.118 ; 3.867.755.675 ; 28.461 ; 5.417.436.974 ; 100.156 ; 16.998.684.033 ; 582 ; 2.400.154.339 ; 630 ; 3.168.311.088 ; 1.212 ; 5.568.465.427 ; 101.368 ; 22.567.149.460 
4;60.701.190;ITAÚ UNIBANCO S.A.; 7.653 ; 1.506.269.681 ; 15.645 ; 1.561.713.358 ; 35.590 ; 6.846.569.912 ; 31.991 ; 5.011.050.303 ; 90.879 ; 14.925.603.254 ; 269 ; 3.630.379.788 ; 254 ; 2.248.122.437 ; 523 ; 5.878.502.225 ; 91.402 ; 20.804.105.479 
5;33.172.537;BANCO J.P. MORGAN S.A.; 332 ; 651.162.498 ; 2.514 ; 669.687.996 ; 1.046 ; 6.141.331.119 ; 2.218 ; 6.053.233.926 ; 6.110 ; 13.515.415.539 ; 258 ; 1.546.707.145 ; 278 ; 3.229.542.630 ; 536 ; 4.776.249.775 ; 6.646 ; 18.291.665.314 
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 24 ; 199.374.005 ; 255 ; 53.133.686 ; 204 ; 976.926.590 ; 398 ; 1.829.883.373 ; 881 ; 3.059.317.654 ; 189 ; 7.452.563.885 ; 142 ; 6.394.506.969 ; 331 ; 13.847.070.854 ; 1.212 ; 16.906.388.508 
7;00.000.000;BANCO DO BRASIL S.A.; 7.948 ; 5.196.781.524 ; 9.844 ; 1.860.391.476 ; 18.331 ; 1.250.629.044 ; 28.306 ; 1.871.628.315 ; 64.429 ; 10.179.430.359 ; 293 ; 435.494.648 ; 368 ; 3.473.423.893 ; 661 ; 3.908.918.540 ; 65.090 ; 14.088.348.899 
8;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 129 ; 101.542.262 ; 505 ; 73.154.337 ; 526 ; 858.292.145 ; 539 ; 545.111.699 ; 1.699 ; 1.578.100.443 ; 546 ; 3.811.873.141 ; 540 ; 3.766.531.704 ; 1.086 ; 7.578.404.845 ; 2.785 ; 9.156.505.288 
9;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 2 ; 106.849 ; 2 ; 732.870 ; 245 ; 2.204.681.280 ; 234 ; 2.266.989.944 ; 483 ; 4.472.510.943 ; 38 ; 2.291.544.524 ; 44 ; 2.162.716.445 ; 82 ; 4.454.260.969 ; 565 ; 8.926.771.912 
10;30.306.294;BANCO BTG PACTUAL S.A.; 14 ; 47.443.673 ; 93 ; 50.620.570 ; 322 ; 455.880.813 ; 564 ; 519.417.294 ; 993 ; 1.073.362.349 ; 95 ; 2.481.919.499 ; 111 ; 2.914.456.990 ; 206 ; 5.396.376.488 ; 1.199 ; 6.469.738.838 
11;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 194 ; 349.082.175 ; 1.120 ; 232.427.002 ; 868 ; 1.859.751.091 ; 1.873 ; 1.808.771.029 ; 4.055 ; 4.250.031.297 ; 396 ; 648.434.829 ; 395 ; 821.370.244 ; 791 ; 1.469.805.074 ; 4.846 ; 5.719.836.371 
12;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 129 ; 317.192.342 ; 329 ; 141.157.623 ; 326 ; 1.595.404.674 ; 1.609 ; 1.734.386.664 ; 2.393 ; 3.788.141.303 ; 113 ; 715.877.868 ; 76 ; 787.614.947 ; 189 ; 1.503.492.815 ; 2.582 ; 5.291.634.118 
13;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 24 ; 81.868.816 ; 177 ; 93.913.553 ; 108 ; 795.803.190 ; 286 ; 1.485.659.442 ; 595 ; 2.457.245.001 ; 228 ; 1.678.315.952 ; 333 ; 1.132.570.317 ; 561 ; 2.810.886.269 ; 1.156 ; 5.268.131.270 
14;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 25 ; 69.203.355 ; 11 ; 7.275.962 ; 44 ; 123.251.500 ; 48 ; 9.466.914 ; 128 ; 209.197.732 ; 124 ; 1.861.055.340 ; 141 ; 2.033.034.067 ; 265 ; 3.894.089.407 ; 393 ; 4.103.287.138 
15;02.801.938;BANCO MORGAN STANLEY S.A.; 2 ; 197.000.000 ;;; 611 ; 1.019.410.707 ; 646 ; 1.118.951.845 ; 1.259 ; 2.335.362.552 ; 29 ; 584.157.725 ; 28 ; 758.162.008 ; 57 ; 1.342.319.734 ; 1.316 ; 3.677.682.286 
16;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 285 ; 1.210.114.919 ; 213 ; 607.548.785 ; 498 ; 1.817.663.704 ; 9 ; 256.209.510 ; 31 ; 1.255.198.706 ; 40 ; 1.511.408.216 ; 538 ; 3.329.071.919 
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 158 ; 422.267.706 ; 714 ; 245.981.007 ; 333 ; 563.961.602 ; 716 ; 637.010.538 ; 1.921 ; 1.869.220.853 ; 81 ; 598.450.650 ; 81 ; 782.954.431 ; 162 ; 1.381.405.081 ; 2.083 ; 3.250.625.934 
18;49.336.860;ING BANK N.V.; 40 ; 430.845.687 ; 9 ; 43.069.868 ; 23 ; 5.908.009 ; 43 ; 123.265.947 ; 115 ; 603.089.510 ; 23 ; 855.635.718 ; 35 ; 1.119.012.261 ; 58 ; 1.974.647.979 ; 173 ; 2.577.737.489 
19;59.588.111;BANCO VOTORANTIM S.A.; 116 ; 257.602.936 ; 485 ; 114.956.845 ; 287 ; 279.861.828 ; 805 ; 320.415.204 ; 1.693 ; 972.836.814 ; 354 ; 693.853.022 ; 859 ; 731.719.029 ; 1.213 ; 1.425.572.051 ; 2.906 ; 2.398.408.865 
20;58.160.789;BANCO SAFRA S.A.; 252 ; 159.543.540 ; 1.010 ; 134.336.378 ; 1.275 ; 362.024.786 ; 2.472 ; 808.088.675 ; 5.009 ; 1.463.993.378 ; 179 ; 567.462.542 ; 172 ; 140.715.397 ; 351 ; 708.177.940 ; 5.360 ; 2.172.171.318 
21;61.820.817;BANCO PAULISTA S.A.; 185 ; 153.473.771 ; 548 ; 53.183.013 ; 37.971 ; 118.300.956 ; 1.813 ; 189.633.089 ; 40.517 ; 514.590.829 ; 1.798 ; 737.098.393 ; 15.104 ; 760.345.526 ; 16.902 ; 1.497.443.919 ; 57.419 ; 2.012.034.748 
22;68.900.810;BANCO RENDIMENTO S.A.; 12 ; 13.611.118 ; 113 ; 28.631.320 ; 29.329 ; 150.986.723 ; 4.631 ; 148.315.844 ; 34.085 ; 341.545.006 ; 610 ; 376.434.605 ; 9.994 ; 356.229.824 ; 10.604 ; 732.664.429 ; 44.689 ; 1.074.209.435 
23;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 54 ; 81.231.644 ; 21 ; 4.363.784 ; 16 ; 378.979.224 ; 80 ; 30.899.831 ; 171 ; 495.474.482 ; 7 ; 52.458.110 ; 21 ; 412.458.693 ; 28 ; 464.916.803 ; 199 ; 960.391.286 
24;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 244 ; 9.903.815 ; 1.466 ; 60.011.167 ; 1.045 ; 65.014.251 ; 3.356 ; 112.350.520 ; 6.111 ; 247.279.754 ; 932 ; 393.171.955 ; 8.159 ; 296.001.894 ; 9.091 ; 689.173.848 ; 15.202 ; 936.453.602 
25;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 242 ; 83.413.515 ; 753 ; 156.107.854 ; 357 ; 109.665.671 ; 579 ; 130.854.731 ; 1.931 ; 480.041.772 ; 134 ; 257.567.056 ; 131 ; 165.513.316 ; 265 ; 423.080.371 ; 2.196 ; 903.122.143 
26;62.232.889;BANCO DAYCOVAL S.A.; 520 ; 84.821.292 ; 584 ; 33.261.759 ; 654 ; 8.078.475 ; 2.479 ; 53.302.905 ; 4.237 ; 179.464.430 ; 570 ; 325.566.818 ; 2.522 ; 354.408.286 ; 3.092 ; 679.975.104 ; 7.329 ; 859.439.534 
27;28.195.667;BANCO ABC BRASIL S.A.; 86 ; 51.815.541 ; 166 ; 30.084.928 ; 25 ; 44.768.058 ; 206 ; 39.968.583 ; 483 ; 166.637.110 ; 121 ; 265.098.070 ; 189 ; 384.084.180 ; 310 ; 649.182.250 ; 793 ; 815.819.360 
28;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 98 ; 66.304.548 ; 160 ; 15.916.209 ; 13 ; 161.689.963 ; 205 ; 167.656.859 ; 476 ; 411.567.579 ; 35 ; 172.693.673 ; 44 ; 217.234.023 ; 79 ; 389.927.696 ; 555 ; 801.495.276 
29;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 103 ; 308.805.243 ; 63 ; 27.157.168 ; 76 ; 32.736.751 ; 246 ; 132.461.000 ; 488 ; 501.160.162 ; 5 ; 54.377.937 ; 10 ; 214.387.992 ; 15 ; 268.765.929 ; 503 ; 769.926.091 
30;78.632.767;BANCO OURINVEST S.A.; 120 ; 7.957.821 ; 694 ; 35.221.483 ; 529 ; 80.087.126 ; 1.347 ; 131.061.908 ; 2.690 ; 254.328.337 ; 461 ; 282.712.973 ; 9.444 ; 195.251.055 ; 9.905 ; 477.964.028 ; 12.595 ; 732.292.365 
31;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;;;;; 14 ; 245.695.267 ; 23 ; 333.795.841 ; 37 ; 579.491.108 ; 5 ; 132.843.246 ; 2 ; 2.855.752 ; 7 ; 135.698.998 ; 44 ; 715.190.106 
32;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 57 ; 94.056.150 ;;; 93 ; 39.268.796 ; 42 ; 77.607.126 ; 192 ; 210.932.072 ; 24 ; 500.351.335 ;;; 24 ; 500.351.335 ; 216 ; 711.283.406 
33;00.360.305;CAIXA ECONOMICA FEDERAL; 243 ; 93.175.303 ; 156 ; 5.271.826 ; 7.706 ; 69.719.722 ; 1.744 ; 111.132.226 ; 9.849 ; 279.299.078 ; 102 ; 160.431.122 ; 121 ; 172.458.031 ; 223 ; 332.889.153 ; 10.072 ; 612.188.230 
34;03.609.817;BANCO CARGILL S.A.; 6 ; 47.465.818 ; 2 ; 1.181.344 ; 6 ; 6.270.883 ; 22 ; 15.698.148 ; 36 ; 70.616.193 ; 4 ; 200.000.000 ; 11 ; 341.000.000 ; 15 ; 541.000.000 ; 51 ; 611.616.193 
35;13.059.145;BEXS BANCO DE CÂMBIO S/A; 22 ; 151.769.902 ; 46 ; 1.300.484 ; 139 ; 18.712.958 ; 424 ; 98.844.592 ; 631 ; 270.627.936 ; 158 ; 113.322.979 ; 87 ; 185.178.970 ; 245 ; 298.501.949 ; 876 ; 569.129.885 
36;71.027.866;BANCO BONSUCESSO S.A.; 45 ; 2.795.410 ; 213 ; 7.707.872 ; 486 ; 53.823.999 ; 888 ; 96.736.123 ; 1.632 ; 161.063.404 ; 586 ; 218.147.803 ; 2.509 ; 163.087.465 ; 3.095 ; 381.235.268 ; 4.727 ; 542.298.672 
37;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 50 ; 3.594.864 ; 563 ; 21.410.899 ; 162 ; 24.741.500 ; 33.887 ; 87.253.182 ; 34.662 ; 137.000.444 ; 204 ; 191.506.308 ; 352 ; 112.549.161 ; 556 ; 304.055.469 ; 35.218 ; 441.055.913 
38;10.690.848;BANCO DA CHINA BRASIL S.A.; 37 ; 37.026.078 ; 23 ; 2.976.163 ; 18 ; 141.535.164 ; 43 ; 96.385.475 ; 121 ; 277.922.879 ; 30 ; 12.279.956 ; 26 ; 91.459.549 ; 56 ; 103.739.505 ; 177 ; 381.662.384 
