Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jun/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 32.933 ; 12.182.770.261 ; 125.975 ; 13.757.461.351 ; 118.229 ; 36.342.491.855 ; 176.983 ; 32.612.113.431 ; 454.120 ; 94.894.836.898 ; 3.884 ; 47.014.505.176 ; 3.613 ; 41.784.955.685 ; 7.497 ; 88.799.460.861 ; 461.617 ; 183.694.297.758 
2;60.746.948;BANCO BRADESCO S.A.; 44.261 ; 28.557.549.259 ; 120.398 ; 18.802.328.199 ; 235.077 ; 29.799.458.819 ; 166.591 ; 34.419.938.524 ; 566.327 ; 111.579.274.801 ; 4.116 ; 17.272.163.186 ; 4.369 ; 22.391.800.374 ; 8.485 ; 39.663.963.560 ; 574.812 ; 151.243.238.361 
3;33.479.023;BANCO CITIBANK S.A.; 8.323 ; 8.838.146.617 ; 39.392 ; 9.615.898.813 ; 42.706 ; 45.420.080.681 ; 60.163 ; 46.888.671.482 ; 150.584 ; 110.762.797.592 ; 1.867 ; 18.579.003.538 ; 1.929 ; 16.251.662.579 ; 3.796 ; 34.830.666.117 ; 154.380 ; 145.593.463.709 
4;60.701.190;ITAÚ UNIBANCO S.A.; 43.963 ; 8.538.050.169 ; 92.990 ; 8.622.230.522 ; 220.442 ; 28.736.901.333 ; 188.692 ; 23.911.629.660 ; 546.087 ; 69.808.811.683 ; 1.732 ; 22.161.202.076 ; 1.616 ; 17.991.263.739 ; 3.348 ; 40.152.465.816 ; 549.435 ; 109.961.277.499 
5;33.172.537;BANCO J.P. MORGAN S.A.; 1.704 ; 3.327.214.239 ; 14.112 ; 3.941.667.385 ; 5.845 ; 28.707.540.742 ; 11.766 ; 25.985.501.447 ; 33.427 ; 61.961.923.814 ; 1.610 ; 21.465.442.452 ; 1.661 ; 22.431.091.234 ; 3.271 ; 43.896.533.686 ; 36.698 ; 105.858.457.499 
6;00.000.000;BANCO DO BRASIL S.A.; 45.249 ; 24.350.601.259 ; 56.641 ; 10.133.125.329 ; 108.840 ; 9.251.126.053 ; 188.779 ; 14.356.898.149 ; 399.509 ; 58.091.750.790 ; 1.908 ; 4.845.085.660 ; 2.122 ; 14.127.806.675 ; 4.030 ; 18.972.892.335 ; 403.539 ; 77.064.643.125 
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 420 ; 872.975.558 ; 2.231 ; 432.648.805 ; 1.161 ; 8.553.415.122 ; 2.348 ; 10.172.606.516 ; 6.160 ; 20.031.646.002 ; 928 ; 24.078.453.687 ; 850 ; 22.656.309.764 ; 1.778 ; 46.734.763.451 ; 7.938 ; 66.766.409.453 
8;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 943 ; 577.047.675 ; 2.869 ; 451.727.629 ; 2.982 ; 3.179.324.349 ; 3.030 ; 3.461.888.915 ; 9.824 ; 7.669.988.568 ; 3.350 ; 21.738.046.772 ; 3.223 ; 20.914.520.285 ; 6.573 ; 42.652.567.058 ; 16.397 ; 50.322.555.625 
9;30.306.294;BANCO BTG PACTUAL S.A.; 104 ; 1.008.092.012 ; 444 ; 239.689.241 ; 2.071 ; 5.071.853.556 ; 3.700 ; 4.460.551.759 ; 6.319 ; 10.780.186.567 ; 544 ; 17.822.165.858 ; 569 ; 17.666.266.303 ; 1.113 ; 35.488.432.162 ; 7.432 ; 46.268.618.729 
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.237 ; 2.195.198.265 ; 6.440 ; 1.602.936.663 ; 5.078 ; 11.115.654.269 ; 10.372 ; 10.083.945.104 ; 23.127 ; 24.997.734.301 ; 2.702 ; 8.995.730.788 ; 2.725 ; 10.077.513.354 ; 5.427 ; 19.073.244.142 ; 28.554 ; 44.070.978.444 
11;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 766 ; 2.607.480.901 ; 2.060 ; 1.141.530.583 ; 2.072 ; 9.938.710.055 ; 10.397 ; 10.557.247.282 ; 15.295 ; 24.244.968.821 ; 499 ; 6.333.481.823 ; 528 ; 7.046.214.189 ; 1.027 ; 13.379.696.012 ; 16.322 ; 37.624.664.833 
12;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 16 ; 95.990.041 ; 3 ; 1.902.870 ; 1.309 ; 5.372.784.837 ; 1.427 ; 6.923.840.998 ; 2.755 ; 12.394.518.746 ; 364 ; 9.983.934.990 ; 372 ; 7.774.062.294 ; 736 ; 17.757.997.283 ; 3.491 ; 30.152.516.030 
13;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 1.762 ; 7.609.497.093 ; 1.385 ; 6.519.819.646 ; 3.147 ; 14.129.316.739 ; 99 ; 3.249.375.382 ; 162 ; 5.216.941.039 ; 261 ; 8.466.316.420 ; 3.408 ; 22.595.633.160 
14;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 152 ; 806.616.496 ; 505 ; 574.579.634 ; 567 ; 3.029.404.926 ; 1.181 ; 3.626.725.242 ; 2.405 ; 8.037.326.297 ; 1.359 ; 7.116.134.740 ; 1.874 ; 6.695.590.959 ; 3.233 ; 13.811.725.699 ; 5.638 ; 21.849.051.996 
15;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 149 ; 443.415.517 ; 96 ; 76.141.414 ; 184 ; 825.270.887 ; 297 ; 82.854.073 ; 726 ; 1.427.681.891 ; 735 ; 9.105.795.703 ; 800 ; 10.220.483.801 ; 1.535 ; 19.326.279.504 ; 2.261 ; 20.753.961.395 
16;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 958 ; 2.215.267.533 ; 3.793 ; 1.256.693.643 ; 2.141 ; 3.262.468.673 ; 5.687 ; 4.286.776.635 ; 12.579 ; 11.021.206.485 ; 517 ; 4.807.228.195 ; 474 ; 4.397.986.681 ; 991 ; 9.205.214.876 ; 13.570 ; 20.226.421.361 
17;02.801.938;BANCO MORGAN STANLEY S.A.; 2 ; 197.000.000 ;;; 3.808 ; 5.525.164.350 ; 3.451 ; 6.774.791.707 ; 7.261 ; 12.496.956.057 ; 194 ; 4.634.423.545 ; 148 ; 3.065.428.665 ; 342 ; 7.699.852.210 ; 7.603 ; 20.196.808.267 
18;59.588.111;BANCO VOTORANTIM S.A.; 676 ; 1.509.171.008 ; 3.243 ; 690.810.651 ; 1.577 ; 1.851.252.324 ; 4.639 ; 2.523.674.666 ; 10.135 ; 6.574.908.649 ; 1.907 ; 4.345.568.592 ; 5.016 ; 4.531.747.366 ; 6.923 ; 8.877.315.958 ; 17.058 ; 15.452.224.607 
19;49.336.860;ING BANK N.V.; 165 ; 1.506.161.807 ; 111 ; 131.386.533 ; 124 ; 252.334.805 ; 341 ; 182.452.743 ; 741 ; 2.072.335.889 ; 139 ; 4.223.806.624 ; 185 ; 5.724.064.562 ; 324 ; 9.947.871.186 ; 1.065 ; 12.020.207.075 
20;61.820.817;BANCO PAULISTA S.A.; 1.098 ; 765.627.238 ; 3.044 ; 233.312.954 ; 126.762 ; 1.079.089.226 ; 9.714 ; 1.117.212.328 ; 140.618 ; 3.195.241.746 ; 9.947 ; 3.853.074.436 ; 76.671 ; 4.310.534.120 ; 86.618 ; 8.163.608.556 ; 227.236 ; 11.358.850.302 
21;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 49 ; 108.701.111 ;;; 49 ; 108.701.111 ; 7 ; 4.925.000.000 ; 7 ; 4.925.000.000 ; 14 ; 9.850.000.000 ; 63 ; 9.958.701.111 
22;58.160.789;BANCO SAFRA S.A.; 1.232 ; 763.409.605 ; 5.645 ; 695.755.661 ; 6.448 ; 1.624.904.140 ; 14.005 ; 2.023.781.575 ; 27.330 ; 5.107.850.981 ; 1.077 ; 1.820.166.360 ; 1.046 ; 1.499.558.515 ; 2.123 ; 3.319.724.875 ; 29.453 ; 8.427.575.856 
23;28.195.667;BANCO ABC BRASIL S.A.; 469 ; 225.636.388 ; 894 ; 135.706.866 ; 205 ; 1.124.749.146 ; 1.271 ; 774.642.878 ; 2.839 ; 2.260.735.278 ; 734 ; 2.236.291.669 ; 1.110 ; 2.519.378.523 ; 1.844 ; 4.755.670.192 ; 4.683 ; 7.016.405.469 
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 618 ; 1.562.585.192 ; 213 ; 209.895.229 ; 447 ; 881.469.701 ; 1.421 ; 1.126.462.841 ; 2.699 ; 3.780.412.963 ; 84 ; 835.676.342 ; 118 ; 1.887.297.752 ; 202 ; 2.722.974.094 ; 2.901 ; 6.503.387.057 
25;68.900.810;BANCO RENDIMENTO S.A.; 93 ; 22.410.312 ; 682 ; 126.072.164 ; 266.800 ; 875.236.758 ; 15.875 ; 1.030.183.776 ; 283.450 ; 2.053.903.010 ; 3.347 ; 2.282.536.341 ; 55.169 ; 2.028.640.852 ; 58.516 ; 4.311.177.193 ; 341.966 ; 6.365.080.203 
26;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 1.417 ; 64.681.381 ; 8.809 ; 384.492.145 ; 5.654 ; 628.068.200 ; 18.420 ; 760.090.570 ; 34.300 ; 1.837.332.296 ; 5.319 ; 2.288.999.591 ; 48.900 ; 1.842.435.796 ; 54.219 ; 4.131.435.387 ; 88.519 ; 5.968.767.683 
27;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.104 ; 448.598.276 ; 3.935 ; 812.099.270 ; 2.167 ; 1.096.648.556 ; 3.696 ; 760.903.352 ; 10.902 ; 3.118.249.453 ; 668 ; 1.362.071.444 ; 670 ; 1.332.824.396 ; 1.338 ; 2.694.895.840 ; 12.240 ; 5.813.145.293 
28;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 143 ; 909.188.643 ; 153 ; 1.658.470.581 ; 296 ; 2.567.659.225 ; 122 ; 1.637.055.619 ; 87 ; 886.812.254 ; 209 ; 2.523.867.873 ; 505 ; 5.091.527.097 
29;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 322 ; 610.210.261 ;;; 542 ; 573.023.510 ; 248 ; 1.599.451.591 ; 1.112 ; 2.782.685.362 ; 71 ; 1.410.467.636 ; 24 ; 446.820.625 ; 95 ; 1.857.288.260 ; 1.207 ; 4.639.973.622 
30;78.632.767;BANCO OURINVEST S.A.; 672 ; 79.473.217 ; 4.093 ; 236.213.741 ; 2.823 ; 414.071.953 ; 7.715 ; 700.108.142 ; 15.303 ; 1.429.867.052 ; 2.912 ; 1.758.070.948 ; 55.822 ; 1.325.989.842 ; 58.734 ; 3.084.060.791 ; 74.037 ; 4.513.927.843 
31;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 200 ; 313.553.223 ; 187 ; 42.467.950 ; 82 ; 1.384.595.958 ; 446 ; 467.173.967 ; 915 ; 2.207.791.098 ; 42 ; 555.594.524 ; 96 ; 1.679.593.175 ; 138 ; 2.235.187.699 ; 1.053 ; 4.442.978.797 
