Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JUNHO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.475 ; 1.820.396.601 ; 20.356 ; 2.314.529.453 ; 20.738 ; 4.081.760.187 ; 29.116 ; 3.979.241.944 ; 75.685 ; 12.195.928.185 ; 703 ; 6.690.100.694 ; 687 ; 7.135.428.946 ; 1.390 ; 13.825.529.641 ; 77.075 ; 26.021.457.825 
2;33.479.023;BANCO CITIBANK S.A.; 1.376 ; 1.229.074.818 ; 6.134 ; 1.445.005.696 ; 6.951 ; 7.649.627.826 ; 8.257 ; 7.725.408.982 ; 22.718 ; 18.049.117.321 ; 307 ; 4.098.634.826 ; 316 ; 3.598.867.056 ; 623 ; 7.697.501.882 ; 23.341 ; 25.746.619.203 
3;60.746.948;BANCO BRADESCO S.A.; 7.085 ; 5.408.921.108 ; 19.921 ; 4.594.113.909 ; 54.710 ; 3.601.170.395 ; 28.319 ; 4.337.047.074 ; 110.035 ; 17.941.252.487 ; 637 ; 3.210.479.013 ; 657 ; 3.423.654.401 ; 1.294 ; 6.634.133.414 ; 111.329 ; 24.575.385.901 
4;60.701.190;ITAÚ UNIBANCO S.A.; 7.369 ; 1.519.968.156 ; 16.073 ; 1.612.872.884 ; 33.505 ; 7.090.420.567 ; 31.920 ; 3.044.908.050 ; 88.867 ; 13.268.169.656 ; 316 ; 3.430.335.662 ; 282 ; 2.842.845.978 ; 598 ; 6.273.181.640 ; 89.465 ; 19.541.351.296 
5;33.172.537;BANCO J.P. MORGAN S.A.; 271 ; 674.493.726 ; 2.325 ; 990.970.513 ; 1.098 ; 4.968.850.164 ; 1.982 ; 4.648.897.989 ; 5.676 ; 11.283.212.391 ; 311 ; 3.394.023.045 ; 310 ; 3.426.366.383 ; 621 ; 6.820.389.427 ; 6.297 ; 18.103.601.819 
6;00.000.000;BANCO DO BRASIL S.A.; 7.410 ; 4.053.749.328 ; 10.115 ; 2.045.304.726 ; 17.353 ; 942.934.199 ; 22.501 ; 2.442.817.154 ; 57.379 ; 9.484.805.407 ; 343 ; 1.759.834.859 ; 363 ; 1.738.273.239 ; 706 ; 3.498.108.097 ; 58.085 ; 12.982.913.505 
7;30.306.294;BANCO BTG PACTUAL S.A.; 12 ; 28.710.506 ; 71 ; 19.965.377 ; 355 ; 1.776.738.443 ; 461 ; 1.358.114.941 ; 899 ; 3.183.529.266 ; 81 ; 2.860.750.310 ; 125 ; 4.049.055.770 ; 206 ; 6.909.806.079 ; 1.105 ; 10.093.335.345 
8;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 73 ; 150.897.547 ; 437 ; 85.512.781 ; 207 ; 2.333.910.588 ; 391 ; 3.170.887.936 ; 1.108 ; 5.741.208.851 ; 216 ; 2.493.037.812 ; 182 ; 1.345.494.410 ; 398 ; 3.838.532.222 ; 1.506 ; 9.579.741.073 
9;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 184 ; 104.249.945 ; 517 ; 131.459.064 ; 449 ; 1.480.565.309 ; 508 ; 1.360.589.203 ; 1.658 ; 3.076.863.521 ; 491 ; 3.174.481.527 ; 439 ; 2.998.191.797 ; 930 ; 6.172.673.324 ; 2.588 ; 9.249.536.846 
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 171 ; 443.379.433 ; 844 ; 172.501.774 ; 938 ; 1.931.850.717 ; 1.676 ; 2.466.629.467 ; 3.629 ; 5.014.361.392 ; 418 ; 2.049.117.018 ; 410 ; 1.895.898.711 ; 828 ; 3.945.015.729 ; 4.457 ; 8.959.377.121 
11;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 10 ; 33.836.596 ;;; 10 ; 33.836.596 ; 6 ; 2.925.000.000 ; 6 ; 2.925.000.000 ; 12 ; 5.850.000.000 ; 22 ; 5.883.836.596 
12;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 115 ; 260.746.776 ; 300 ; 171.047.641 ; 329 ; 1.511.514.647 ; 1.278 ; 1.622.020.010 ; 2.022 ; 3.565.329.074 ; 138 ; 1.157.197.935 ; 126 ; 1.132.859.991 ; 264 ; 2.290.057.926 ; 2.286 ; 5.855.386.999 
13;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 300 ; 1.887.625.385 ; 261 ; 1.258.828.719 ; 561 ; 3.146.454.103 ; 17 ; 353.498.267 ; 44 ; 1.181.518.880 ; 61 ; 1.535.017.147 ; 622 ; 4.681.471.250 
