Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jul/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 38.317 ; 13.978.080.264 ; 149.143 ; 16.477.364.453 ; 136.792 ; 43.210.892.154 ; 208.388 ; 39.225.513.236 ; 532.640 ; 112.891.850.108 ; 4.592 ; 51.704.787.865 ; 4.320 ; 46.766.053.624 ; 8.912 ; 98.470.841.489 ; 541.552 ; 211.362.691.597 
2;33.479.023;BANCO CITIBANK S.A.; 9.513 ; 10.221.137.031 ; 46.773 ; 11.184.552.976 ; 48.815 ; 55.045.318.862 ; 68.012 ; 52.572.114.100 ; 173.113 ; 129.023.122.968 ; 2.140 ; 21.912.087.365 ; 2.305 ; 22.094.390.168 ; 4.445 ; 44.006.477.533 ; 177.558 ; 173.029.600.501 
3;60.746.948;BANCO BRADESCO S.A.; 51.310 ; 32.254.139.249 ; 141.874 ; 21.923.727.995 ; 284.365 ; 33.201.033.984 ; 195.609 ; 38.829.521.181 ; 673.158 ; 126.208.422.408 ; 4.694 ; 20.030.127.300 ; 5.000 ; 24.620.568.566 ; 9.694 ; 44.650.695.866 ; 682.852 ; 170.859.118.274 
4;60.701.190;ITAÚ UNIBANCO S.A.; 50.972 ; 10.012.363.193 ; 110.674 ; 10.247.990.251 ; 253.364 ; 32.370.177.426 ; 222.573 ; 26.778.222.531 ; 637.583 ; 79.408.753.402 ; 2.041 ; 26.917.909.420 ; 1.917 ; 22.205.249.908 ; 3.958 ; 49.123.159.328 ; 641.541 ; 128.531.912.730 
5;33.172.537;BANCO J.P. MORGAN S.A.; 1.985 ; 4.172.418.107 ; 16.668 ; 4.703.170.034 ; 6.783 ; 32.238.158.180 ; 13.655 ; 28.062.731.113 ; 39.091 ; 69.176.477.434 ; 1.869 ; 23.634.717.825 ; 1.919 ; 24.164.444.618 ; 3.788 ; 47.799.162.443 ; 42.879 ; 116.975.639.876 
6;00.000.000;BANCO DO BRASIL S.A.; 52.133 ; 28.145.170.230 ; 68.139 ; 13.016.201.450 ; 127.224 ; 10.770.947.804 ; 211.436 ; 16.476.080.973 ; 458.932 ; 68.408.400.457 ; 2.286 ; 6.812.340.284 ; 2.524 ; 16.154.277.548 ; 4.810 ; 22.966.617.832 ; 463.742 ; 91.375.018.289 
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 545 ; 1.041.071.653 ; 2.741 ; 575.843.142 ; 1.360 ; 10.843.890.164 ; 2.728 ; 12.422.388.447 ; 7.374 ; 24.883.193.406 ; 1.146 ; 25.523.062.562 ; 1.051 ; 23.581.621.786 ; 2.197 ; 49.104.684.348 ; 9.571 ; 73.987.877.753 
8;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.132 ; 723.763.777 ; 3.386 ; 566.434.508 ; 3.496 ; 3.628.405.150 ; 3.569 ; 3.976.720.996 ; 11.583 ; 8.895.324.431 ; 3.831 ; 23.623.581.997 ; 3.669 ; 22.743.396.613 ; 7.500 ; 46.366.978.610 ; 19.083 ; 55.262.303.041 
9;30.306.294;BANCO BTG PACTUAL S.A.; 119 ; 1.167.174.934 ; 519 ; 308.768.557 ; 2.437 ; 5.726.070.441 ; 4.296 ; 4.867.671.819 ; 7.371 ; 12.069.685.751 ; 648 ; 19.984.131.433 ; 661 ; 19.240.709.241 ; 1.309 ; 39.224.840.674 ; 8.680 ; 51.294.526.425 
