Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JULHO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.385 ; 1.795.750.704 ; 23.176 ; 2.719.760.026 ; 18.568 ; 6.869.464.263 ; 31.431 ; 6.613.915.747 ; 78.560 ; 17.998.890.740 ; 708 ; 4.690.282.689 ; 707 ; 4.981.097.939 ; 1.415 ; 9.671.380.628 ; 79.975 ; 27.670.271.368 
2;33.479.023;BANCO CITIBANK S.A.; 1.191 ; 1.383.105.701 ; 7.381 ; 1.568.654.164 ; 6.108 ; 9.625.122.894 ; 7.851 ; 5.683.786.875 ; 22.531 ; 18.260.669.634 ; 273 ; 3.333.083.827 ; 376 ; 5.842.727.589 ; 649 ; 9.175.811.415 ; 23.180 ; 27.436.481.049 
3;60.746.948;BANCO BRADESCO S.A.; 7.049 ; 3.696.591.375 ; 21.481 ; 3.121.487.504 ; 49.294 ; 3.401.596.073 ; 29.020 ; 4.409.626.623 ; 106.844 ; 14.629.301.576 ; 578 ; 2.757.964.114 ; 631 ; 2.228.768.192 ; 1.209 ; 4.986.732.306 ; 108.053 ; 19.616.033.882 
4;60.701.190;ITAÚ UNIBANCO S.A.; 7.013 ; 1.474.969.992 ; 17.695 ; 1.628.142.323 ; 32.911 ; 3.633.077.093 ; 33.869 ; 2.865.450.367 ; 91.488 ; 9.601.639.775 ; 309 ; 4.756.707.344 ; 301 ; 4.213.986.169 ; 610 ; 8.970.693.512 ; 92.098 ; 18.572.333.287 
5;00.000.000;BANCO DO BRASIL S.A.; 6.884 ; 3.794.572.332 ; 11.500 ; 2.883.139.476 ; 18.388 ; 1.520.081.809 ; 22.658 ; 2.127.222.705 ; 59.430 ; 10.325.016.322 ; 378 ; 1.967.254.624 ; 402 ; 2.026.470.873 ; 780 ; 3.993.725.497 ; 60.210 ; 14.318.741.819 
6;33.172.537;BANCO J.P. MORGAN S.A.; 281 ; 845.203.868 ; 2.556 ; 761.502.649 ; 938 ; 3.530.617.438 ; 1.889 ; 2.077.229.665 ; 5.664 ; 7.214.553.620 ; 259 ; 2.169.275.373 ; 258 ; 1.733.353.384 ; 517 ; 3.902.628.757 ; 6.181 ; 11.117.182.377 
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 125 ; 168.096.094 ; 510 ; 143.194.337 ; 199 ; 2.290.475.043 ; 380 ; 2.249.781.930 ; 1.214 ; 4.851.547.404 ; 218 ; 1.444.608.875 ; 201 ; 925.312.022 ; 419 ; 2.369.920.897 ; 1.633 ; 7.221.468.301 
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 171 ; 491.214.830 ; 1.202 ; 253.791.069 ; 821 ; 1.452.510.055 ; 1.462 ; 965.271.504 ; 3.656 ; 3.162.787.458 ; 428 ; 1.080.606.075 ; 446 ; 1.862.430.114 ; 874 ; 2.943.036.188 ; 4.530 ; 6.105.823.647 
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 121 ; 714.680.060 ; 810 ; 340.013.629 ; 375 ; 1.461.893.022 ; 1.241 ; 1.745.695.749 ; 2.547 ; 4.262.282.459 ; 128 ; 651.074.876 ; 132 ; 685.046.225 ; 260 ; 1.336.121.100 ; 2.807 ; 5.598.403.560 
10;30.306.294;BANCO BTG PACTUAL S.A.; 15 ; 159.082.922 ; 75 ; 69.079.316 ; 366 ; 654.216.885 ; 596 ; 407.120.060 ; 1.052 ; 1.289.499.184 ; 104 ; 2.161.965.574 ; 92 ; 1.574.442.938 ; 196 ; 3.736.408.512 ; 1.248 ; 5.025.907.696 
11;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 189 ; 146.716.102 ; 517 ; 114.706.880 ; 514 ; 449.080.801 ; 539 ; 514.832.081 ; 1.759 ; 1.225.335.863 ; 481 ; 1.885.535.225 ; 446 ; 1.828.876.327 ; 927 ; 3.714.411.552 ; 2.686 ; 4.939.747.415 
12;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 175 ; 809.177.711 ; 181 ; 1.034.525.716 ; 356 ; 1.843.703.427 ; 36 ; 992.369.059 ; 18 ; 363.963.313 ; 54 ; 1.356.332.372 ; 410 ; 3.200.035.799 
13;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 408 ; 1.261.189.237 ; 478 ; 856.179.923 ; 886 ; 2.117.369.160 ; 28 ; 228.480.882 ; 35 ; 662.977.332 ; 63 ; 891.458.214 ; 949 ; 3.008.827.374 
14;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 15 ; 120.521.303 ; 69 ; 167.016.596 ; 69 ; 177.490.743 ; 173 ; 414.002.797 ; 326 ; 879.031.439 ; 247 ; 1.062.229.513 ; 286 ; 698.507.576 ; 533 ; 1.760.737.088 ; 859 ; 2.639.768.528 
15;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 19 ; 43.691.111 ; 9 ; 655.766 ; 35 ; 106.385.517 ; 60 ; 65.122.150 ; 123 ; 215.854.543 ; 109 ; 1.085.367.202 ; 118 ; 1.168.676.499 ; 227 ; 2.254.043.701 ; 350 ; 2.469.898.244 
16;59.588.111;BANCO VOTORANTIM S.A.; 118 ; 273.161.213 ; 717 ; 290.759.021 ; 438 ; 325.365.497 ; 814 ; 277.374.682 ; 2.087 ; 1.166.660.413 ; 330 ; 617.340.797 ; 880 ; 683.781.724 ; 1.210 ; 1.301.122.521 ; 3.297 ; 2.467.782.934 
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 123 ; 254.701.796 ; 667 ; 429.361.285 ; 307 ; 423.750.353 ; 941 ; 393.627.900 ; 2.038 ; 1.501.441.335 ; 87 ; 565.261.201 ; 77 ; 314.183.334 ; 164 ; 879.444.536 ; 2.202 ; 2.380.885.870 
18;61.820.817;BANCO PAULISTA S.A.; 218 ; 125.905.544 ; 502 ; 26.161.215 ; 63.403 ; 110.547.923 ; 1.787 ; 185.954.163 ; 65.910 ; 448.568.845 ; 1.793 ; 606.592.319 ; 14.003 ; 673.324.284 ; 15.796 ; 1.279.916.604 ; 81.706 ; 1.728.485.449 
19;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 226 ; 11.115.665 ; 1.606 ; 63.092.561 ; 908 ; 187.854.812 ; 3.354 ; 237.423.566 ; 6.094 ; 499.486.604 ; 855 ; 424.476.360 ; 8.415 ; 322.879.574 ; 9.270 ; 747.355.935 ; 15.364 ; 1.246.842.539 
20;68.900.810;BANCO RENDIMENTO S.A.; 36 ; 2.006.499 ; 172 ; 42.034.481 ; 36.610 ; 131.098.818 ; 15.617 ; 176.820.716 ; 52.435 ; 351.960.514 ; 660 ; 467.087.159 ; 10.955 ; 386.059.581 ; 11.615 ; 853.146.740 ; 64.050 ; 1.205.107.253 
21;49.336.860;ING BANK N.V.; 24 ; 136.867.752 ; 28 ; 55.851.779 ; 24 ; 62.569.594 ; 45 ; 37.675.623 ; 121 ; 292.964.748 ; 54 ; 380.910.013 ; 63 ; 480.836.399 ; 117 ; 861.746.412 ; 238 ; 1.154.711.160 
22;28.195.667;BANCO ABC BRASIL S.A.; 74 ; 26.384.787 ; 199 ; 23.164.527 ; 40 ; 153.425.807 ; 213 ; 108.139.967 ; 526 ; 311.115.087 ; 124 ; 382.797.733 ; 218 ; 418.339.124 ; 342 ; 801.136.857 ; 868 ; 1.112.251.945 
23;58.160.789;BANCO SAFRA S.A.; 179 ; 102.703.784 ; 872 ; 101.370.918 ; 951 ; 258.000.790 ; 2.400 ; 214.390.199 ; 4.402 ; 676.465.692 ; 191 ; 138.936.786 ; 190 ; 182.470.883 ; 381 ; 321.407.669 ; 4.783 ; 997.873.361 
24;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 2 ; 206.540 ;;; 169 ; 350.237.839 ; 153 ; 186.355.479 ; 324 ; 536.799.859 ; 26 ; 137.927.175 ; 29 ; 240.431.382 ; 55 ; 378.358.557 ; 379 ; 915.158.416 
