Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Ago/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 45.214 ; 15.958.521.741 ; 169.765 ; 18.953.043.800 ; 158.676 ; 50.179.921.037 ; 237.249 ; 47.269.098.568 ; 610.904 ; 132.360.585.147 ; 5.447 ; 59.587.253.676 ; 5.074 ; 52.387.974.321 ; 10.521 ; 111.975.227.998 ; 621.425 ; 244.335.813.144 
2;33.479.023;BANCO CITIBANK S.A.; 11.034 ; 13.142.433.666 ; 54.210 ; 14.463.420.031 ; 55.918 ; 62.154.838.658 ; 75.500 ; 58.671.925.563 ; 196.662 ; 148.432.617.918 ; 2.423 ; 23.263.161.799 ; 2.632 ; 24.908.086.507 ; 5.055 ; 48.171.248.306 ; 201.717 ; 196.603.866.223 
3;60.746.948;BANCO BRADESCO S.A.; 60.006 ; 37.419.764.861 ; 161.810 ; 27.000.355.496 ; 335.709 ; 35.564.089.014 ; 222.625 ; 41.412.964.247 ; 780.150 ; 141.397.173.617 ; 5.281 ; 22.330.538.893 ; 5.628 ; 27.167.309.249 ; 10.909 ; 49.497.848.142 ; 791.059 ; 190.895.021.760 
4;60.701.190;ITAÚ UNIBANCO S.A.; 59.895 ; 12.191.260.503 ; 126.668 ; 11.680.268.128 ; 291.399 ; 34.997.208.471 ; 253.943 ; 30.942.012.552 ; 731.905 ; 89.810.749.655 ; 2.350 ; 30.501.208.124 ; 2.277 ; 26.758.187.412 ; 4.627 ; 57.259.395.536 ; 736.532 ; 147.070.145.191 
5;33.172.537;BANCO J.P. MORGAN S.A.; 2.390 ; 5.811.359.100 ; 19.490 ; 5.637.766.280 ; 7.901 ; 35.809.870.928 ; 15.812 ; 36.169.571.139 ; 45.593 ; 83.428.567.446 ; 2.212 ; 27.777.388.052 ; 2.135 ; 25.247.616.494 ; 4.347 ; 53.025.004.546 ; 49.940 ; 136.453.571.993 
6;00.000.000;BANCO DO BRASIL S.A.; 61.034 ; 32.996.930.638 ; 78.503 ; 15.757.721.709 ; 145.869 ; 12.244.783.957 ; 230.825 ; 18.105.039.835 ; 516.231 ; 79.104.476.139 ; 2.584 ; 7.235.870.343 ; 2.873 ; 18.762.679.921 ; 5.457 ; 25.998.550.264 ; 521.688 ; 105.103.026.402 
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 730 ; 1.409.762.053 ; 3.289 ; 739.038.292 ; 1.580 ; 13.918.407.693 ; 3.175 ; 15.296.553.766 ; 8.774 ; 31.363.761.804 ; 1.388 ; 25.940.910.496 ; 1.302 ; 24.721.126.713 ; 2.690 ; 50.662.037.209 ; 11.464 ; 82.025.799.013 
8;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.287 ; 799.958.104 ; 3.881 ; 649.834.019 ; 4.065 ; 4.702.088.203 ; 4.114 ; 4.397.187.873 ; 13.347 ; 10.549.068.200 ; 4.327 ; 25.031.682.133 ; 4.177 ; 25.017.663.573 ; 8.504 ; 50.049.345.707 ; 21.851 ; 60.598.413.906 
9;30.306.294;BANCO BTG PACTUAL S.A.; 142 ; 1.431.654.305 ; 592 ; 335.197.914 ; 2.766 ; 6.474.297.047 ; 5.063 ; 5.877.995.329 ; 8.563 ; 14.119.144.595 ; 737 ; 22.360.562.483 ; 755 ; 21.747.612.673 ; 1.492 ; 44.108.175.156 ; 10.055 ; 58.227.319.751 
