Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em AGOSTO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 6.901 ; 1.980.593.147 ; 20.629 ; 2.476.729.478 ; 21.887 ; 6.970.304.187 ; 28.876 ; 8.043.725.217 ; 78.293 ; 19.471.352.030 ; 855 ; 7.882.465.811 ; 754 ; 5.621.920.698 ; 1.609 ; 13.504.386.508 ; 79.902 ; 32.975.738.538 
2;33.479.023;BANCO CITIBANK S.A.; 1.519 ; 2.906.296.635 ; 7.437 ; 3.278.867.055 ; 7.106 ; 7.124.502.198 ; 7.487 ; 6.099.780.049 ; 23.549 ; 19.409.445.937 ; 283 ; 1.351.074.434 ; 327 ; 2.813.696.339 ; 610 ; 4.164.770.773 ; 24.159 ; 23.574.216.710 
3;60.746.948;BANCO BRADESCO S.A.; 8.696 ; 5.165.625.613 ; 19.939 ; 5.076.665.810 ; 51.346 ; 2.363.055.457 ; 27.015 ; 2.583.406.796 ; 106.996 ; 15.188.753.676 ; 587 ; 2.300.411.593 ; 628 ; 2.546.740.683 ; 1.215 ; 4.847.152.276 ; 108.211 ; 20.035.905.953 
4;33.172.537;BANCO J.P. MORGAN S.A.; 405 ; 1.638.940.993 ; 2.822 ; 934.596.246 ; 1.118 ; 3.571.712.748 ; 2.157 ; 8.106.840.026 ; 6.502 ; 14.252.090.013 ; 343 ; 4.142.670.227 ; 216 ; 1.083.171.877 ; 559 ; 5.225.842.104 ; 7.061 ; 19.477.932.117 
5;60.701.190;ITAÚ UNIBANCO S.A.; 8.929 ; 2.179.428.504 ; 16.000 ; 1.432.686.754 ; 38.036 ; 2.627.290.031 ; 31.360 ; 4.163.395.706 ; 94.325 ; 10.402.800.996 ; 309 ; 3.583.298.704 ; 360 ; 4.552.937.504 ; 669 ; 8.136.236.208 ; 94.994 ; 18.539.037.203 
6;00.000.000;BANCO DO BRASIL S.A.; 8.904 ; 4.851.999.752 ; 10.369 ; 2.741.562.219 ; 18.646 ; 1.473.837.273 ; 19.389 ; 1.628.959.894 ; 57.308 ; 10.696.359.138 ; 298 ; 423.530.059 ; 349 ; 2.608.402.372 ; 647 ; 3.031.932.431 ; 57.955 ; 13.728.291.570 
7;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 145 ; 555.924.879 ; 478 ; 411.330.928 ; 343 ; 1.458.289.006 ; 2.227 ; 3.379.874.474 ; 3.193 ; 5.805.419.287 ; 184 ; 2.248.387.051 ; 94 ; 1.167.380.845 ; 278 ; 3.415.767.896 ; 3.471 ; 9.221.187.183 
8;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 185 ; 368.690.400 ; 548 ; 163.195.150 ; 220 ; 3.074.517.528 ; 447 ; 2.874.165.319 ; 1.400 ; 6.480.568.398 ; 242 ; 417.847.934 ; 251 ; 1.139.504.927 ; 493 ; 1.557.352.861 ; 1.893 ; 8.037.921.259 
9;30.306.294;BANCO BTG PACTUAL S.A.; 23 ; 264.479.370 ; 73 ; 26.429.357 ; 329 ; 748.226.606 ; 767 ; 1.010.323.511 ; 1.192 ; 2.049.458.844 ; 89 ; 2.376.431.051 ; 94 ; 2.506.903.431 ; 183 ; 4.883.334.482 ; 1.375 ; 6.932.793.326 
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 199 ; 641.432.149 ; 1.169 ; 295.206.911 ; 915 ; 810.919.894 ; 1.697 ; 2.016.727.193 ; 3.980 ; 3.764.286.147 ; 397 ; 1.718.549.699 ; 377 ; 903.610.755 ; 774 ; 2.622.160.454 ; 4.754 ; 6.386.446.601 
11;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 155 ; 76.194.327 ; 495 ; 83.399.511 ; 569 ; 1.073.683.054 ; 545 ; 420.466.877 ; 1.764 ; 1.653.743.769 ; 496 ; 1.408.100.136 ; 508 ; 2.274.266.961 ; 1.004 ; 3.682.367.097 ; 2.768 ; 5.336.110.866 
12;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 8 ; 21.482.480 ;;; 8 ; 21.482.480 ; 4 ; 2.150.000.000 ; 4 ; 2.150.000.000 ; 8 ; 4.300.000.000 ; 16 ; 4.321.482.480 
13;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 177 ; 461.764.100 ; 738 ; 321.539.312 ; 338 ; 667.285.061 ; 1.060 ; 957.919.408 ; 2.313 ; 2.408.507.880 ; 125 ; 668.478.165 ; 110 ; 570.588.987 ; 235 ; 1.239.067.152 ; 2.548 ; 3.647.575.032 
14;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 35 ; 232.011.294 ; 54 ; 119.357.076 ; 84 ; 483.060.725 ; 218 ; 657.984.239 ; 391 ; 1.492.413.334 ; 276 ; 911.911.884 ; 341 ; 885.632.519 ; 617 ; 1.797.544.403 ; 1.008 ; 3.289.957.737 
15;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 396 ; 1.245.371.888 ; 212 ; 1.017.760.314 ; 608 ; 2.263.132.201 ; 31 ; 601.853.967 ; 17 ; 346.796.496 ; 48 ; 948.650.462 ; 656 ; 3.211.782.664 
16;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 443 ; 461.444.147 ; 399 ; 1.192.115.559 ; 842 ; 1.653.559.706 ; 41 ; 965.764.127 ; 16 ; 325.788.180 ; 57 ; 1.291.552.307 ; 899 ; 2.945.112.013 
17;59.588.111;BANCO VOTORANTIM S.A.; 148 ; 309.679.038 ; 810 ; 218.404.965 ; 412 ; 311.805.838 ; 752 ; 427.880.999 ; 2.122 ; 1.267.770.840 ; 370 ; 707.950.831 ; 725 ; 621.134.421 ; 1.095 ; 1.329.085.252 ; 3.217 ; 2.596.856.092 
18;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 30 ; 126.203.870 ; 22 ; 17.203.693 ; 35 ; 58.607.029 ; 66 ; 8.456.146 ; 153 ; 210.470.738 ; 89 ; 788.221.856 ; 100 ; 941.448.298 ; 189 ; 1.729.670.155 ; 342 ; 1.940.140.892 
19;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 149 ; 329.122.611 ; 40 ; 19.727.317 ; 100 ; 383.279.686 ; 209 ; 271.969.301 ; 498 ; 1.004.098.915 ; 24 ; 123.802.664 ; 40 ; 794.694.899 ; 64 ; 918.497.562 ; 562 ; 1.922.596.477 
20;61.820.817;BANCO PAULISTA S.A.; 266 ; 189.994.102 ; 451 ; 27.779.397 ; 61.367 ; 175.048.410 ; 1.522 ; 141.520.607 ; 63.606 ; 534.342.516 ; 1.902 ; 559.554.811 ; 10.934 ; 737.468.106 ; 12.836 ; 1.297.022.917 ; 76.442 ; 1.831.365.433 
21;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 206 ; 193.558.396 ; 840 ; 335.458.904 ; 382 ; 123.897.246 ; 548 ; 111.165.567 ; 1.976 ; 764.080.113 ; 153 ; 515.148.715 ; 146 ; 498.401.402 ; 299 ; 1.013.550.116 ; 2.275 ; 1.777.630.230 
22;49.336.860;ING BANK N.V.; 45 ; 607.900.000 ; 7 ; 48.133.027 ; 27 ; 55.342.539 ; 54 ; 24.111.925 ; 133 ; 735.487.490 ; 66 ; 232.129.813 ; 88 ; 709.325.238 ; 154 ; 941.455.052 ; 287 ; 1.676.942.542 
23;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 41 ; 230.273.767 ; 34 ; 10.060.583 ; 16 ; 28.386.378 ; 119 ; 197.728.489 ; 210 ; 466.449.217 ; 24 ; 425.778.073 ; 19 ; 464.541.173 ; 43 ; 890.319.245 ; 253 ; 1.356.768.462 
24;28.195.667;BANCO ABC BRASIL S.A.; 118 ; 52.321.924 ; 150 ; 24.503.099 ; 46 ; 227.602.483 ; 310 ; 160.309.781 ; 624 ; 464.737.286 ; 120 ; 322.610.921 ; 188 ; 408.408.381 ; 308 ; 731.019.302 ; 932 ; 1.195.756.588 
25;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 77 ; 69.727.583 ; 181 ; 16.490.223 ; 15 ; 214.484.969 ; 230 ; 184.743.648 ; 503 ; 485.446.424 ; 35 ; 186.137.932 ; 36 ; 269.090.162 ; 71 ; 455.228.094 ; 574 ; 940.674.518 
26;68.900.810;BANCO RENDIMENTO S.A.; 26 ; 1.568.936 ; 102 ; 9.528.627 ; 33.601 ; 217.021.997 ; 17.482 ; 142.781.113 ; 51.211 ; 370.900.673 ; 701 ; 229.866.184 ; 8.873 ; 289.065.853 ; 9.574 ; 518.932.037 ; 60.785 ; 889.832.711 
27;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 64 ; 5.810.086 ; 611 ; 26.444.788 ; 277 ; 69.261.142 ; 29.399 ; 78.406.348 ; 30.351 ; 179.922.365 ; 252 ; 300.837.818 ; 398 ; 278.356.933 ; 650 ; 579.194.751 ; 31.001 ; 759.117.116 
28;58.160.789;BANCO SAFRA S.A.; 252 ; 152.580.949 ; 637 ; 59.456.993 ; 1.048 ; 107.039.777 ; 2.025 ; 158.646.549 ; 3.962 ; 477.724.269 ; 131 ; 103.564.563 ; 131 ; 132.619.014 ; 262 ; 236.183.577 ; 4.224 ; 713.907.846 
29;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 307 ; 12.720.403 ; 1.547 ; 55.898.813 ; 1.190 ; 70.006.399 ; 2.756 ; 90.863.385 ; 5.800 ; 229.489.000 ; 783 ; 237.440.285 ; 7.220 ; 185.396.464 ; 8.003 ; 422.836.749 ; 13.803 ; 652.325.749 
30;78.632.767;BANCO OURINVEST S.A.; 186 ; 19.631.802 ; 921 ; 51.314.564 ; 704 ; 86.575.386 ; 1.596 ; 132.493.556 ; 3.407 ; 290.015.309 ; 626 ; 205.933.702 ; 9.615 ; 154.567.804 ; 10.241 ; 360.501.506 ; 13.648 ; 650.516.815 
31;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 3 ; 282.236 ; 1 ; 10.355 ; 195 ; 261.501.228 ; 202 ; 202.037.134 ; 401 ; 463.830.953 ; 14 ; 114.216.236 ; 11 ; 4.215.658 ; 25 ; 118.431.894 ; 426 ; 582.262.847 
32;00.360.305;CAIXA ECONOMICA FEDERAL; 218 ; 36.696.877 ; 126 ; 5.319.738 ; 8.065 ; 99.882.320 ; 1.639 ; 108.112.504 ; 10.048 ; 250.011.439 ; 99 ; 127.396.796 ; 110 ; 150.342.010 ; 209 ; 277.738.806 ; 10.257 ; 527.750.245 
33;03.532.415;BANCO ABN AMRO S.A.; 8 ; 21.219.877 ;;; 47 ; 217.452.846 ; 51 ; 205.021.861 ; 106 ; 443.694.584 ; 8 ; 18.487.034 ; 14 ; 51.969.801 ; 22 ; 70.456.835 ; 128 ; 514.151.419 
34;58.616.418;BANCO FIBRA S.A.; 107 ; 120.623.987 ; 426 ; 51.973.376 ; 94 ; 90.806.629 ; 291 ; 95.160.129 ; 918 ; 358.564.121 ; 25 ; 14.111.577 ; 42 ; 135.657.023 ; 67 ; 149.768.600 ; 985 ; 508.332.721 
35;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 1 ; 10.000.000 ; 30 ; 17.803.413 ; 15 ; 169.696.738 ; 19 ; 141.047.090 ; 65 ; 338.547.241 ; 20 ; 63.792.567 ; 19 ; 89.822.432 ; 39 ; 153.614.998 ; 104 ; 492.162.239 
36;13.059.145;BEXS BANCO DE CÂMBIO S/A; 19 ; 95.393.212 ; 41 ; 1.564.275 ; 143 ; 14.103.321 ; 409 ; 117.525.402 ; 612 ; 228.586.211 ; 143 ; 119.996.826 ; 54 ; 108.844.214 ; 197 ; 228.841.040 ; 809 ; 457.427.251 
37;62.232.889;BANCO DAYCOVAL S.A.; 642 ; 90.821.217 ; 711 ; 38.869.148 ; 781 ; 17.956.733 ; 2.213 ; 46.928.100 ; 4.347 ; 194.575.198 ; 440 ; 127.457.311 ; 2.388 ; 132.580.691 ; 2.828 ; 260.038.002 ; 7.175 ; 454.613.200 
38;71.027.866;BANCO BONSUCESSO S.A.; 50 ; 4.666.666 ; 236 ; 15.014.967 ; 612 ; 69.525.539 ; 811 ; 53.303.278 ; 1.709 ; 142.510.450 ; 308 ; 123.522.830 ; 2.159 ; 133.154.371 ; 2.467 ; 256.677.201 ; 4.176 ; 399.187.651 
39;10.690.848;BANCO DA CHINA BRASIL S.A.; 160 ; 47.865.491 ; 19 ; 3.985.660 ; 17 ; 133.663.257 ; 66 ; 17.064.022 ; 262 ; 202.578.430 ; 32 ; 10.913.069 ; 37 ; 171.415.986 ; 69 ; 182.329.055 ; 331 ; 384.907.484 
40;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 48 ; 46.891.208 ; 142 ; 30.734.434 ; 100 ; 68.633.195 ; 64 ; 6.108.468 ; 354 ; 152.367.306 ; 72 ; 59.682.476 ; 76 ; 146.940.993 ; 148 ; 206.623.468 ; 502 ; 358.990.774 
41;30.723.886;BANCO MODAL S.A.; 17 ; 23.123.685 ; 106 ; 16.821.149 ; 94 ; 67.825.564 ; 135 ; 23.184.563 ; 352 ; 130.954.961 ; 21 ; 86.588.563 ; 29 ; 135.017.417 ; 50 ; 221.605.980 ; 402 ; 352.560.941 
42;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 1.012 ; 72.226.703 ; 1.105 ; 56.209.069 ; 529 ; 63.905.192 ; 1.295 ; 31.558.972 ; 3.941 ; 223.899.936 ; 29 ; 24.584.003 ; 46 ; 76.962.991 ; 75 ; 101.546.994 ; 4.016 ; 325.446.930 
