Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Set/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 50.464 ; 20.377.161.974 ; 189.281 ; 23.374.761.036 ; 175.185 ; 53.393.789.923 ; 264.572 ; 50.507.281.464 ; 679.502 ; 147.652.994.397 ; 6.119 ; 65.572.096.890 ; 5.734 ; 59.229.423.814 ; 11.853 ; 124.801.520.704 ; 691.355 ; 272.454.515.100 
2;33.479.023;BANCO CITIBANK S.A.; 12.277 ; 14.295.121.965 ; 61.152 ; 16.102.234.222 ; 61.566 ; 67.387.754.981 ; 82.514 ; 64.153.078.026 ; 217.509 ; 161.938.189.194 ; 2.694 ; 25.799.442.515 ; 2.914 ; 27.162.731.010 ; 5.608 ; 52.962.173.525 ; 223.117 ; 214.900.362.718 
3;60.746.948;BANCO BRADESCO S.A.; 66.700 ; 40.398.773.524 ; 180.939 ; 29.882.914.853 ; 377.870 ; 38.291.608.382 ; 247.373 ; 46.013.413.899 ; 872.882 ; 154.586.710.658 ; 5.814 ; 25.874.448.137 ; 6.126 ; 28.486.116.744 ; 11.940 ; 54.360.564.880 ; 884.822 ; 208.947.275.538 
4;60.701.190;ITAÚ UNIBANCO S.A.; 66.551 ; 13.419.242.815 ; 142.321 ; 13.157.854.219 ; 321.442 ; 37.293.403.694 ; 282.654 ; 33.453.334.313 ; 812.968 ; 97.323.835.041 ; 2.644 ; 34.337.940.716 ; 2.575 ; 30.372.033.099 ; 5.219 ; 64.709.973.815 ; 818.187 ; 162.033.808.856 
5;33.172.537;BANCO J.P. MORGAN S.A.; 2.635 ; 6.544.004.788 ; 21.554 ; 6.048.669.283 ; 8.806 ; 38.700.780.051 ; 17.535 ; 39.928.194.836 ; 50.530 ; 91.221.648.958 ; 2.433 ; 29.241.558.474 ; 2.383 ; 28.618.662.492 ; 4.816 ; 57.860.220.966 ; 55.346 ; 149.081.869.924 
6;00.000.000;BANCO DO BRASIL S.A.; 67.855 ; 35.801.551.731 ; 88.458 ; 18.343.899.972 ; 160.622 ; 13.515.594.020 ; 258.514 ; 20.314.099.109 ; 575.449 ; 87.975.144.831 ; 2.888 ; 8.764.826.373 ; 3.174 ; 19.368.569.732 ; 6.062 ; 28.133.396.105 ; 581.511 ; 116.108.540.936 
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 838 ; 1.527.181.223 ; 3.690 ; 871.628.235 ; 1.722 ; 16.433.753.823 ; 3.524 ; 17.681.662.134 ; 9.774 ; 36.514.225.416 ; 1.594 ; 27.056.631.152 ; 1.500 ; 25.967.588.755 ; 3.094 ; 53.024.219.907 ; 12.868 ; 89.538.445.323 
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.783 ; 4.237.364.087 ; 9.424 ; 2.344.315.844 ; 7.542 ; 14.137.172.368 ; 14.675 ; 14.470.413.881 ; 33.424 ; 35.189.266.180 ; 3.870 ; 15.907.129.208 ; 3.885 ; 16.826.959.187 ; 7.755 ; 32.734.088.395 ; 41.179 ; 67.923.354.575 
9;60.498.557;BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.; 1.422 ; 865.275.901 ; 4.384 ; 708.190.602 ; 4.552 ; 4.788.039.827 ; 4.712 ; 4.586.272.851 ; 15.070 ; 10.947.779.180 ; 4.789 ; 26.837.175.413 ; 4.643 ; 26.597.201.837 ; 9.432 ; 53.434.377.250 ; 24.502 ; 64.382.156.430 
10;30.306.294;BANCO BTG PACTUAL S.A.; 156 ; 1.527.105.701 ; 659 ; 375.200.226 ; 3.108 ; 7.097.874.254 ; 5.537 ; 6.191.450.582 ; 9.460 ; 15.191.630.763 ; 807 ; 23.876.672.834 ; 874 ; 24.810.621.740 ; 1.681 ; 48.687.294.575 ; 11.141 ; 63.878.925.338 
11;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 1.149 ; 4.162.169.564 ; 3.826 ; 2.500.340.531 ; 3.105 ; 13.878.285.695 ; 14.917 ; 16.870.821.057 ; 22.997 ; 37.411.616.847 ; 958 ; 10.571.440.354 ; 851 ; 9.867.420.554 ; 1.809 ; 20.438.860.908 ; 24.806 ; 57.850.477.755 
12;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 27 ; 96.831.654 ; 4 ; 1.913.225 ; 1.806 ; 6.176.545.697 ; 1.940 ; 7.432.657.147 ; 3.777 ; 13.707.947.723 ; 407 ; 10.237.770.083 ; 445 ; 8.959.402.795 ; 852 ; 19.197.172.878 ; 4.629 ; 32.905.120.601 
13;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 2.628 ; 10.475.479.398 ; 1.950 ; 9.488.299.146 ; 4.578 ; 19.963.778.543 ; 187 ; 5.213.396.661 ; 237 ; 6.741.711.235 ; 424 ; 11.955.107.896 ; 5.002 ; 31.918.886.439 
14;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 208 ; 1.237.300.705 ; 687 ; 897.697.797 ; 811 ; 4.144.207.673 ; 1.729 ; 5.216.475.484 ; 3.435 ; 11.495.681.660 ; 2.104 ; 10.261.487.204 ; 2.812 ; 9.595.110.143 ; 4.916 ; 19.856.597.347 ; 8.351 ; 31.352.279.006 
15;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.366 ; 3.118.843.516 ; 5.767 ; 2.258.281.343 ; 3.106 ; 4.752.192.004 ; 8.587 ; 6.150.510.651 ; 18.826 ; 16.279.827.515 ; 826 ; 7.025.260.137 ; 749 ; 6.184.647.245 ; 1.575 ; 13.209.907.382 ; 20.401 ; 29.489.734.896 
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 212 ; 630.052.025 ; 134 ; 113.259.195 ; 297 ; 1.001.934.616 ; 492 ; 167.575.957 ; 1.135 ; 1.912.821.793 ; 1.018 ; 12.409.676.899 ; 1.094 ; 13.759.677.510 ; 2.112 ; 26.169.354.409 ; 3.247 ; 28.082.176.202 
17;02.801.938;BANCO MORGAN STANLEY S.A.; 2 ; 197.000.000 ;;; 4.933 ; 7.623.542.400 ; 4.763 ; 9.402.434.392 ; 9.698 ; 17.222.976.792 ; 291 ; 6.225.517.789 ; 223 ; 4.311.057.573 ; 514 ; 10.536.575.361 ; 10.212 ; 27.759.552.153 
18;59.588.111;BANCO VOTORANTIM S.A.; 1.035 ; 2.232.482.840 ; 5.402 ; 1.350.084.550 ; 2.809 ; 2.754.631.618 ; 6.930 ; 3.529.128.609 ; 16.176 ; 9.866.327.617 ; 2.887 ; 6.264.316.639 ; 7.375 ; 6.400.806.428 ; 10.262 ; 12.665.123.066 ; 26.438 ; 22.531.450.684 
19;49.336.860;ING BANK N.V.; 267 ; 2.557.862.062 ; 168 ; 243.567.697 ; 199 ; 641.185.389 ; 478 ; 248.189.931 ; 1.112 ; 3.690.805.079 ; 307 ; 5.744.077.537 ; 415 ; 8.504.768.688 ; 722 ; 14.248.846.225 ; 1.834 ; 17.939.651.304 
20;61.820.817;BANCO PAULISTA S.A.; 1.791 ; 1.249.780.902 ; 4.452 ; 315.896.222 ; 312.868 ; 1.484.882.660 ; 14.304 ; 1.560.081.547 ; 333.415 ; 4.610.641.332 ; 15.168 ; 5.625.140.025 ; 111.092 ; 6.469.727.458 ; 126.260 ; 12.094.867.483 ; 459.675 ; 16.705.508.814 
21;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 73 ; 201.941.471 ;;; 73 ; 201.941.471 ; 11 ; 7.075.000.000 ; 11 ; 7.075.000.000 ; 22 ; 14.150.000.000 ; 95 ; 14.351.941.471 
22;58.160.789;BANCO SAFRA S.A.; 1.842 ; 1.087.080.550 ; 7.853 ; 979.626.069 ; 9.252 ; 2.072.605.052 ; 20.252 ; 3.191.009.538 ; 39.199 ; 7.330.321.209 ; 1.561 ; 2.925.527.641 ; 1.503 ; 1.893.233.653 ; 3.064 ; 4.818.761.294 ; 42.263 ; 12.149.082.503 
23;28.195.667;BANCO ABC BRASIL S.A.; 720 ; 332.933.242 ; 1.461 ; 227.916.716 ; 323 ; 1.629.761.283 ; 2.076 ; 1.233.627.719 ; 4.580 ; 3.424.238.960 ; 1.072 ; 3.272.189.264 ; 1.717 ; 3.558.152.823 ; 2.789 ; 6.830.342.087 ; 7.369 ; 10.254.581.047 
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 972 ; 2.264.191.202 ; 326 ; 278.947.723 ; 713 ; 1.560.800.967 ; 2.216 ; 1.718.156.538 ; 4.227 ; 5.822.096.431 ; 136 ; 994.824.390 ; 194 ; 2.977.392.981 ; 330 ; 3.972.217.371 ; 4.557 ; 9.794.313.802 
25;68.900.810;BANCO RENDIMENTO S.A.; 181 ; 27.799.737 ; 1.116 ; 206.969.393 ; 373.981 ; 1.359.832.139 ; 64.634 ; 1.486.447.441 ; 439.912 ; 3.081.048.709 ; 5.333 ; 3.243.687.674 ; 83.473 ; 2.982.614.065 ; 88.806 ; 6.226.301.739 ; 528.718 ; 9.307.350.449 
26;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.614 ; 734.094.052 ; 6.243 ; 1.400.801.576 ; 3.248 ; 1.514.453.106 ; 5.234 ; 1.005.963.131 ; 16.339 ; 4.655.311.865 ; 1.021 ; 2.298.783.034 ; 1.009 ; 2.140.061.257 ; 2.030 ; 4.438.844.290 ; 18.369 ; 9.094.156.156 
27;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 2.165 ; 98.327.726 ; 13.421 ; 557.084.283 ; 8.637 ; 966.380.552 ; 27.185 ; 1.208.285.999 ; 51.408 ; 2.830.078.560 ; 7.789 ; 3.268.806.365 ; 71.366 ; 2.580.279.013 ; 79.155 ; 5.849.085.378 ; 130.563 ; 8.679.163.938 
28;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 287 ; 691.796.007 ; 283 ; 78.477.281 ; 139 ; 1.771.650.540 ; 784 ; 882.421.648 ; 1.493 ; 3.424.345.476 ; 96 ; 1.469.125.201 ; 158 ; 2.900.398.378 ; 254 ; 4.369.523.579 ; 1.747 ; 7.793.869.055 
