Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em SETEMBRO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.252 ; 4.418.707.520 ; 19.524 ; 4.422.221.201 ; 16.517 ; 3.214.701.866 ; 27.334 ; 3.238.377.651 ; 68.627 ; 15.294.008.238 ; 672 ; 5.984.843.214 ; 660 ; 6.841.449.492 ; 1.332 ; 12.826.292.706 ; 69.959 ; 28.120.300.944 
2;33.479.023;BANCO CITIBANK S.A.; 1.243 ; 1.152.688.299 ; 6.941 ; 1.638.802.797 ; 5.650 ; 5.233.013.930 ; 7.016 ; 5.481.372.927 ; 20.850 ; 13.505.877.953 ; 271 ; 2.536.280.716 ; 282 ; 2.254.644.503 ; 553 ; 4.790.925.219 ; 21.403 ; 18.296.803.172 
3;60.746.948;BANCO BRADESCO S.A.; 6.696 ; 2.979.346.123 ; 19.135 ; 2.882.983.533 ; 42.166 ; 2.727.527.179 ; 24.744 ; 4.600.035.943 ; 92.741 ; 13.189.892.778 ; 533 ; 3.543.909.244 ; 498 ; 1.318.807.494 ; 1.031 ; 4.862.716.738 ; 93.772 ; 18.052.609.516 
4;60.701.190;ITAÚ UNIBANCO S.A.; 6.662 ; 1.228.979.455 ; 15.682 ; 1.481.176.476 ; 30.039 ; 2.296.110.995 ; 28.692 ; 2.510.946.588 ; 81.075 ; 7.517.213.514 ; 294 ; 3.836.732.592 ; 298 ; 3.613.845.687 ; 592 ; 7.450.578.279 ; 81.667 ; 14.967.791.793 
5;33.172.537;BANCO J.P. MORGAN S.A.; 245 ; 732.645.688 ; 2.065 ; 411.023.004 ; 906 ; 2.890.941.591 ; 1.723 ; 3.758.623.697 ; 4.939 ; 7.793.233.980 ; 221 ; 1.464.170.422 ; 248 ; 3.371.045.997 ; 469 ; 4.835.216.419 ; 5.408 ; 12.628.450.400 
6;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 176 ; 909.518.843 ; 614 ; 192.381.794 ; 728 ; 758.088.150 ; 1.144 ; 1.404.470.080 ; 2.662 ; 3.264.458.866 ; 343 ; 4.112.242.646 ; 337 ; 3.983.404.965 ; 680 ; 8.095.647.611 ; 3.342 ; 11.360.106.478 
7;00.000.000;BANCO DO BRASIL S.A.; 6.825 ; 2.804.885.405 ; 9.960 ; 2.586.547.082 ; 14.753 ; 1.270.819.044 ; 27.691 ; 2.208.838.680 ; 59.229 ; 8.871.090.211 ; 304 ; 1.528.956.030 ; 301 ; 605.889.812 ; 605 ; 2.134.845.841 ; 59.834 ; 11.005.936.052 
8;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 108 ; 117.419.170 ; 401 ; 132.589.943 ; 142 ; 2.515.346.131 ; 349 ; 2.385.108.369 ; 1.000 ; 5.150.463.612 ; 206 ; 1.115.720.655 ; 198 ; 1.246.462.043 ; 404 ; 2.362.182.698 ; 1.404 ; 7.512.646.310 
9;30.306.294;BANCO BTG PACTUAL S.A.; 14 ; 95.451.396 ; 67 ; 40.002.312 ; 342 ; 623.577.208 ; 474 ; 313.455.253 ; 897 ; 1.072.486.169 ; 70 ; 1.516.110.351 ; 119 ; 3.063.009.067 ; 189 ; 4.579.119.419 ; 1.086 ; 5.651.605.587 
