Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Out/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 56.718 ; 22.939.662.294 ; 211.167 ; 26.130.638.661 ; 197.096 ; 56.655.086.601 ; 302.201 ; 55.292.841.273 ; 767.182 ; 161.018.228.829 ; 7.056 ; 73.692.941.363 ; 6.584 ; 65.137.995.675 ; 13.640 ; 138.830.937.038 ; 780.822 ; 299.849.165.866 
2;33.479.023;BANCO CITIBANK S.A.; 13.597 ; 16.213.673.237 ; 68.994 ; 17.755.984.825 ; 68.468 ; 75.395.441.143 ; 92.614 ; 73.253.350.269 ; 243.673 ; 182.618.449.474 ; 2.973 ; 28.472.850.329 ; 3.203 ; 29.340.439.469 ; 6.176 ; 57.813.289.798 ; 249.849 ; 240.431.739.272 
3;60.746.948;BANCO BRADESCO S.A.; 74.526 ; 43.723.848.417 ; 202.102 ; 33.014.373.031 ; 422.088 ; 44.999.653.105 ; 278.630 ; 52.750.957.735 ; 977.346 ; 174.488.832.289 ; 6.365 ; 27.671.935.620 ; 6.763 ; 31.798.814.497 ; 13.128 ; 59.470.750.117 ; 990.474 ; 233.959.582.406 
4;60.701.190;ITAÚ UNIBANCO S.A.; 74.425 ; 15.183.117.191 ; 161.125 ; 15.218.972.511 ; 356.507 ; 41.210.809.225 ; 319.865 ; 38.281.101.041 ; 911.922 ; 109.893.999.969 ; 3.059 ; 40.264.403.657 ; 2.957 ; 34.747.119.806 ; 6.016 ; 75.011.523.463 ; 917.938 ; 184.905.523.432 
5;33.172.537;BANCO J.P. MORGAN S.A.; 2.954 ; 7.384.975.211 ; 24.428 ; 6.870.681.618 ; 9.915 ; 47.024.106.632 ; 19.797 ; 45.470.403.421 ; 57.094 ; 106.750.166.883 ; 2.718 ; 34.016.728.667 ; 2.699 ; 35.925.701.329 ; 5.417 ; 69.942.429.996 ; 62.511 ; 176.692.596.879 
6;00.000.000;BANCO DO BRASIL S.A.; 76.160 ; 40.131.012.983 ; 100.444 ; 21.657.873.581 ; 176.630 ; 14.455.492.495 ; 284.231 ; 23.008.869.283 ; 637.465 ; 99.253.248.342 ; 3.230 ; 10.924.888.569 ; 3.522 ; 20.661.185.590 ; 6.752 ; 31.586.074.159 ; 644.217 ; 130.839.322.501 
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 943 ; 1.627.419.324 ; 4.208 ; 1.046.707.088 ; 1.941 ; 20.249.138.704 ; 4.078 ; 19.887.328.620 ; 11.170 ; 42.810.593.737 ; 1.843 ; 28.489.965.578 ; 1.821 ; 29.470.881.449 ; 3.664 ; 57.960.847.027 ; 14.834 ; 100.771.440.764 
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.948 ; 4.722.480.095 ; 10.262 ; 2.603.293.300 ; 8.501 ; 15.297.558.606 ; 16.258 ; 16.173.003.272 ; 36.969 ; 38.796.335.273 ; 4.345 ; 17.582.771.628 ; 4.366 ; 18.351.517.984 ; 8.711 ; 35.934.289.612 ; 45.680 ; 74.730.624.885 
9;30.306.294;BANCO BTG PACTUAL S.A.; 176 ; 1.834.207.335 ; 740 ; 432.987.893 ; 3.432 ; 7.633.981.160 ; 6.175 ; 6.622.459.099 ; 10.523 ; 16.523.635.486 ; 907 ; 26.520.709.425 ; 1.003 ; 27.141.076.426 ; 1.910 ; 53.661.785.851 ; 12.433 ; 70.185.421.337 
