Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;33.172.537;BANCO J.P. MORGAN S.A.; 319 ; 840.970.423 ; 2.874 ; 822.012.334 ; 1.109 ; 8.323.326.581 ; 2.262 ; 5.542.208.585 ; 6.564 ; 15.528.517.924 ; 285 ; 4.775.170.193 ; 316 ; 7.307.038.838 ; 601 ; 12.082.209.030 ; 7.165 ; 27.610.726.955 
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 6.259 ; 2.563.236.724 ; 21.888 ; 2.756.075.703 ; 21.912 ; 3.261.253.406 ; 37.638 ; 4.786.251.805 ; 87.697 ; 13.366.817.637 ; 937 ; 8.120.844.473 ; 850 ; 5.908.571.861 ; 1.787 ; 14.029.416.334 ; 89.484 ; 27.396.233.971 
3;33.479.023;BANCO CITIBANK S.A.; 1.320 ; 1.918.551.272 ; 7.842 ; 1.653.750.604 ; 6.907 ; 8.007.737.490 ; 10.099 ; 9.100.272.243 ; 26.168 ; 20.680.311.608 ; 279 ; 2.673.407.814 ; 289 ; 2.177.708.459 ; 568 ; 4.851.116.273 ; 26.736 ; 25.531.427.881 
4;60.746.948;BANCO BRADESCO S.A.; 7.827 ; 3.325.077.446 ; 21.169 ; 3.131.556.659 ; 44.223 ; 6.718.246.888 ; 31.256 ; 6.747.689.291 ; 104.475 ; 19.922.570.284 ; 551 ; 1.797.487.483 ; 637 ; 3.312.697.753 ; 1.188 ; 5.110.185.236 ; 105.663 ; 25.032.755.521 
5;60.701.190;ITAÚ UNIBANCO S.A.; 7.882 ; 1.765.210.586 ; 18.806 ; 2.061.463.191 ; 35.064 ; 3.916.803.074 ; 37.208 ; 4.827.461.340 ; 98.960 ; 12.570.938.190 ; 415 ; 5.926.462.941 ; 382 ; 4.375.086.707 ; 797 ; 10.301.549.648 ; 99.757 ; 22.872.487.838 
6;00.000.000;BANCO DO BRASIL S.A.; 8.312 ; 4.329.814.925 ; 11.989 ; 3.314.112.231 ; 16.008 ; 940.382.144 ; 25.717 ; 2.694.770.175 ; 62.026 ; 11.279.079.475 ; 342 ; 2.160.062.196 ; 348 ; 1.292.615.858 ; 690 ; 3.452.678.054 ; 62.716 ; 14.731.757.529 
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 105 ; 100.238.101 ; 518 ; 175.078.853 ; 219 ; 3.815.384.881 ; 554 ; 2.205.666.486 ; 1.396 ; 6.296.368.321 ; 249 ; 1.433.334.426 ; 321 ; 3.503.292.694 ; 570 ; 4.936.627.120 ; 1.966 ; 11.232.995.441 
8;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 371 ; 3.699.428.508 ; 392 ; 2.321.504.227 ; 763 ; 6.020.932.736 ; 44 ; 1.323.255.934 ; 81 ; 2.546.404.863 ; 125 ; 3.869.660.798 ; 888 ; 9.890.593.534 
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 142 ; 657.876.770 ; 449 ; 306.325.825 ; 323 ; 2.145.962.549 ; 856 ; 3.097.305.605 ; 1.770 ; 6.207.470.749 ; 186 ; 1.784.090.133 ; 147 ; 1.154.458.983 ; 333 ; 2.938.549.115 ; 2.103 ; 9.146.019.865 
