Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Nov/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 62.336 ; 24.547.272.524 ; 230.694 ; 28.480.997.585 ; 214.585 ; 60.009.418.435 ; 332.911 ; 62.088.305.137 ; 840.526 ; 175.125.993.680 ; 7.773 ; 86.098.982.164 ; 7.231 ; 77.051.823.452 ; 15.004 ; 163.150.805.616 ; 855.530 ; 338.276.799.296 
2;60.746.948;BANCO BRADESCO S.A.; 81.970 ; 51.783.431.402 ; 219.980 ; 37.501.005.451 ; 462.420 ; 53.758.931.281 ; 303.469 ; 64.212.341.940 ; 1.067.839 ; 207.255.710.074 ; 6.916 ; 30.324.862.640 ; 7.375 ; 34.842.461.969 ; 14.291 ; 65.167.324.608 ; 1.082.130 ; 272.423.034.682 
3;33.479.023;BANCO CITIBANK S.A.; 14.836 ; 18.756.483.266 ; 75.498 ; 19.123.043.673 ; 73.595 ; 82.359.617.132 ; 101.115 ; 84.277.438.105 ; 265.044 ; 204.516.582.176 ; 3.269 ; 34.772.122.627 ; 3.445 ; 32.485.344.929 ; 6.714 ; 67.257.467.556 ; 271.758 ; 271.774.049.732 
4;60.701.190;ITAÚ UNIBANCO S.A.; 81.903 ; 16.746.084.986 ; 177.286 ; 16.662.249.414 ; 389.092 ; 45.184.929.957 ; 350.206 ; 43.113.270.203 ; 998.487 ; 121.706.534.560 ; 3.445 ; 45.756.363.472 ; 3.357 ; 39.916.367.372 ; 6.802 ; 85.672.730.844 ; 1.005.289 ; 207.379.265.404 
5;33.172.537;BANCO J.P. MORGAN S.A.; 3.223 ; 8.427.402.207 ; 26.847 ; 7.502.852.588 ; 10.846 ; 53.980.216.286 ; 21.780 ; 50.530.274.180 ; 62.696 ; 120.440.745.261 ; 3.000 ; 40.149.134.426 ; 3.033 ; 44.742.815.328 ; 6.033 ; 84.891.949.754 ; 68.729 ; 205.332.695.015 
6;00.000.000;BANCO DO BRASIL S.A.; 83.771 ; 43.952.122.746 ; 110.861 ; 23.936.147.534 ; 191.534 ; 15.756.190.506 ; 304.609 ; 25.650.296.134 ; 690.775 ; 109.294.756.920 ; 3.499 ; 11.546.163.044 ; 3.811 ; 21.460.781.761 ; 7.310 ; 33.006.944.804 ; 698.085 ; 142.301.701.724 
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 1.017 ; 1.700.166.727 ; 4.513 ; 1.146.827.136 ; 2.120 ; 22.517.982.814 ; 4.475 ; 22.150.806.630 ; 12.125 ; 47.515.783.307 ; 2.044 ; 34.625.569.018 ; 2.035 ; 36.227.240.177 ; 4.079 ; 70.852.809.195 ; 16.204 ; 118.368.592.502 
8;30.306.294;BANCO BTG PACTUAL S.A.; 185 ; 1.939.505.010 ; 803 ; 456.427.520 ; 3.668 ; 7.820.531.959 ; 6.718 ; 7.199.039.058 ; 11.374 ; 17.415.503.547 ; 1.022 ; 33.369.529.242 ; 1.119 ; 33.944.769.734 ; 2.141 ; 67.314.298.977 ; 13.515 ; 84.729.802.524 
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 2.087 ; 4.987.859.243 ; 11.042 ; 2.774.322.381 ; 9.165 ; 16.527.831.321 ; 17.594 ; 17.837.524.697 ; 39.888 ; 42.127.537.642 ; 4.712 ; 18.509.111.270 ; 4.713 ; 19.038.055.584 ; 9.425 ; 37.547.166.854 ; 49.313 ; 79.674.704.496 
10;60.498.557;BANCO MUFG BRASIL S.A.; 1.714 ; 998.287.166 ; 5.408 ; 829.829.642 ; 5.614 ; 5.414.946.495 ; 5.805 ; 5.133.677.601 ; 18.541 ; 12.376.740.905 ; 5.700 ; 30.596.463.479 ; 5.573 ; 30.465.714.994 ; 11.273 ; 61.062.178.473 ; 29.814 ; 73.438.919.378 
11;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 1.380 ; 5.167.092.255 ; 4.921 ; 3.158.081.346 ; 3.784 ; 17.308.300.612 ; 16.659 ; 21.434.714.166 ; 26.744 ; 47.068.188.380 ; 1.298 ; 13.945.721.639 ; 1.118 ; 12.139.167.687 ; 2.416 ; 26.084.889.326 ; 29.160 ; 73.153.077.706 
