Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em NOVEMBRO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;60.746.948;BANCO BRADESCO S.A.; 7.447 ; 8.059.690.786 ; 17.883 ; 4.486.658.080 ; 40.332 ; 8.759.278.256 ; 24.737 ; 11.461.456.145 ; 90.399 ; 32.767.083.268 ; 551 ; 2.652.927.019 ; 612 ; 3.043.647.472 ; 1.163 ; 5.696.574.492 ; 91.562 ; 38.463.657.759 
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.621 ; 1.608.269.021 ; 19.538 ; 2.350.690.591 ; 17.492 ; 3.354.833.184 ; 30.710 ; 6.795.549.403 ; 73.361 ; 14.109.342.198 ; 717 ; 12.406.040.801 ; 647 ; 11.913.827.777 ; 1.364 ; 24.319.868.578 ; 74.725 ; 38.429.210.776 
3;33.479.023;BANCO CITIBANK S.A.; 1.239 ; 2.542.810.029 ; 6.503 ; 1.366.927.370 ; 5.127 ; 6.964.175.989 ; 8.504 ; 11.024.242.814 ; 21.373 ; 21.898.156.202 ; 296 ; 6.299.272.298 ; 242 ; 3.144.905.460 ; 538 ; 9.444.177.758 ; 21.911 ; 31.342.333.960 
4;33.172.537;BANCO J.P. MORGAN S.A.; 269 ; 1.042.426.996 ; 2.419 ; 632.170.971 ; 928 ; 6.956.109.654 ; 1.983 ; 5.059.870.758 ; 5.599 ; 13.690.578.378 ; 282 ; 6.132.405.760 ; 334 ; 8.817.113.999 ; 616 ; 14.949.519.758 ; 6.215 ; 28.640.098.136 
5;60.701.190;ITAÚ UNIBANCO S.A.; 7.488 ; 1.563.305.331 ; 16.169 ; 1.443.524.196 ; 32.579 ; 3.974.101.441 ; 30.337 ; 4.832.227.976 ; 86.573 ; 11.813.158.943 ; 386 ; 5.491.959.815 ; 400 ; 5.169.247.565 ; 786 ; 10.661.207.380 ; 87.359 ; 22.474.366.324 
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 74 ; 72.747.402 ; 305 ; 100.120.048 ; 179 ; 2.268.844.110 ; 397 ; 2.263.478.009 ; 955 ; 4.705.189.570 ; 201 ; 6.135.603.440 ; 214 ; 6.756.358.728 ; 415 ; 12.891.962.169 ; 1.370 ; 17.597.151.738 
7;30.306.294;BANCO BTG PACTUAL S.A.; 9 ; 105.297.676 ; 63 ; 23.439.626 ; 236 ; 186.550.800 ; 543 ; 576.579.959 ; 851 ; 891.868.061 ; 115 ; 6.848.819.817 ; 116 ; 6.803.693.309 ; 231 ; 13.652.513.126 ; 1.082 ; 14.544.381.187 
8;00.000.000;BANCO DO BRASIL S.A.; 7.614 ; 3.821.215.575 ; 10.424 ; 2.280.899.294 ; 14.906 ; 1.301.133.626 ; 20.380 ; 2.641.684.140 ; 53.324 ; 10.044.932.634 ; 269 ; 621.274.475 ; 289 ; 799.596.170 ; 558 ; 1.420.870.646 ; 53.882 ; 11.465.803.280 
9;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 5 ; 8.175.544 ;;; 5 ; 8.175.544 ; 7 ; 4.250.000.000 ; 7 ; 4.250.000.000 ; 14 ; 8.500.000.000 ; 19 ; 8.508.175.544 
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 89 ; 347.045.922 ; 647 ; 351.418.160 ; 356 ; 1.284.052.547 ; 885 ; 1.466.584.514 ; 1.977 ; 3.449.101.143 ; 154 ; 1.590.191.152 ; 120 ; 1.117.288.151 ; 274 ; 2.707.479.303 ; 2.251 ; 6.156.580.446 
11;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 3 ; 213.456 ;;; 188 ; 2.407.993.049 ; 151 ; 2.031.390.496 ; 342 ; 4.439.597.001 ; 16 ; 217.145.469 ; 46 ; 1.290.645.733 ; 62 ; 1.507.791.202 ; 404 ; 5.947.388.203 
12;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 138 ; 265.382.283 ; 780 ; 171.029.081 ; 664 ; 1.230.272.715 ; 1.336 ; 1.664.521.425 ; 2.918 ; 3.331.205.505 ; 367 ; 926.339.642 ; 347 ; 686.537.600 ; 714 ; 1.612.877.242 ; 3.632 ; 4.944.082.747 
13;60.498.557;BANCO MUFG BRASIL S.A.; 130 ; 83.309.825 ; 450 ; 58.696.339 ; 515 ; 281.034.839 ; 535 ; 213.611.874 ; 1.630 ; 636.652.877 ; 434 ; 2.033.507.306 ; 435 ; 2.208.744.834 ; 869 ; 4.242.252.140 ; 2.499 ; 4.878.905.017 
14;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 140 ; 1.107.584.529 ; 234 ; 1.387.324.137 ; 374 ; 2.494.908.666 ; 31 ; 1.044.645.707 ; 15 ; 495.648.928 ; 46 ; 1.540.294.635 ; 420 ; 4.035.203.300 
15;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 79 ; 257.154.276 ; 516 ; 218.011.390 ; 264 ; 631.541.813 ; 708 ; 903.861.526 ; 1.567 ; 2.010.569.005 ; 79 ; 622.711.191 ; 61 ; 454.986.324 ; 140 ; 1.077.697.514 ; 1.707 ; 3.088.266.519 
16;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 337 ; 749.190.284 ; 465 ; 1.493.795.008 ; 802 ; 2.242.985.292 ; 36 ; 490.584.886 ; 18 ; 314.546.522 ; 54 ; 805.131.408 ; 856 ; 3.048.116.700 
17;49.336.860;ING BANK N.V.; 25 ; 134.311.369 ;;; 11 ; 1.766.139 ; 56 ; 7.835.585 ; 92 ; 143.913.094 ; 68 ; 1.189.773.036 ; 78 ; 1.380.718.558 ; 146 ; 2.570.491.594 ; 238 ; 2.714.404.688 
18;59.588.111;BANCO VOTORANTIM S.A.; 127 ; 166.315.249 ; 728 ; 169.783.256 ; 480 ; 413.962.458 ; 784 ; 496.767.646 ; 2.119 ; 1.246.828.609 ; 301 ; 691.668.517 ; 640 ; 629.191.476 ; 941 ; 1.320.859.993 ; 3.060 ; 2.567.688.602 
19;28.195.667;BANCO ABC BRASIL S.A.; 77 ; 52.138.558 ; 156 ; 22.262.321 ; 34 ; 93.599.036 ; 211 ; 51.230.996 ; 478 ; 219.230.912 ; 115 ; 969.316.870 ; 184 ; 858.111.553 ; 299 ; 1.827.428.423 ; 777 ; 2.046.659.335 
20;61.820.817;BANCO PAULISTA S.A.; 188 ; 108.139.662 ; 442 ; 26.689.843 ; 84.497 ; 179.969.867 ; 1.187 ; 134.543.464 ; 86.314 ; 449.342.837 ; 1.515 ; 612.026.369 ; 9.441 ; 753.266.505 ; 10.956 ; 1.365.292.873 ; 97.270 ; 1.814.635.710 
21;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 9 ; 60.752.121 ; 24 ; 38.961.559 ; 100 ; 237.667.996 ; 100 ; 236.165.030 ; 233 ; 573.546.706 ; 127 ; 480.855.825 ; 276 ; 615.285.300 ; 403 ; 1.096.141.125 ; 636 ; 1.669.687.832 
22;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 14 ; 61.387.435 ; 8 ; 428.003 ; 38 ; 24.052.119 ; 63 ; 7.871.773 ; 123 ; 93.739.330 ; 60 ; 731.442.263 ; 66 ; 807.075.789 ; 126 ; 1.538.518.052 ; 249 ; 1.632.257.381 
23;03.532.415;BANCO ABN AMRO S.A.; 11 ; 50.500.000 ;;; 68 ; 651.755.236 ; 74 ; 649.493.480 ; 153 ; 1.351.748.716 ; 7 ; 6.564.253 ; 15 ; 56.829.931 ; 22 ; 63.394.183 ; 175 ; 1.415.142.899 
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 95 ; 107.373.902 ; 29 ; 41.610.344 ; 86 ; 342.954.184 ; 203 ; 151.986.044 ; 413 ; 643.924.474 ; 34 ; 140.266.848 ; 43 ; 425.523.101 ; 77 ; 565.789.949 ; 490 ; 1.209.714.424 
25;58.160.789;BANCO SAFRA S.A.; 221 ; 74.175.241 ; 822 ; 74.828.857 ; 901 ; 433.632.674 ; 1.852 ; 114.003.738 ; 3.796 ; 696.640.509 ; 116 ; 67.607.236 ; 123 ; 378.598.325 ; 239 ; 446.205.561 ; 4.035 ; 1.142.846.070 
26;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 31 ; 64.177.430 ; 13 ; 10.133.589 ; 13 ; 59.443.519 ; 125 ; 13.243.830 ; 182 ; 146.998.368 ; 20 ; 327.599.945 ; 31 ; 657.597.024 ; 51 ; 985.196.969 ; 233 ; 1.132.195.338 
27;68.900.810;BANCO RENDIMENTO S.A.; 25 ; 1.118.429 ; 155 ; 55.940.304 ; 41.255 ; 158.525.648 ; 16.171 ; 153.020.591 ; 57.606 ; 368.604.972 ; 624 ; 347.913.726 ; 8.348 ; 294.837.423 ; 8.972 ; 642.751.149 ; 66.578 ; 1.011.356.121 
28;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 147 ; 57.835.473 ; 731 ; 206.238.027 ; 326 ; 41.154.987 ; 580 ; 166.713.033 ; 1.784 ; 471.941.520 ; 117 ; 283.274.367 ; 96 ; 56.662.930 ; 213 ; 339.937.297 ; 1.997 ; 811.878.817 
29;00.360.305;CAIXA ECONOMICA FEDERAL; 177 ; 39.532.944 ; 121 ; 3.115.203 ; 7.443 ; 131.007.999 ; 1.468 ; 98.654.231 ; 9.209 ; 272.310.377 ; 165 ; 195.075.977 ; 178 ; 243.056.086 ; 343 ; 438.132.063 ; 9.552 ; 710.442.440 
30;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 55 ; 2.654.918 ; 630 ; 34.702.255 ; 333 ; 72.449.090 ; 45.521 ; 104.247.868 ; 46.539 ; 214.054.132 ; 227 ; 268.458.884 ; 343 ; 204.256.964 ; 570 ; 472.715.848 ; 47.109 ; 686.769.980 
31;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 214 ; 8.762.947 ; 1.456 ; 54.422.295 ; 1.051 ; 57.026.574 ; 2.489 ; 67.473.803 ; 5.210 ; 187.685.619 ; 745 ; 254.310.974 ; 6.478 ; 191.406.136 ; 7.223 ; 445.717.110 ; 12.433 ; 633.402.729 
32;78.632.767;BANCO OURINVEST S.A.; 192 ; 16.798.984 ; 1.319 ; 77.685.768 ; 634 ; 52.600.382 ; 1.621 ; 75.560.436 ; 3.766 ; 222.645.570 ; 610 ; 239.931.714 ; 7.826 ; 154.916.300 ; 8.436 ; 394.848.014 ; 12.202 ; 617.493.583 
33;71.027.866;BANCO BS2 S.A.; 83 ; 29.585.596 ; 317 ; 28.662.826 ; 777 ; 83.588.792 ; 1.182 ; 101.442.634 ; 2.359 ; 243.279.848 ; 273 ; 162.134.568 ; 1.960 ; 153.697.394 ; 2.233 ; 315.831.962 ; 4.592 ; 559.111.810 
34;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 42 ; 29.708.173 ; 115 ; 20.854.779 ; 74 ; 90.360.861 ; 118 ; 90.848.791 ; 349 ; 231.772.603 ; 69 ; 105.229.826 ; 68 ; 130.588.968 ; 137 ; 235.818.794 ; 486 ; 467.591.397 
35;62.232.889;BANCO DAYCOVAL S.A.; 510 ; 93.977.200 ; 716 ; 29.654.479 ; 630 ; 5.561.154 ; 2.184 ; 39.296.526 ; 4.040 ; 168.489.358 ; 425 ; 131.797.828 ; 2.124 ; 162.724.252 ; 2.549 ; 294.522.080 ; 6.589 ; 463.011.438 
36;13.059.145;BEXS BANCO DE CÂMBIO S/A; 20 ; 36.261.192 ; 31 ; 718.183 ; 152 ; 14.151.231 ; 382 ; 148.721.771 ; 585 ; 199.852.377 ; 113 ; 148.880.658 ; 41 ; 48.452.925 ; 154 ; 197.333.583 ; 739 ; 397.185.960 
37;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 9 ; 50.679.604 ; 20 ; 51.105.818 ; 29 ; 101.785.423 ; 4 ; 120.000.000 ; 4 ; 120.000.000 ; 8 ; 240.000.000 ; 37 ; 341.785.423 
38;33.923.798;BANCO MÁXIMA S.A.; 24 ; 56.829.646 ; 80 ; 3.232.293 ; 354 ; 17.054.790 ; 6.318 ; 27.953.452 ; 6.776 ; 105.070.180 ; 22 ; 85.099.228 ; 21 ; 143.104.150 ; 43 ; 228.203.378 ; 6.819 ; 333.273.558 
39;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 65 ; 62.333.343 ;;; 94 ; 52.084.785 ; 45 ; 127.560.842 ; 204 ; 241.978.970 ;;; 2 ; 60.000.000 ; 2 ; 60.000.000 ; 206 ; 301.978.970 
40;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 164 ; 69.749.535 ; 287 ; 29.491.731 ; 451 ; 99.241.266 ; 13 ; 110.110.460 ; 46 ; 65.350.000 ; 59 ; 175.460.460 ; 510 ; 274.701.726 
41;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 9 ; 1.224.855 ; 66 ; 12.715.103 ; 187 ; 14.217.376 ; 402 ; 118.557.327 ; 664 ; 146.714.661 ; 77 ; 116.341.425 ; 15 ; 645.278 ; 92 ; 116.986.702 ; 756 ; 263.701.363 
