Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Dez/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 67.595 ; 27.045.533.857 ; 248.476 ; 30.667.194.612 ; 233.914 ; 69.632.056.235 ; 366.716 ; 76.720.219.323 ; 916.701 ; 204.065.004.027 ; 8.615 ; 104.030.247.198 ; 8.168 ; 99.256.126.271 ; 16.783 ; 203.286.373.469 ; 933.484 ; 407.351.377.496 
2;60.746.948;BANCO BRADESCO S.A.; 88.699 ; 54.976.591.177 ; 238.001 ; 42.778.269.368 ; 505.555 ; 66.079.366.896 ; 331.641 ; 73.269.807.421 ; 1.163.896 ; 237.104.034.863 ; 7.412 ; 33.785.624.821 ; 7.982 ; 40.456.303.782 ; 15.394 ; 74.241.928.603 ; 1.179.290 ; 311.345.963.466 
3;33.479.023;BANCO CITIBANK S.A.; 16.034 ; 20.122.610.923 ; 81.698 ; 20.454.678.732 ; 79.508 ; 90.848.561.642 ; 109.918 ; 93.258.448.046 ; 287.158 ; 224.684.299.344 ; 3.432 ; 38.261.480.255 ; 3.635 ; 35.513.011.187 ; 7.067 ; 73.774.491.443 ; 294.225 ; 298.458.790.786 
4;60.701.190;ITAÚ UNIBANCO S.A.; 88.852 ; 18.900.917.652 ; 192.928 ; 18.290.196.327 ; 422.303 ; 50.822.313.397 ; 383.094 ; 53.186.705.776 ; 1.087.177 ; 141.200.133.152 ; 3.893 ; 56.012.160.275 ; 3.722 ; 47.020.065.996 ; 7.615 ; 103.032.226.271 ; 1.094.792 ; 244.232.359.423 
5;33.172.537;BANCO J.P. MORGAN S.A.; 3.529 ; 9.895.290.228 ; 28.633 ; 8.117.769.970 ; 11.774 ; 57.637.484.288 ; 23.748 ; 56.284.366.481 ; 67.684 ; 131.934.910.967 ; 3.280 ; 44.716.786.668 ; 3.281 ; 48.597.594.360 ; 6.561 ; 93.314.381.028 ; 74.245 ; 225.249.291.995 
6;00.000.000;BANCO DO BRASIL S.A.; 91.150 ; 47.506.403.234 ; 120.364 ; 26.176.162.892 ; 208.661 ; 17.683.069.999 ; 325.623 ; 28.897.000.980 ; 745.798 ; 120.262.637.106 ; 3.813 ; 13.505.761.325 ; 4.141 ; 23.090.597.854 ; 7.954 ; 36.596.359.179 ; 753.752 ; 156.858.996.285 
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 1.132 ; 1.853.638.737 ; 4.892 ; 1.270.938.297 ; 2.293 ; 24.822.054.858 ; 4.899 ; 25.068.126.254 ; 13.216 ; 53.014.758.145 ; 2.245 ; 41.269.880.799 ; 2.218 ; 42.337.825.263 ; 4.463 ; 83.607.706.062 ; 17.679 ; 136.622.464.207 
8;30.306.294;BANCO BTG PACTUAL S.A.; 191 ; 1.995.331.322 ; 880 ; 529.001.810 ; 3.969 ; 8.354.172.272 ; 7.353 ; 7.576.774.252 ; 12.393 ; 18.455.279.655 ; 1.109 ; 37.078.333.999 ; 1.262 ; 39.256.303.442 ; 2.371 ; 76.334.637.441 ; 14.764 ; 94.789.917.096 
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 2.208 ; 5.582.010.793 ; 11.928 ; 3.013.270.867 ; 9.926 ; 17.545.561.379 ; 19.010 ; 19.984.098.456 ; 43.072 ; 46.124.941.494 ; 5.147 ; 21.770.143.003 ; 5.134 ; 21.534.366.788 ; 10.281 ; 43.304.509.791 ; 53.353 ; 89.429.451.286 
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 1.474 ; 5.829.978.652 ; 5.248 ; 3.349.886.647 ; 4.096 ; 21.357.684.823 ; 17.588 ; 25.462.046.626 ; 28.406 ; 55.999.596.747 ; 1.408 ; 14.746.247.612 ; 1.270 ; 13.281.069.331 ; 2.678 ; 28.027.316.942 ; 31.084 ; 84.026.913.690 
11;60.498.557;BANCO MUFG BRASIL S.A.; 1.840 ; 1.084.013.008 ; 5.870 ; 932.990.206 ; 6.142 ; 5.778.514.281 ; 6.404 ; 5.494.010.515 ; 20.256 ; 13.289.528.010 ; 6.194 ; 32.785.101.906 ; 6.065 ; 32.618.769.746 ; 12.259 ; 65.403.871.652 ; 32.515 ; 78.693.399.662 
12;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 3.403 ; 16.506.604.690 ; 2.925 ; 16.358.981.836 ; 6.328 ; 32.865.586.527 ; 324 ; 9.281.400.516 ; 338 ; 9.893.866.573 ; 662 ; 19.175.267.088 ; 6.990 ; 52.040.853.615 
13;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 43 ; 99.718.943 ; 4 ; 1.913.225 ; 2.339 ; 9.404.180.630 ; 2.551 ; 10.367.218.799 ; 4.937 ; 19.873.031.598 ; 493 ; 12.256.339.396 ; 558 ; 11.606.467.153 ; 1.051 ; 23.862.806.549 ; 5.988 ; 43.735.838.147 
