Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.267 ; 2.499.614.444 ; 17.789 ; 2.186.915.440 ; 19.331 ; 9.623.121.755 ; 33.803 ; 14.632.388.258 ; 76.190 ; 28.942.039.897 ; 842 ; 17.931.265.034 ; 937 ; 22.204.302.819 ; 1.779 ; 40.135.567.853 ; 77.969 ; 69.077.607.750 
2;60.746.948;BANCO BRADESCO S.A.; 6.735 ; 3.195.340.900 ; 18.021 ; 5.277.396.814 ; 43.135 ; 12.319.585.840 ; 28.121 ; 9.057.483.434 ; 96.012 ; 29.849.806.987 ; 496 ; 3.460.762.181 ; 607 ; 5.613.841.814 ; 1.103 ; 9.074.603.995 ; 97.115 ; 38.924.410.982 
3;60.701.190;ITAÚ UNIBANCO S.A.; 6.949 ; 2.154.853.874 ; 15.655 ; 1.628.329.296 ; 33.204 ; 5.637.472.119 ; 32.876 ; 10.073.070.682 ; 88.684 ; 19.493.725.970 ; 448 ; 10.255.796.803 ; 365 ; 7.103.698.624 ; 813 ; 17.359.495.427 ; 89.497 ; 36.853.221.398 
4;33.479.023;BANCO CITIBANK S.A.; 1.198 ; 1.366.127.658 ; 6.200 ; 1.331.635.059 ; 5.913 ; 8.488.944.510 ; 8.804 ; 8.981.414.306 ; 22.115 ; 20.168.121.534 ; 163 ; 3.489.357.628 ; 190 ; 3.027.666.259 ; 353 ; 6.517.023.887 ; 22.468 ; 26.685.145.420 
5;33.172.537;BANCO J.P. MORGAN S.A.; 306 ; 1.467.888.021 ; 1.787 ; 614.918.533 ; 928 ; 3.657.268.003 ; 1.967 ; 5.754.091.569 ; 4.988 ; 11.494.166.125 ; 280 ; 4.567.652.242 ; 248 ; 3.854.779.031 ; 528 ; 8.422.431.273 ; 5.516 ; 19.916.597.398 
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 115 ; 153.472.010 ; 379 ; 124.111.161 ; 173 ; 2.304.072.043 ; 424 ; 2.917.319.624 ; 1.091 ; 5.498.974.838 ; 201 ; 6.644.311.781 ; 183 ; 6.110.585.086 ; 384 ; 12.754.896.867 ; 1.475 ; 18.253.871.705 
7;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 9 ; 18.267.483 ;;; 9 ; 18.267.483 ; 27 ; 8.000.000.000 ; 27 ; 8.000.000.000 ; 54 ; 16.000.000.000 ; 63 ; 16.018.267.483 
8;00.000.000;BANCO DO BRASIL S.A.; 7.388 ; 3.554.964.894 ; 9.503 ; 2.240.076.660 ; 17.125 ; 1.926.760.734 ; 21.020 ; 3.246.729.212 ; 55.036 ; 10.968.531.500 ; 314 ; 1.959.598.281 ; 330 ; 1.629.816.094 ; 644 ; 3.589.414.375 ; 55.680 ; 14.557.945.874 
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 94 ; 662.886.397 ; 327 ; 191.805.300 ; 312 ; 4.049.384.211 ; 929 ; 4.027.332.459 ; 1.662 ; 8.931.408.368 ; 110 ; 800.525.972 ; 152 ; 1.141.901.644 ; 262 ; 1.942.427.616 ; 1.924 ; 10.873.835.984 
10;30.306.294;BANCO BTG PACTUAL S.A.; 6 ; 55.826.311 ; 77 ; 72.574.290 ; 301 ; 533.640.313 ; 635 ; 377.735.194 ; 1.019 ; 1.039.776.108 ; 87 ; 3.708.804.757 ; 143 ; 5.311.533.708 ; 230 ; 9.020.338.465 ; 1.249 ; 10.060.114.572 
11;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 121 ; 594.151.550 ; 886 ; 238.948.485 ; 760 ; 966.548.613 ; 1.416 ; 2.146.573.759 ; 3.183 ; 3.946.222.408 ; 435 ; 3.261.031.733 ; 421 ; 2.496.311.204 ; 856 ; 5.757.342.937 ; 4.039 ; 9.703.565.345 
12;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 264 ; 1.224.112.256 ; 349 ; 3.161.854.327 ; 613 ; 4.385.966.582 ; 62 ; 1.700.102.213 ; 5 ; 110.101.547 ; 67 ; 1.810.203.760 ; 680 ; 6.196.170.342 
13;60.498.557;BANCO MUFG BRASIL S.A.; 126 ; 85.725.842 ; 462 ; 103.160.564 ; 528 ; 363.567.785 ; 599 ; 360.332.914 ; 1.715 ; 912.787.105 ; 494 ; 2.188.638.427 ; 492 ; 2.153.054.752 ; 986 ; 4.341.693.179 ; 2.701 ; 5.254.480.284 
14;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 512 ; 975.294.634 ; 515 ; 1.044.128.397 ; 1.027 ; 2.019.423.032 ; 52 ; 1.391.969.305 ; 34 ; 846.974.185 ; 86 ; 2.238.943.491 ; 1.113 ; 4.258.366.522 
15;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 12 ; 17.179.744 ; 13 ; 26.936.909 ; 32 ; 5.605.018 ; 51 ; 15.856.587 ; 108 ; 65.578.258 ; 98 ; 1.990.315.688 ; 100 ; 1.958.157.137 ; 198 ; 3.948.472.825 ; 306 ; 4.014.051.083 
16;49.336.860;ING BANK N.V.; 14 ; 96.380.091 ; 14 ; 10.038.640 ; 7 ; 1.042.152 ; 68 ; 34.289.355 ; 103 ; 141.750.237 ; 87 ; 1.796.993.899 ; 97 ; 2.072.677.505 ; 184 ; 3.869.671.403 ; 287 ; 4.011.421.640 
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 100 ; 395.992.467 ; 435 ; 144.381.430 ; 312 ; 496.178.958 ; 739 ; 679.668.439 ; 1.586 ; 1.716.221.293 ; 71 ; 568.687.542 ; 71 ; 915.182.148 ; 142 ; 1.483.869.691 ; 1.728 ; 3.200.090.984 
