Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JANEIRO / 2019;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.192 ; 1.304.140.894 ; 20.887 ; 2.095.603.031 ; 20.684 ; 10.496.297.038 ; 35.677 ; 10.087.333.340 ; 82.440 ; 23.983.374.303 ; 958 ; 15.580.506.773 ; 829 ; 11.329.578.108 ; 1.787 ; 26.910.084.881 ; 84.227 ; 50.893.459.184 
2;33.479.023;BANCO CITIBANK S.A.; 1.211 ; 1.037.033.042 ; 8.099 ; 1.788.069.449 ; 6.780 ; 7.830.700.741 ; 9.301 ; 11.274.533.312 ; 25.391 ; 21.930.336.544 ; 275 ; 6.392.162.089 ; 197 ; 2.623.766.864 ; 472 ; 9.015.928.953 ; 25.863 ; 30.946.265.497 
3;33.172.537;BANCO J.P. MORGAN S.A.; 282 ; 866.414.671 ; 2.478 ; 624.399.017 ; 1.187 ; 9.499.053.989 ; 2.296 ; 5.890.340.452 ; 6.243 ; 16.880.208.129 ; 313 ; 3.353.336.873 ; 412 ; 7.476.207.230 ; 725 ; 10.829.544.103 ; 6.968 ; 27.709.752.232 
4;60.701.190;ITAÚ UNIBANCO S.A.; 6.510 ; 1.456.375.894 ; 18.323 ; 1.726.381.947 ; 34.739 ; 3.111.861.780 ; 34.270 ; 4.127.959.810 ; 93.842 ; 10.422.579.431 ; 365 ; 6.687.833.118 ; 372 ; 6.932.466.395 ; 737 ; 13.620.299.513 ; 94.579 ; 24.042.878.943 
5;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 97 ; 117.844.600 ; 486 ; 168.934.009 ; 236 ; 2.490.625.987 ; 526 ; 2.279.556.325 ; 1.345 ; 5.056.960.921 ; 249 ; 8.461.719.319 ; 240 ; 8.597.081.092 ; 489 ; 17.058.800.410 ; 1.834 ; 22.115.761.331 
6;60.746.948;BANCO BRADESCO S.A.; 6.663 ; 3.244.009.869 ; 21.439 ; 2.804.975.832 ; 41.704 ; 4.364.744.746 ; 30.294 ; 3.721.024.288 ; 100.100 ; 14.134.754.735 ; 565 ; 3.562.480.285 ; 606 ; 4.037.874.451 ; 1.171 ; 7.600.354.736 ; 101.271 ; 21.735.109.471 
7;30.306.294;BANCO BTG PACTUAL S.A.; 12 ; 81.844.113 ; 115 ; 25.974.730 ; 328 ; 195.322.519 ; 598 ; 405.641.062 ; 1.053 ; 708.782.423 ; 98 ; 5.514.502.380 ; 130 ; 6.317.826.763 ; 228 ; 11.832.329.143 ; 1.281 ; 12.541.111.566 
8;00.000.000;BANCO DO BRASIL S.A.; 6.491 ; 2.185.993.284 ; 12.051 ; 2.021.329.567 ; 15.592 ; 1.915.771.199 ; 21.835 ; 2.807.381.266 ; 55.969 ; 8.930.475.315 ; 304 ; 1.506.954.056 ; 319 ; 1.238.564.143 ; 623 ; 2.745.518.200 ; 56.592 ; 11.675.993.515 
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 127 ; 467.292.689 ; 854 ; 424.669.458 ; 409 ; 2.604.588.208 ; 2.120 ; 1.414.402.214 ; 3.510 ; 4.910.952.569 ; 138 ; 1.825.561.681 ; 203 ; 3.364.034.395 ; 341 ; 5.189.596.076 ; 3.851 ; 10.100.548.645 
10;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 5 ; 29.385.369 ;;; 5 ; 29.385.369 ; 9 ; 4.925.000.000 ; 9 ; 4.925.000.000 ; 18 ; 9.850.000.000 ; 23 ; 9.879.385.369 
