Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Abr/2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 21.814 ; 7.078.364.619 ; 74.188 ; 8.483.449.546 ; 80.921 ; 31.119.525.187 ; 128.569 ; 24.519.848.089 ; 305.492 ; 71.201.187.441 ; 3.225 ; 51.917.562.711 ; 3.286 ; 50.774.643.706 ; 6.511 ; 102.692.206.417 ; 312.003 ; 173.893.393.858 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 4.454 ; 5.776.274.557 ; 29.083 ; 6.879.610.215 ; 26.320 ; 31.582.257.461 ; 35.933 ; 35.793.764.133 ; 95.790 ; 80.031.906.366 ; 879 ; 20.605.401.704 ; 796 ; 15.309.763.014 ; 1.675 ; 35.915.164.718 ; 97.465 ; 115.947.071.083 ;;;;
3;33.172.537;BANCO J.P. MORGAN S.A.; 954 ; 3.351.442.142 ; 8.425 ; 2.063.190.702 ; 4.385 ; 25.800.856.410 ; 7.722 ; 25.695.495.710 ; 21.486 ; 56.910.984.964 ; 1.115 ; 18.516.631.168 ; 1.055 ; 19.907.085.579 ; 2.170 ; 38.423.716.747 ; 23.656 ; 95.334.701.711 ;;;;
4;60.701.190;ITAÚ UNIBANCO S.A.; 27.766 ; 6.409.997.437 ; 65.031 ; 5.872.840.001 ; 127.741 ; 11.828.981.177 ; 126.666 ; 18.201.492.387 ; 347.204 ; 42.313.311.002 ; 1.278 ; 24.287.463.504 ; 1.414 ; 25.814.072.475 ; 2.692 ; 50.101.535.979 ; 349.896 ; 92.414.846.982 ;;;;
5;60.746.948;BANCO BRADESCO S.A.; 26.922 ; 12.510.563.466 ; 77.386 ; 11.206.371.836 ; 169.721 ; 13.102.502.176 ; 111.064 ; 14.329.724.777 ; 385.093 ; 51.149.162.255 ; 2.252 ; 16.942.394.535 ; 2.198 ; 14.278.626.267 ; 4.450 ; 31.221.020.803 ; 389.543 ; 82.370.183.057 ;;;;
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 295 ; 328.299.341 ; 1.459 ; 482.363.306 ; 867 ; 8.778.958.538 ; 1.841 ; 9.463.154.433 ; 4.462 ; 19.052.775.618 ; 808 ; 21.323.791.538 ; 738 ; 20.181.446.218 ; 1.546 ; 41.505.237.755 ; 6.008 ; 60.558.013.373 ;;;;
7;00.000.000;BANCO DO BRASIL S.A.; 28.014 ; 11.476.533.028 ; 42.614 ; 7.801.993.045 ; 63.016 ; 8.414.731.295 ; 72.347 ; 10.243.934.962 ; 205.991 ; 37.937.192.329 ; 1.139 ; 4.882.291.123 ; 1.210 ; 8.553.718.386 ; 2.349 ; 13.436.009.509 ; 208.340 ; 51.373.201.839 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 61 ; 270.747.620 ; 250 ; 72.126.655 ; 1.521 ; 1.871.580.715 ; 2.608 ; 1.564.255.372 ; 4.440 ; 3.778.710.362 ; 377 ; 16.921.873.617 ; 410 ; 17.531.689.158 ; 787 ; 34.453.562.775 ; 5.227 ; 38.232.273.137 ;;;;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 408 ; 1.776.982.113 ; 2.724 ; 1.249.987.690 ; 1.435 ; 9.415.487.646 ; 6.804 ; 8.217.955.766 ; 11.371 ; 20.660.413.215 ; 695 ; 5.807.448.516 ; 542 ; 7.364.002.985 ; 1.237 ; 13.171.451.501 ; 12.608 ; 33.831.864.716 ;;;;
