Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mai/2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 27.874 ; 8.925.343.710 ; 94.640 ; 10.579.670.939 ; 101.099 ; 36.186.135.366 ; 162.021 ; 27.673.300.119 ; 385.634 ; 83.364.450.134 ; 4.047 ; 60.990.762.514 ; 4.201 ; 61.888.151.378 ; 8.248 ; 122.878.913.891 ; 393.882 ; 206.243.364.026 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 5.709 ; 6.962.630.402 ; 36.089 ; 8.528.642.941 ; 32.734 ; 39.011.188.061 ; 48.027 ; 43.755.862.452 ; 122.559 ; 98.258.323.856 ; 1.081 ; 23.465.574.836 ; 1.010 ; 17.878.017.787 ; 2.091 ; 41.343.592.624 ; 124.650 ; 139.601.916.480 ;;;;
3;60.701.190;ITAÚ UNIBANCO S.A.; 35.344 ; 8.271.970.486 ; 84.601 ; 7.732.088.578 ; 161.209 ; 17.688.165.778 ; 160.585 ; 22.811.877.328 ; 441.739 ; 56.504.102.170 ; 1.713 ; 34.417.935.108 ; 1.897 ; 36.463.287.064 ; 3.610 ; 70.881.222.172 ; 445.349 ; 127.385.324.342 ;;;;
4;33.172.537;BANCO J.P. MORGAN S.A.; 1.191 ; 3.885.649.314 ; 10.550 ; 2.846.002.990 ; 5.483 ; 31.062.826.434 ; 9.998 ; 31.160.523.942 ; 27.222 ; 68.955.002.681 ; 1.414 ; 22.675.971.616 ; 1.301 ; 23.472.211.244 ; 2.715 ; 46.148.182.860 ; 29.937 ; 115.103.185.541 ;;;;
5;60.746.948;BANCO BRADESCO S.A.; 34.078 ; 16.105.456.718 ; 99.068 ; 14.619.526.762 ; 216.204 ; 15.735.574.278 ; 142.186 ; 17.492.541.911 ; 491.536 ; 63.953.099.670 ; 2.937 ; 20.733.864.069 ; 2.868 ; 17.681.098.316 ; 5.805 ; 38.414.962.385 ; 497.341 ; 102.368.062.055 ;;;;
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 347 ; 433.094.411 ; 1.873 ; 648.593.107 ; 1.072 ; 11.039.627.682 ; 2.349 ; 12.350.971.445 ; 5.641 ; 24.472.286.644 ; 1.009 ; 26.889.307.254 ; 902 ; 24.308.052.073 ; 1.911 ; 51.197.359.327 ; 7.552 ; 75.669.645.971 ;;;;
7;00.000.000;BANCO DO BRASIL S.A.; 35.786 ; 14.553.587.732 ; 54.466 ; 10.297.544.297 ; 79.532 ; 10.246.216.854 ; 90.146 ; 12.280.293.366 ; 259.930 ; 47.377.642.249 ; 1.462 ; 6.043.266.016 ; 1.533 ; 10.399.300.896 ; 2.995 ; 16.442.566.913 ; 262.925 ; 63.820.209.162 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 83 ; 348.778.315 ; 390 ; 104.257.736 ; 1.931 ; 2.305.587.482 ; 3.147 ; 1.890.707.666 ; 5.551 ; 4.649.331.198 ; 484 ; 20.978.758.665 ; 486 ; 21.382.933.239 ; 970 ; 42.361.691.904 ; 6.521 ; 47.011.023.102 ;;;;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 530 ; 2.614.625.751 ; 3.670 ; 1.527.292.523 ; 1.799 ; 10.792.349.492 ; 7.725 ; 10.805.759.147 ; 13.724 ; 25.740.026.913 ; 929 ; 7.879.150.665 ; 685 ; 8.948.358.688 ; 1.614 ; 16.827.509.353 ; 15.338 ; 42.567.536.266 ;;;;
