Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jul/2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 38.769 ; 12.648.887.923 ; 133.374 ; 14.744.242.634 ; 139.536 ; 43.793.214.797 ; 232.807 ; 36.039.815.279 ; 544.486 ; 107.226.160.633 ; 6.039 ; 82.035.348.423 ; 6.266 ; 85.441.025.730 ; 12.305 ; 167.476.374.152 ; 556.791 ; 274.702.534.785 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 8.074 ; 9.394.844.518 ; 50.092 ; 11.420.425.189 ; 45.395 ; 55.225.284.507 ; 68.276 ; 62.189.495.696 ; 171.837 ; 138.230.049.910 ; 1.614 ; 32.480.843.553 ; 1.513 ; 23.580.457.006 ; 3.127 ; 56.061.300.559 ; 174.964 ; 194.291.350.469 ;;;;
3;60.701.190;ITAÚ UNIBANCO S.A.; 48.962 ; 11.774.375.269 ; 124.005 ; 11.650.727.789 ; 225.113 ; 28.041.645.114 ; 231.975 ; 34.835.619.544 ; 630.055 ; 86.302.367.716 ; 2.599 ; 48.725.781.531 ; 2.780 ; 46.731.113.470 ; 5.379 ; 95.456.895.001 ; 635.434 ; 181.759.262.717 ;;;;
4;33.172.537;BANCO J.P. MORGAN S.A.; 1.712 ; 4.842.862.682 ; 14.316 ; 4.045.177.902 ; 7.579 ; 43.805.170.523 ; 13.942 ; 46.628.627.803 ; 37.549 ; 99.321.838.911 ; 2.013 ; 33.942.010.922 ; 1.796 ; 33.147.081.686 ; 3.809 ; 67.089.092.608 ; 41.358 ; 166.410.931.519 ;;;;
5;60.746.948;BANCO BRADESCO S.A.; 47.322 ; 23.905.899.932 ; 143.108 ; 22.158.828.783 ; 308.269 ; 22.917.297.380 ; 212.700 ; 24.964.489.006 ; 711.399 ; 93.946.515.101 ; 4.029 ; 25.926.994.678 ; 4.048 ; 24.015.359.716 ; 8.077 ; 49.942.354.393 ; 719.476 ; 143.888.869.494 ;;;;
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 432 ; 556.264.036 ; 2.571 ; 837.451.798 ; 1.507 ; 16.370.100.102 ; 3.294 ; 16.737.667.685 ; 7.804 ; 34.501.483.620 ; 1.263 ; 30.214.611.825 ; 1.206 ; 28.817.655.339 ; 2.469 ; 59.032.267.164 ; 10.273 ; 93.533.750.784 ;;;;
7;00.000.000;BANCO DO BRASIL S.A.; 48.638 ; 19.404.841.314 ; 77.651 ; 14.623.906.673 ; 109.856 ; 12.925.583.019 ; 126.432 ; 17.473.753.909 ; 362.577 ; 64.428.084.915 ; 2.149 ; 11.366.558.728 ; 2.205 ; 13.559.115.650 ; 4.354 ; 24.925.674.377 ; 366.931 ; 89.353.759.292 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 147 ; 467.119.548 ; 635 ; 152.717.670 ; 2.515 ; 6.188.430.673 ; 4.690 ; 3.354.970.655 ; 7.987 ; 10.163.238.546 ; 676 ; 27.647.772.557 ; 843 ; 30.851.854.257 ; 1.519 ; 58.499.626.814 ; 9.506 ; 68.662.865.360 ;;;;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 709 ; 2.996.955.914 ; 4.596 ; 2.157.280.902 ; 2.571 ; 15.693.504.199 ; 9.416 ; 15.371.968.021 ; 17.292 ; 36.219.709.036 ; 1.354 ; 11.293.358.962 ; 992 ; 12.736.562.564 ; 2.346 ; 24.029.921.525 ; 19.638 ; 60.249.630.562 ;;;;
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.001 ; 2.034.658.267 ; 7.541 ; 1.418.516.169 ; 5.952 ; 14.604.782.569 ; 10.541 ; 9.315.392.459 ; 25.035 ; 27.373.349.465 ; 3.336 ; 11.343.525.103 ; 3.482 ; 17.436.560.813 ; 6.818 ; 28.780.085.916 ; 31.853 ; 56.153.435.381 ;;;;
11;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 42 ; 145.023.253 ;;; 42 ; 145.023.253 ; 59 ; 26.228.390.282 ; 59 ; 26.075.000.000 ; 118 ; 52.303.390.282 ; 160 ; 52.448.413.535 ;;;;
12;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 2.184 ; 14.594.742.406 ; 1.695 ; 12.467.086.417 ; 3.879 ; 27.061.828.823 ; 290 ; 11.080.358.028 ; 321 ; 11.860.037.726 ; 611 ; 22.940.395.754 ; 4.490 ; 50.002.224.577 ;;;;
13;60.498.557;BANCO MUFG BRASIL S.A.; 845 ; 317.170.664 ; 2.945 ; 447.760.445 ; 3.149 ; 2.350.204.641 ; 3.542 ; 2.292.112.314 ; 10.481 ; 5.407.248.065 ; 3.760 ; 20.338.628.571 ; 3.874 ; 21.119.363.043 ; 7.634 ; 41.457.991.614 ; 18.115 ; 46.865.239.678 ;;;;
14;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 4.091 ; 11.918.408.603 ; 3.693 ; 11.487.020.899 ; 7.784 ; 23.405.429.501 ; 288 ; 8.746.902.692 ; 369 ; 9.171.405.823 ; 657 ; 17.918.308.515 ; 8.441 ; 41.323.738.017 ;;;;
