Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JULHO / 2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.934 ; 2.016.723.752 ; 21.237 ; 2.171.580.468 ; 20.467 ; 5.264.906.092 ; 38.011 ; 4.272.197.606 ; 85.649 ; 13.725.407.917 ; 1.081 ; 10.168.893.342 ; 1.103 ; 10.695.471.906 ; 2.184 ; 20.864.365.248 ; 87.833 ; 34.589.773.165 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 1.254 ; 1.226.864.726 ; 7.346 ; 1.358.229.628 ; 6.778 ; 9.359.885.459 ; 10.304 ; 10.612.312.621 ; 25.682 ; 22.557.292.434 ; 286 ; 4.825.167.898 ; 266 ; 2.715.335.213 ; 552 ; 7.540.503.112 ; 26.234 ; 30.097.795.546 ;;;;
3;33.172.537;BANCO J.P. MORGAN S.A.; 310 ; 463.059.400 ; 2.229 ; 742.424.191 ; 1.135 ; 8.727.784.196 ; 2.105 ; 6.637.216.656 ; 5.779 ; 16.570.484.443 ; 329 ; 6.825.033.832 ; 277 ; 6.404.158.502 ; 606 ; 13.229.192.333 ; 6.385 ; 29.799.676.777 ;;;;
4;60.701.190;ITAÚ UNIBANCO S.A.; 7.458 ; 1.881.501.167 ; 21.518 ; 2.254.500.943 ; 35.427 ; 5.596.948.522 ; 38.626 ; 5.881.119.604 ; 103.029 ; 15.614.070.236 ; 464 ; 7.426.877.766 ; 491 ; 6.309.352.074 ; 955 ; 13.736.229.840 ; 103.984 ; 29.350.300.076 ;;;;
5;60.746.948;BANCO BRADESCO S.A.; 7.255 ; 4.178.416.034 ; 23.768 ; 4.190.331.686 ; 50.992 ; 4.250.848.766 ; 39.033 ; 3.474.476.165 ; 121.048 ; 16.094.072.651 ; 611 ; 2.701.169.479 ; 645 ; 3.138.102.234 ; 1.256 ; 5.839.271.713 ; 122.304 ; 21.933.344.364 ;;;;
6;30.306.294;BANCO BTG PACTUAL S.A.; 44 ; 102.654.924 ; 138 ; 15.715.180 ; 316 ; 3.591.373.406 ; 841 ; 493.852.725 ; 1.339 ; 4.203.596.234 ; 85 ; 2.851.726.364 ; 218 ; 4.828.188.978 ; 303 ; 7.679.915.342 ; 1.642 ; 11.883.511.576 ;;;;
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 47 ; 69.962.049 ; 301 ; 80.881.071 ; 234 ; 2.888.879.191 ; 486 ; 2.395.277.392 ; 1.068 ; 5.434.999.703 ; 123 ; 1.909.145.412 ; 158 ; 3.282.256.125 ; 281 ; 5.191.401.537 ; 1.349 ; 10.626.401.240 ;;;;
8;00.000.000;BANCO DO BRASIL S.A.; 6.922 ; 2.041.600.778 ; 12.285 ; 1.874.723.515 ; 16.556 ; 1.785.312.096 ; 18.720 ; 2.269.906.389 ; 54.483 ; 7.971.542.778 ; 348 ; 1.367.176.533 ; 361 ; 1.278.451.885 ; 709 ; 2.645.628.418 ; 55.192 ; 10.617.171.196 ;;;;
9;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 443 ; 2.201.977.730 ; 325 ; 1.945.363.869 ; 768 ; 4.147.341.599 ; 67 ; 2.826.899.155 ; 70 ; 2.249.150.096 ; 137 ; 5.076.049.251 ; 905 ; 9.223.390.850 ;;;;
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 96 ; 190.811.054 ; 573 ; 311.780.364 ; 393 ; 2.521.974.337 ; 674 ; 2.780.859.477 ; 1.736 ; 5.805.425.232 ; 225 ; 1.722.898.270 ; 142 ; 1.520.613.356 ; 367 ; 3.243.511.626 ; 2.103 ; 9.048.936.858 ;;;;
11;03.532.415;BANCO ABN AMRO S.A.; 9 ; 62.660.640 ; 22 ; 5.854.414 ; 132 ; 1.304.784.145 ; 121 ; 1.302.952.136 ; 284 ; 2.676.251.334 ; 45 ; 3.055.819.323 ; 51 ; 3.114.479.881 ; 96 ; 6.170.299.204 ; 380 ; 8.846.550.538 ;;;;
12;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 7 ; 10.594.460 ;;; 7 ; 10.594.460 ; 15 ; 4.412.847.390 ; 15 ; 4.400.000.000 ; 30 ; 8.812.847.390 ; 37 ; 8.823.441.851 ;;;;
13;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 190 ; 270.996.149 ; 1.275 ; 220.753.057 ; 1.002 ; 1.152.910.641 ; 1.716 ; 2.015.988.796 ; 4.183 ; 3.660.648.643 ; 557 ; 1.641.480.399 ; 528 ; 1.185.994.319 ; 1.085 ; 2.827.474.718 ; 5.268 ; 6.488.123.361 ;;;;
14;60.498.557;BANCO MUFG BRASIL S.A.; 104 ; 27.193.566 ; 422 ; 45.223.140 ; 446 ; 472.217.909 ; 480 ; 510.547.278 ; 1.452 ; 1.055.181.892 ; 498 ; 2.354.259.944 ; 532 ; 2.754.497.876 ; 1.030 ; 5.108.757.820 ; 2.482 ; 6.163.939.712 ;;;;
15;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 8 ; 15.265.772 ; 18 ; 10.462.771 ; 39 ; 115.680.136 ; 61 ; 29.194.151 ; 126 ; 170.602.831 ; 133 ; 2.888.936.245 ; 143 ; 2.997.980.948 ; 276 ; 5.886.917.193 ; 402 ; 6.057.520.024 ;;;;
16;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 675 ; 1.878.722.000 ; 553 ; 1.162.866.717 ; 1.228 ; 3.041.588.717 ; 37 ; 947.205.213 ; 54 ; 1.165.212.848 ; 91 ; 2.112.418.060 ; 1.319 ; 5.154.006.777 ;;;;
17;49.336.860;ING BANK N.V.; 51 ; 301.763.364 ;;; 24 ; 60.731.461 ; 43 ; 57.805.804 ; 118 ; 420.300.628 ; 141 ; 1.781.669.583 ; 153 ; 2.037.629.442 ; 294 ; 3.819.299.025 ; 412 ; 4.239.599.654 ;;;;
