Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em AGOSTO / 2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;60.701.190;ITAÚ UNIBANCO S.A.; 8.989 ; 2.263.566.523 ; 17.559 ; 1.723.695.640 ; 36.904 ; 4.606.089.888 ; 30.730 ; 4.830.945.328 ; 94.182 ; 13.424.297.378 ; 403 ; 10.003.670.495 ; 483 ; 9.459.006.685 ; 886 ; 19.462.677.180 ; 95.068 ; 32.886.974.558 ;;;;
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 6.684 ; 2.733.911.339 ; 18.019 ; 2.079.828.666 ; 21.273 ; 3.237.856.820 ; 29.621 ; 4.029.055.106 ; 75.597 ; 12.080.651.932 ; 920 ; 9.016.157.212 ; 902 ; 7.097.844.191 ; 1.822 ; 16.114.001.402 ; 77.419 ; 28.194.653.334 ;;;;
3;33.479.023;BANCO CITIBANK S.A.; 1.304 ; 1.431.239.197 ; 6.934 ; 3.259.305.925 ; 7.176 ; 8.050.326.887 ; 9.981 ; 7.332.807.258 ; 25.395 ; 20.073.679.267 ; 160 ; 2.710.215.070 ; 148 ; 1.906.275.042 ; 308 ; 4.616.490.112 ; 25.703 ; 24.690.169.379 ;;;;
4;60.746.948;BANCO BRADESCO S.A.; 8.551 ; 3.643.866.757 ; 19.420 ; 2.639.572.669 ; 54.797 ; 4.974.731.100 ; 27.911 ; 5.217.701.481 ; 110.679 ; 16.475.872.007 ; 547 ; 3.199.359.635 ; 591 ; 4.064.630.574 ; 1.138 ; 7.263.990.209 ; 111.817 ; 23.739.862.215 ;;;;
5;33.172.537;BANCO J.P. MORGAN S.A.; 283 ; 788.128.756 ; 1.751 ; 763.670.577 ; 1.076 ; 3.286.779.123 ; 1.898 ; 5.759.994.929 ; 5.008 ; 10.598.573.386 ; 342 ; 5.311.075.630 ; 222 ; 3.361.119.880 ; 564 ; 8.672.195.509 ; 5.572 ; 19.270.768.895 ;;;;
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 62 ; 136.218.579 ; 393 ; 157.344.164 ; 213 ; 3.563.623.847 ; 500 ; 3.658.931.525 ; 1.168 ; 7.516.118.115 ; 143 ; 3.169.285.068 ; 123 ; 3.267.658.837 ; 266 ; 6.436.943.904 ; 1.434 ; 13.953.062.019 ;;;;
7;00.000.000;BANCO DO BRASIL S.A.; 9.270 ; 3.865.320.551 ; 10.657 ; 1.953.323.138 ; 17.070 ; 1.355.153.168 ; 14.180 ; 1.688.935.276 ; 51.177 ; 8.862.732.133 ; 272 ; 534.767.468 ; 292 ; 1.995.624.073 ; 564 ; 2.530.391.541 ; 51.741 ; 11.393.123.674 ;;;;
8;30.306.294;BANCO BTG PACTUAL S.A.; 55 ; 123.253.920 ; 154 ; 131.267.734 ; 468 ; 308.794.045 ; 992 ; 654.089.690 ; 1.669 ; 1.217.405.389 ; 86 ; 3.892.577.136 ; 123 ; 5.425.428.537 ; 209 ; 9.318.005.673 ; 1.878 ; 10.535.411.062 ;;;;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 130 ; 319.885.842 ; 814 ; 378.009.794 ; 395 ; 1.723.267.498 ; 664 ; 2.534.029.785 ; 2.003 ; 4.955.192.918 ; 262 ; 1.951.275.267 ; 160 ; 848.837.721 ; 422 ; 2.800.112.988 ; 2.425 ; 7.755.305.907 ;;;;
10;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 263 ; 974.172.361 ; 260 ; 3.565.637.554 ; 523 ; 4.539.809.915 ; 58 ; 2.618.336.544 ; 20 ; 589.359.925 ; 78 ; 3.207.696.469 ; 601 ; 7.747.506.384 ;;;;
11;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 7 ; 37.004.677 ;;; 7 ; 37.004.677 ; 5 ; 1.506.934.514 ; 53 ; 5.029.500.000 ; 58 ; 6.536.434.514 ; 65 ; 6.573.439.191 ;;;;
12;49.336.860;ING BANK N.V.; 46 ; 180.267.095 ;;; 20 ; 5.170.286 ; 44 ; 3.825.998 ; 110 ; 189.263.379 ; 79 ; 2.938.151.731 ; 93 ; 3.365.120.881 ; 172 ; 6.303.272.612 ; 282 ; 6.492.535.991 ;;;;
13;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 504 ; 1.939.052.937 ; 593 ; 1.927.706.760 ; 1.097 ; 3.866.759.698 ; 57 ; 1.193.030.008 ; 51 ; 1.291.015.440 ; 108 ; 2.484.045.448 ; 1.205 ; 6.350.805.145 ;;;;
14;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 191 ; 255.121.205 ; 952 ; 144.944.989 ; 805 ; 892.018.753 ; 1.546 ; 1.208.795.041 ; 3.494 ; 2.500.879.988 ; 541 ; 1.563.834.183 ; 535 ; 1.469.955.458 ; 1.076 ; 3.033.789.641 ; 4.570 ; 5.534.669.629 ;;;;
15;60.498.557;BANCO MUFG BRASIL S.A.; 134 ; 24.892.293 ; 446 ; 89.258.873 ; 405 ; 185.688.703 ; 458 ; 442.176.724 ; 1.443 ; 742.016.592 ; 555 ; 2.368.616.745 ; 540 ; 2.062.049.040 ; 1.095 ; 4.430.665.785 ; 2.538 ; 5.172.682.377 ;;;;
16;03.532.415;BANCO ABN AMRO S.A.; 16 ; 33.235.673 ; 25 ; 7.464.742 ; 140 ; 929.701.088 ; 129 ; 931.424.223 ; 310 ; 1.901.825.726 ; 30 ; 949.077.136 ; 34 ; 962.097.889 ; 64 ; 1.911.175.025 ; 374 ; 3.813.000.751 ;;;;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 200 ; 663.514.671 ; 422 ; 127.699.314 ; 271 ; 591.954.814 ; 745 ; 673.786.836 ; 1.638 ; 2.056.955.635 ; 134 ; 378.600.810 ; 134 ; 633.494.328 ; 268 ; 1.012.095.138 ; 1.906 ; 3.069.050.772 ;;;;
18;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 5 ; 200.243.842 ;;; 294 ; 202.007.899 ; 350 ; 824.532.402 ; 649 ; 1.226.784.143 ; 28 ; 1.022.525.551 ; 17 ; 505.523.736 ; 45 ; 1.528.049.287 ; 694 ; 2.754.833.430 ;;;;
19;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 6 ; 43.363.433 ; 1 ; 4.292 ; 52 ; 8.055.022 ; 63 ; 90.573.997 ; 122 ; 141.996.745 ; 83 ; 1.182.685.227 ; 83 ; 1.129.201.259 ; 166 ; 2.311.886.486 ; 288 ; 2.453.883.231 ;;;;
