Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.816 ; 2.237.764.664 ; 22.197 ; 2.310.114.188 ; 22.252 ; 6.078.726.994 ; 40.901 ; 8.101.805.425 ; 91.166 ; 18.728.411.271 ; 980 ; 15.404.309.100 ; 1.078 ; 15.481.439.085 ; 2.058 ; 30.885.748.185 ; 93.224 ; 49.614.159.456 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 1.238 ; 1.763.429.882 ; 7.638 ; 1.656.281.493 ; 6.186 ; 7.168.020.197 ; 8.916 ; 7.427.972.533 ; 23.978 ; 18.015.704.105 ; 191 ; 3.224.851.467 ; 226 ; 3.274.647.171 ; 417 ; 6.499.498.638 ; 24.395 ; 24.515.202.743 ;;;;
3;60.701.190;ITAÚ UNIBANCO S.A.; 7.804 ; 2.286.348.420 ; 24.031 ; 2.523.168.867 ; 30.758 ; 2.640.254.230 ; 38.654 ; 5.292.638.279 ; 101.247 ; 12.742.409.797 ; 529 ; 5.892.539.445 ; 537 ; 3.952.390.881 ; 1.066 ; 9.844.930.326 ; 102.313 ; 22.587.340.123 ;;;;
4;60.746.948;BANCO BRADESCO S.A.; 7.173 ; 3.615.237.896 ; 23.294 ; 3.934.620.881 ; 47.677 ; 2.812.588.971 ; 32.460 ; 3.474.430.695 ; 110.604 ; 13.836.878.443 ; 626 ; 2.791.354.050 ; 622 ; 2.055.421.264 ; 1.248 ; 4.846.775.315 ; 111.852 ; 18.683.653.758 ;;;;
5;33.172.537;BANCO J.P. MORGAN S.A.; 269 ; 745.353.374 ; 2.879 ; 936.617.575 ; 1.224 ; 7.481.226.763 ; 2.388 ; 4.799.887.202 ; 6.760 ; 13.963.084.914 ; 226 ; 1.592.458.148 ; 243 ; 2.514.914.043 ; 469 ; 4.107.372.191 ; 7.229 ; 18.070.457.105 ;;;;
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 48 ; 83.553.101 ; 263 ; 212.874.448 ; 253 ; 2.420.098.008 ; 419 ; 2.638.499.847 ; 983 ; 5.355.025.404 ; 227 ; 3.852.727.324 ; 253 ; 4.443.081.899 ; 480 ; 8.295.809.223 ; 1.463 ; 13.650.834.627 ;;;;
7;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 4 ; 13.819.138 ;;; 4 ; 13.819.138 ; 1 ; 1.506.750.250 ; 84 ; 9.925.000.000 ; 85 ; 11.431.750.250 ; 89 ; 11.445.569.388 ;;;;
8;00.000.000;BANCO DO BRASIL S.A.; 7.383 ; 3.064.895.675 ; 13.049 ; 2.035.003.397 ; 15.634 ; 769.642.885 ; 19.087 ; 2.129.884.732 ; 55.153 ; 7.999.426.690 ; 343 ; 2.183.689.354 ; 327 ; 590.276.768 ; 670 ; 2.773.966.123 ; 55.823 ; 10.773.392.812 ;;;;
9;30.306.294;BANCO BTG PACTUAL S.A.; 79 ; 144.488.248 ; 278 ; 42.999.003 ; 434 ; 429.406.809 ; 931 ; 394.420.329 ; 1.722 ; 1.011.314.388 ; 109 ; 4.429.845.274 ; 150 ; 3.231.993.473 ; 259 ; 7.661.838.747 ; 1.981 ; 8.673.153.135 ;;;;
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 182 ; 352.506.923 ; 1.217 ; 177.893.098 ; 921 ; 1.866.739.502 ; 1.703 ; 2.056.534.030 ; 4.023 ; 4.453.673.554 ; 659 ; 1.570.825.927 ; 677 ; 1.821.045.653 ; 1.336 ; 3.391.871.580 ; 5.359 ; 7.845.545.134 ;;;;
11;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 124 ; 239.267.065 ; 960 ; 372.758.519 ; 375 ; 1.198.344.525 ; 757 ; 2.924.699.174 ; 2.216 ; 4.735.069.282 ; 229 ; 2.210.503.286 ; 217 ; 584.622.130 ; 446 ; 2.795.125.415 ; 2.662 ; 7.530.194.698 ;;;;
12;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 161 ; 1.789.969.330 ; 294 ; 2.675.928.547 ; 455 ; 4.465.897.877 ; 55 ; 1.540.564.621 ; 36 ; 1.061.844.031 ; 91 ; 2.602.408.652 ; 546 ; 7.068.306.529 ;;;;
13;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 353 ; 1.239.085.871 ; 583 ; 2.139.358.528 ; 936 ; 3.378.444.399 ; 65 ; 2.000.520.689 ; 38 ; 1.034.358.442 ; 103 ; 3.034.879.131 ; 1.039 ; 6.413.323.530 ;;;;
14;49.336.860;ING BANK N.V.; 52 ; 290.994.496 ;;; 32 ; 12.333.120 ; 52 ; 3.903.045 ; 136 ; 307.230.661 ; 68 ; 2.053.711.144 ; 82 ; 2.304.825.849 ; 150 ; 4.358.536.993 ; 286 ; 4.665.767.654 ;;;;
