Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em NOVEMBRO / 2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.833 ; 1.605.341.320 ; 17.690 ; 1.814.193.871 ; 19.851 ; 3.386.793.848 ; 33.583 ; 6.044.661.014 ; 76.957 ; 12.850.990.054 ; 809 ; 10.621.051.059 ; 717 ; 6.876.926.669 ; 1.526 ; 17.497.977.728 ; 78.483 ; 30.348.967.783 ;;;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 7.779 ; 2.129.074.982 ; 18.863 ; 2.071.529.203 ; 32.513 ; 4.300.347.876 ; 32.026 ; 5.060.529.087 ; 91.181 ; 13.561.481.148 ; 482 ; 7.337.695.293 ; 492 ; 6.590.883.560 ; 974 ; 13.928.578.853 ; 92.155 ; 27.490.060.002 ;;;;
3;33.479.023;BANCO CITIBANK S.A.; 1.238 ; 1.569.697.064 ; 6.714 ; 1.470.988.088 ; 6.382 ; 7.969.195.850 ; 7.532 ; 8.141.697.632 ; 21.866 ; 19.151.578.634 ; 210 ; 3.554.849.915 ; 241 ; 3.339.574.495 ; 451 ; 6.894.424.411 ; 22.317 ; 26.046.003.045 ;;;;
4;60.746.948;BANCO BRADESCO S.A.; 6.866 ; 2.897.708.649 ; 17.509 ; 2.976.268.510 ; 42.619 ; 6.414.960.844 ; 25.500 ; 8.381.608.994 ; 92.494 ; 20.670.546.998 ; 511 ; 3.024.755.274 ; 519 ; 2.076.171.335 ; 1.030 ; 5.100.926.609 ; 93.524 ; 25.771.473.607 ;;;;
5;00.000.000;BANCO DO BRASIL S.A.; 8.140 ; 2.580.491.005 ; 10.333 ; 1.968.941.265 ; 16.817 ; 4.002.559.801 ; 20.285 ; 4.753.901.269 ; 55.575 ; 13.305.893.340 ; 329 ; 1.040.148.290 ; 337 ; 1.902.500.308 ; 666 ; 2.942.648.598 ; 56.241 ; 16.248.541.939 ;;;;
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 43 ; 142.331.622 ; 395 ; 194.992.790 ; 189 ; 2.006.825.362 ; 414 ; 2.196.397.092 ; 1.041 ; 4.540.546.867 ; 152 ; 5.730.947.491 ; 126 ; 5.547.443.497 ; 278 ; 11.278.390.987 ; 1.319 ; 15.818.937.854 ;;;;
7;33.172.537;BANCO J.P. MORGAN S.A.; 205 ; 694.605.190 ; 2.299 ; 593.477.076 ; 985 ; 4.528.204.853 ; 1.900 ; 4.396.580.488 ; 5.389 ; 10.212.867.608 ; 204 ; 1.324.341.667 ; 190 ; 1.374.282.362 ; 394 ; 2.698.624.029 ; 5.783 ; 12.911.491.637 ;;;;
8;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 5 ; 10.206.113 ;;; 5 ; 10.206.113 ; 2 ; 1.506.798.313 ; 71 ; 7.951.000.000 ; 73 ; 9.457.798.313 ; 78 ; 9.468.004.425 ;;;;
9;30.306.294;BANCO BTG PACTUAL S.A.; 67 ; 128.179.676 ; 243 ; 19.990.370 ; 416 ; 670.596.471 ; 759 ; 389.339.711 ; 1.485 ; 1.208.106.228 ; 75 ; 3.268.713.292 ; 105 ; 2.476.473.865 ; 180 ; 5.745.187.156 ; 1.665 ; 6.953.293.384 ;;;;
