Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em FEVEREIRO / 2020;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.139 ; 1.405.362.373 ; 15.174 ; 1.859.912.936 ; 18.813 ; 5.156.800.278 ; 30.967 ; 6.364.141.669 ; 70.093 ; 14.786.217.257 ; 910 ; 12.383.319.318 ; 869 ; 10.164.168.535 ; 1.779 ; 22.547.487.853 ; 71.872 ; 37.333.705.110 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 1.107 ; 1.432.494.426 ; 6.524 ; 1.595.680.128 ; 6.091 ; 9.002.830.622 ; 6.971 ; 8.709.262.764 ; 20.693 ; 20.740.267.940 ; 121 ; 2.684.298.829 ; 154 ; 2.895.833.486 ; 275 ; 5.580.132.315 ; 20.968 ; 26.320.400.254 ;;;;
3;60.746.948;BANCO BRADESCO S.A.; 5.984 ; 5.227.355.703 ; 14.870 ; 1.833.277.181 ; 39.086 ; 1.915.194.822 ; 22.980 ; 6.572.251.243 ; 82.920 ; 15.548.078.950 ; 500 ; 4.762.451.228 ; 447 ; 2.753.748.464 ; 947 ; 7.516.199.693 ; 83.867 ; 23.064.278.642 ;;;;
4;60.701.190;ITAÚ UNIBANCO S.A.; 6.810 ; 2.023.569.811 ; 15.900 ; 1.540.113.989 ; 28.251 ; 2.443.461.239 ; 28.756 ; 3.012.864.094 ; 79.717 ; 9.020.009.133 ; 408 ; 6.557.936.308 ; 416 ; 6.896.478.817 ; 824 ; 13.454.415.125 ; 80.541 ; 22.474.424.257 ;;;;
5;33.172.537;BANCO J.P. MORGAN S.A.; 206 ; 708.347.779 ; 2.094 ; 542.221.946 ; 1.040 ; 5.006.678.675 ; 1.801 ; 6.214.786.677 ; 5.141 ; 12.472.035.077 ; 234 ; 2.397.131.772 ; 228 ; 3.759.721.865 ; 462 ; 6.156.853.638 ; 5.603 ; 18.628.888.715 ;;;;
6;03.532.415;BANCO ABN AMRO S.A.; 3 ; 22.358.858 ; 20 ; 57.484.810 ; 154 ; 1.875.405.677 ; 144 ; 1.889.010.069 ; 321 ; 3.844.259.414 ; 46 ; 3.379.707.715 ; 42 ; 3.348.897.051 ; 88 ; 6.728.604.765 ; 409 ; 10.572.864.179 ;;;;
7;00.000.000;BANCO DO BRASIL S.A.; 6.660 ; 2.476.573.558 ; 8.465 ; 1.567.132.890 ; 13.572 ; 954.060.178 ; 13.531 ; 1.867.459.132 ; 42.228 ; 6.865.225.758 ; 235 ; 855.198.510 ; 231 ; 860.985.132 ; 466 ; 1.716.183.641 ; 42.694 ; 8.581.409.399 ;;;;
8;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 93 ; 465.292.742 ; 457 ; 331.517.323 ; 347 ; 1.632.081.545 ; 563 ; 2.784.514.781 ; 1.460 ; 5.213.406.391 ; 171 ; 1.874.499.445 ; 169 ; 1.056.053.170 ; 340 ; 2.930.552.615 ; 1.800 ; 8.143.959.006 ;;;;
9;30.306.294;BANCO BTG PACTUAL S.A.; 71 ; 134.824.186 ; 252 ; 21.507.350 ; 411 ; 286.666.107 ; 1.425 ; 645.619.077 ; 2.159 ; 1.088.616.721 ; 55 ; 2.520.176.637 ; 93 ; 3.911.027.512 ; 148 ; 6.431.204.149 ; 2.307 ; 7.519.820.870 ;;;;
