Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mar/2020;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 17.561 ; 6.012.330.645 ; 48.914 ; 6.113.014.571 ; 61.099 ; 18.572.014.928 ; 94.284 ; 26.121.616.262 ; 221.858 ; 56.818.976.406 ; 3.088 ; 43.216.123.169 ; 3.122 ; 43.388.166.279 ; 6.210 ; 86.604.289.448 ; 228.068 ; 143.423.265.854 ;;;;
2;60.701.190;ITAÚ UNIBANCO S.A.; 22.641 ; 7.113.734.925 ; 51.035 ; 5.547.456.457 ; 95.074 ; 18.918.626.881 ; 92.434 ; 16.094.788.885 ; 261.184 ; 47.674.607.147 ; 1.321 ; 25.877.943.418 ; 1.404 ; 25.060.007.396 ; 2.725 ; 50.937.950.814 ; 263.909 ; 98.612.557.961 ;;;;
3;33.479.023;BANCO CITIBANK S.A.; 3.866 ; 5.646.921.711 ; 20.656 ; 5.654.833.809 ; 20.745 ; 25.955.451.626 ; 24.487 ; 30.029.044.052 ; 69.754 ; 67.286.251.199 ; 666 ; 13.197.558.888 ; 623 ; 7.904.079.812 ; 1.289 ; 21.101.638.700 ; 71.043 ; 88.387.889.899 ;;;;
4;60.746.948;BANCO BRADESCO S.A.; 18.773 ; 10.428.724.488 ; 47.395 ; 6.680.784.499 ; 124.487 ; 11.143.215.055 ; 68.482 ; 14.443.741.709 ; 259.137 ; 42.696.465.751 ; 1.621 ; 12.646.096.017 ; 1.609 ; 10.695.658.493 ; 3.230 ; 23.341.754.510 ; 262.367 ; 66.038.220.261 ;;;;
5;33.172.537;BANCO J.P. MORGAN S.A.; 762 ; 2.715.046.843 ; 7.180 ; 2.226.124.149 ; 3.870 ; 20.772.173.298 ; 6.201 ; 21.685.187.974 ; 18.013 ; 47.398.532.264 ; 721 ; 7.397.781.566 ; 715 ; 10.046.927.309 ; 1.436 ; 17.444.708.875 ; 19.449 ; 64.843.241.139 ;;;;
6;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 16 ; 65.605.480 ;;; 16 ; 65.605.480 ; 20 ; 17.390.649.889 ; 118 ; 29.354.363.000 ; 138 ; 46.745.012.889 ; 154 ; 46.810.618.369 ;;;;
7;03.532.415;BANCO ABN AMRO S.A.; 35 ; 176.469.514 ; 27 ; 72.382.871 ; 534 ; 7.290.113.449 ; 514 ; 7.242.285.642 ; 1.110 ; 14.781.251.476 ; 164 ; 12.704.096.853 ; 180 ; 12.982.596.545 ; 344 ; 25.686.693.398 ; 1.454 ; 40.467.944.874 ;;;;
8;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 180 ; 519.236.126 ; 643 ; 403.142.355 ; 597 ; 5.490.106.071 ; 1.511 ; 7.016.856.138 ; 2.931 ; 13.429.340.689 ; 462 ; 11.669.449.570 ; 416 ; 10.276.705.054 ; 878 ; 21.946.154.624 ; 3.809 ; 35.375.495.313 ;;;;
9;00.000.000;BANCO DO BRASIL S.A.; 21.792 ; 9.399.105.809 ; 26.773 ; 4.433.287.854 ; 47.773 ; 4.280.007.381 ; 43.023 ; 6.737.736.726 ; 139.361 ; 24.850.137.770 ; 759 ; 2.724.198.084 ; 782 ; 4.960.571.834 ; 1.541 ; 7.684.769.918 ; 140.902 ; 32.534.907.688 ;;;;
