Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MAIO / 2020;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.367 ; 4.937.363.873 ; 14.762 ; 3.765.067.448 ; 17.469 ; 3.741.822.822 ; 22.062 ; 5.149.478.635 ; 59.660 ; 17.593.732.778 ; 861 ; 8.238.549.096 ; 847 ; 8.650.054.460 ; 1.708 ; 16.888.603.556 ; 61.368 ; 34.482.336.334 ;;;;
2;60.746.948;BANCO BRADESCO S.A.; 5.211 ; 2.669.374.058 ; 13.573 ; 1.732.836.893 ; 30.124 ; 8.221.500.187 ; 14.464 ; 4.670.790.274 ; 63.372 ; 17.294.501.412 ; 412 ; 2.133.514.878 ; 463 ; 4.005.624.541 ; 875 ; 6.139.139.418 ; 64.247 ; 23.433.640.830 ;;;;
3;60.701.190;ITAÚ UNIBANCO S.A.; 6.684 ; 1.167.702.929 ; 17.003 ; 1.639.021.140 ; 27.363 ; 3.896.035.102 ; 23.404 ; 2.786.916.291 ; 74.454 ; 9.489.675.462 ; 349 ; 5.267.889.501 ; 338 ; 4.312.236.115 ; 687 ; 9.580.125.616 ; 75.141 ; 19.069.801.078 ;;;;
4;33.479.023;BANCO CITIBANK S.A.; 996 ; 1.264.336.385 ; 7.110 ; 1.533.921.392 ; 6.172 ; 4.362.668.292 ; 7.751 ; 5.467.811.041 ; 22.029 ; 12.628.737.110 ; 147 ; 2.376.466.777 ; 112 ; 1.086.434.705 ; 259 ; 3.462.901.482 ; 22.288 ; 16.091.638.592 ;;;;
5;33.172.537;BANCO J.P. MORGAN S.A.; 279 ; 595.930.667 ; 1.676 ; 570.783.125 ; 1.181 ; 2.809.166.138 ; 1.562 ; 4.226.536.350 ; 4.698 ; 8.202.416.281 ; 225 ; 3.360.228.401 ; 178 ; 2.450.164.142 ; 403 ; 5.810.392.543 ; 5.101 ; 14.012.808.824 ;;;;
6;00.000.000;BANCO DO BRASIL S.A.; 5.964 ; 2.321.080.907 ; 9.241 ; 1.350.864.642 ; 13.549 ; 824.747.409 ; 9.993 ; 2.099.798.606 ; 38.747 ; 6.596.491.564 ; 167 ; 997.392.925 ; 159 ; 955.523.684 ; 326 ; 1.952.916.609 ; 39.073 ; 8.549.408.173 ;;;;
7;03.532.415;BANCO ABN AMRO S.A.; 1 ; 2.400.000 ;;; 170 ; 1.605.416.232 ; 170 ; 1.419.466.819 ; 341 ; 3.027.283.051 ; 38 ; 2.027.326.562 ; 40 ; 2.115.358.661 ; 78 ; 4.142.685.223 ; 419 ; 7.169.968.274 ;;;;
8;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 130 ; 307.608.289 ; 389 ; 56.544.818 ; 377 ; 1.570.600.958 ; 666 ; 1.883.139.237 ; 1.562 ; 3.817.893.302 ; 119 ; 754.812.856 ; 77 ; 531.514.787 ; 196 ; 1.286.327.643 ; 1.758 ; 5.104.220.945 ;;;;
9;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 6 ; 6.856.994 ;;; 6 ; 6.856.994 ; 1 ; 2.008.336.667 ; 3 ; 2.520.000.000 ; 4 ; 4.528.336.667 ; 10 ; 4.535.193.661 ;;;;
10;30.306.294;BANCO BTG PACTUAL S.A.; 147 ; 540.370.122 ; 302 ; 67.778.847 ; 549 ; 457.716.573 ; 833 ; 248.836.352 ; 1.831 ; 1.314.701.894 ; 77 ; 1.985.909.056 ; 96 ; 994.407.137 ; 173 ; 2.980.316.193 ; 2.004 ; 4.295.018.088 ;;;;
11;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 202 ; 1.204.976.517 ; 376 ; 1.894.830.063 ; 578 ; 3.099.806.579 ; 8 ; 587.796.003 ; 8 ; 597.023.900 ; 16 ; 1.184.819.904 ; 594 ; 4.284.626.483 ;;;;
12;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 26 ; 65.740.104 ; 289 ; 120.043.868 ; 169 ; 1.242.369.700 ; 402 ; 1.206.197.717 ; 886 ; 2.634.351.390 ; 111 ; 628.020.405 ; 116 ; 712.721.846 ; 227 ; 1.340.742.251 ; 1.113 ; 3.975.093.640 ;;;;
13;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 175 ; 108.314.463 ; 1.012 ; 333.421.102 ; 611 ; 832.338.767 ; 1.367 ; 812.904.843 ; 3.165 ; 2.086.979.176 ; 484 ; 733.897.429 ; 493 ; 964.386.000 ; 977 ; 1.698.283.430 ; 4.142 ; 3.785.262.605 ;;;;
14;60.498.557;BANCO MUFG BRASIL S.A.; 103 ; 44.942.264 ; 294 ; 25.300.837 ; 258 ; 169.080.713 ; 300 ; 195.823.334 ; 955 ; 435.147.147 ; 438 ; 1.635.769.112 ; 465 ; 1.531.165.948 ; 903 ; 3.166.935.060 ; 1.858 ; 3.602.082.207 ;;;;
15;49.336.860;ING BANK N.V.; 22 ; 306.955.369 ;;; 13 ; 22.551.118 ; 42 ; 4.046.874 ; 77 ; 333.553.361 ; 31 ; 672.343.798 ; 47 ; 987.845.996 ; 78 ; 1.660.189.793 ; 155 ; 1.993.743.154 ;;;;
16;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 364 ; 496.528.599 ; 526 ; 430.430.029 ; 890 ; 926.958.628 ; 18 ; 506.593.131 ; 9 ; 517.292.339 ; 27 ; 1.023.885.470 ; 917 ; 1.950.844.098 ;;;;
17;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 265 ; 694.185.938 ; 185 ; 473.087.273 ; 450 ; 1.167.273.211 ; 15 ; 336.025.750 ; 16 ; 340.813.126 ; 31 ; 676.838.876 ; 481 ; 1.844.112.087 ;;;;
18;28.195.667;BANCO ABC BRASIL S.A.; 129 ; 178.622.010 ; 486 ; 156.362.350 ; 87 ; 469.634.379 ; 422 ; 155.493.713 ; 1.124 ; 960.112.453 ; 207 ; 350.674.793 ; 366 ; 502.915.200 ; 573 ; 853.589.993 ; 1.697 ; 1.813.702.446 ;;;;
19;53.518.684;BANCO HSBC S.A.; 21 ; 136.019.847 ; 56 ; 48.736.578 ; 23 ; 498.296.868 ; 81 ; 322.181.601 ; 181 ; 1.005.234.894 ; 83 ; 193.873.873 ; 99 ; 479.778.636 ; 182 ; 673.652.509 ; 363 ; 1.678.887.402 ;;;;
20;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 88 ; 154.615.276 ; 297 ; 150.608.864 ; 250 ; 221.685.075 ; 434 ; 280.827.528 ; 1.069 ; 807.736.742 ; 84 ; 357.176.115 ; 121 ; 395.898.825 ; 205 ; 753.074.940 ; 1.274 ; 1.560.811.682 ;;;;
21;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 68 ; 606.924.320 ; 40 ; 12.505.953 ; 63 ; 89.471.112 ; 182 ; 67.494.182 ; 353 ; 776.395.566 ; 20 ; 93.741.266 ; 33 ; 643.928.908 ; 53 ; 737.670.174 ; 406 ; 1.514.065.740 ;;;;
22;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 7 ; 154.040.516 ;;; 21 ; 53.104.001 ; 46 ; 143.089.145 ; 74 ; 350.233.661 ; 91 ; 498.371.026 ; 86 ; 562.487.987 ; 177 ; 1.060.859.013 ; 251 ; 1.411.092.674 ;;;;
23;59.588.111;BANCO VOTORANTIM S.A.; 75 ; 91.091.408 ; 352 ; 50.015.302 ; 222 ; 224.713.549 ; 499 ; 278.970.540 ; 1.148 ; 644.790.800 ; 269 ; 326.721.955 ; 361 ; 295.834.185 ; 630 ; 622.556.140 ; 1.778 ; 1.267.346.940 ;;;;
24;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 26 ; 59.347.076 ; 25 ; 543.473.205 ; 51 ; 602.820.281 ; 10 ; 523.421.908 ; 5 ; 39.646.000 ; 15 ; 563.067.908 ; 66 ; 1.165.888.189 ;;;;
25;58.160.789;BANCO SAFRA S.A.; 153 ; 93.007.884 ; 507 ; 85.923.253 ; 600 ; 163.303.162 ; 1.021 ; 262.903.721 ; 2.281 ; 605.138.020 ; 122 ; 307.188.527 ; 113 ; 210.409.441 ; 235 ; 517.597.967 ; 2.516 ; 1.122.735.987 ;;;;
