Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Ago/2020;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 46.177 ; 22.169.403.319 ; 131.355 ; 19.499.652.141 ; 156.788 ; 37.174.443.920 ; 211.250 ; 50.319.600.198 ; 545.570 ; 129.163.099.578 ; 8.429 ; 88.166.893.299 ; 8.064 ; 76.462.397.119 ; 16.493 ; 164.629.290.419 ; 562.063 ; 293.792.389.997 ;;;;
2;33.479.023;BANCO CITIBANK S.A.; 10.358 ; 12.659.835.574 ; 54.818 ; 14.957.121.284 ; 56.295 ; 56.700.836.647 ; 68.234 ; 67.800.402.435 ; 189.705 ; 152.118.195.939 ; 1.567 ; 29.761.172.304 ; 1.284 ; 15.017.373.843 ; 2.851 ; 44.778.546.147 ; 192.556 ; 196.896.742.086 ;;;;
3;60.701.190;ITAÚ UNIBANCO S.A.; 59.385 ; 15.154.276.038 ; 143.786 ; 13.849.720.033 ; 241.805 ; 34.564.504.491 ; 215.456 ; 31.395.222.103 ; 660.432 ; 94.963.722.665 ; 2.965 ; 48.351.382.617 ; 3.150 ; 45.615.859.257 ; 6.115 ; 93.967.241.874 ; 666.547 ; 188.930.964.539 ;;;;
4;60.746.948;BANCO BRADESCO S.A.; 47.311 ; 23.568.778.121 ; 121.247 ; 16.253.157.277 ; 289.643 ; 32.333.647.771 ; 142.839 ; 36.546.660.463 ; 601.040 ; 108.702.243.632 ; 3.780 ; 23.253.257.275 ; 3.891 ; 25.823.520.225 ; 7.671 ; 49.076.777.500 ; 608.711 ; 157.779.021.132 ;;;;
5;33.172.537;BANCO J.P. MORGAN S.A.; 2.107 ; 5.085.234.234 ; 16.302 ; 4.766.998.035 ; 12.151 ; 40.781.628.519 ; 14.827 ; 43.949.839.181 ; 45.387 ; 94.583.699.969 ; 1.797 ; 24.124.332.970 ; 1.654 ; 24.115.507.148 ; 3.451 ; 48.239.840.117 ; 48.838 ; 142.823.540.086 ;;;;
6;03.532.415;BANCO ABN AMRO S.A.; 53 ; 308.634.183 ; 30 ; 74.735.261 ; 1.394 ; 17.263.942.825 ; 1.371 ; 16.947.097.655 ; 2.848 ; 34.594.409.924 ; 438 ; 34.688.106.207 ; 464 ; 35.250.151.232 ; 902 ; 69.938.257.438 ; 3.750 ; 104.532.667.362 ;;;;
7;00.000.000;BANCO DO BRASIL S.A.; 55.168 ; 21.539.069.934 ; 75.364 ; 11.191.360.245 ; 126.616 ; 12.260.436.060 ; 101.240 ; 19.434.963.866 ; 358.388 ; 64.425.830.104 ; 1.827 ; 9.078.551.377 ; 1.862 ; 13.638.962.422 ; 3.689 ; 22.717.513.799 ; 362.077 ; 87.143.343.904 ;;;;
8;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 42 ; 118.070.423 ;;; 42 ; 118.070.423 ; 35 ; 25.759.717.107 ; 240 ; 46.621.863.000 ; 275 ; 72.381.580.107 ; 317 ; 72.499.650.530 ;;;;
9;30.306.294;BANCO BTG PACTUAL S.A.; 1.046 ; 2.817.417.984 ; 2.956 ; 447.227.346 ; 4.405 ; 3.937.075.885 ; 8.917 ; 4.312.830.003 ; 17.324 ; 11.514.551.218 ; 714 ; 27.621.857.697 ; 1.050 ; 27.620.727.778 ; 1.764 ; 55.242.585.475 ; 19.088 ; 66.757.136.693 ;;;;
