Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Set/2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 52.585 ; 24.422.443.175 ; 151.455 ; 21.815.804.533 ; 175.063 ; 40.255.658.107 ; 235.638 ; 53.394.187.155 ; 614.741 ; 139.888.092.970 ; 10.154 ; 97.828.752.948 ; 9.739 ; 85.685.559.881 ; 19.893 ; 183.514.312.829 ; 634.634 ; 323.402.405.799 ;
2;33.479.023;BANCO CITIBANK S.A.; 11.712 ; 14.138.063.369 ; 62.332 ; 17.005.607.237 ; 63.717 ; 62.594.859.654 ; 77.347 ; 74.709.074.209 ; 215.108 ; 168.447.604.470 ; 1.725 ; 32.176.567.022 ; 1.407 ; 16.010.430.131 ; 3.132 ; 48.186.997.153 ; 218.240 ; 216.634.601.623 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 67.875 ; 17.570.444.207 ; 166.896 ; 16.087.646.136 ; 271.719 ; 37.233.736.069 ; 243.821 ; 35.061.883.826 ; 750.311 ; 105.953.710.238 ; 3.386 ; 54.396.087.345 ; 3.570 ; 50.476.841.500 ; 6.956 ; 104.872.928.846 ; 757.267 ; 210.826.639.084 ;
4;60.746.948;BANCO BRADESCO S.A.; 53.650 ; 25.335.646.246 ; 137.902 ; 18.106.370.218 ; 318.529 ; 34.235.399.050 ; 158.410 ; 39.136.225.292 ; 668.491 ; 116.813.640.805 ; 4.243 ; 26.057.351.582 ; 4.345 ; 27.915.113.266 ; 8.588 ; 53.972.464.847 ; 677.079 ; 170.786.105.653 ;
5;33.172.537;BANCO J.P. MORGAN S.A.; 2.456 ; 5.603.658.263 ; 18.531 ; 5.453.619.721 ; 13.224 ; 44.939.097.889 ; 16.679 ; 48.504.494.070 ; 50.890 ; 104.500.869.944 ; 1.999 ; 26.155.762.031 ; 2.012 ; 29.260.791.152 ; 4.011 ; 55.416.553.183 ; 54.901 ; 159.917.423.127 ;
6;03.532.415;BANCO ABN AMRO S.A.; 54 ; 308.671.130 ; 33 ; 85.622.240 ; 1.559 ; 19.364.426.745 ; 1.581 ; 19.059.630.227 ; 3.227 ; 38.818.350.344 ; 446 ; 34.972.321.071 ; 475 ; 35.579.368.947 ; 921 ; 70.551.690.018 ; 4.148 ; 109.370.040.362 ;
7;00.000.000;BANCO DO BRASIL S.A.; 62.749 ; 23.922.340.914 ; 87.473 ; 12.403.825.047 ; 144.416 ; 12.847.454.320 ; 114.495 ; 20.771.433.532 ; 409.133 ; 69.945.053.813 ; 2.127 ; 10.233.822.129 ; 2.164 ; 15.160.799.701 ; 4.291 ; 25.394.621.830 ; 413.424 ; 95.339.675.643 ;
8;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 47 ; 127.245.367 ;;; 47 ; 127.245.367 ; 41 ; 29.921.985.033 ; 257 ; 51.648.863.000 ; 298 ; 81.570.848.033 ; 345 ; 81.698.093.400 ;
9;30.306.294;BANCO BTG PACTUAL S.A.; 1.219 ; 3.239.642.647 ; 3.596 ; 557.906.380 ; 5.041 ; 4.506.004.904 ; 10.455 ; 5.252.075.025 ; 20.311 ; 13.555.628.956 ; 818 ; 31.063.760.545 ; 1.218 ; 32.006.886.136 ; 2.036 ; 63.070.646.681 ; 22.347 ; 76.626.275.636 ;
10;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 410 ; 892.091.903 ; 1.920 ; 840.652.428 ; 1.629 ; 13.925.089.616 ; 3.695 ; 15.637.185.330 ; 7.654 ; 31.295.019.277 ; 1.101 ; 17.552.257.655 ; 1.038 ; 15.884.844.019 ; 2.139 ; 33.437.101.674 ; 9.793 ; 64.732.120.951 ;
11;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 1.184 ; 3.955.774.736 ; 4.855 ; 2.089.119.102 ; 3.377 ; 14.248.697.193 ; 6.308 ; 21.587.011.855 ; 15.724 ; 41.880.602.885 ; 1.510 ; 12.942.382.946 ; 1.029 ; 7.551.304.539 ; 2.539 ; 20.493.687.485 ; 18.263 ; 62.374.290.370 ;
12;49.336.860;ING BANK N.V.; 408 ; 4.011.191.360 ;;; 190 ; 529.565.879 ; 398 ; 196.402.087 ; 996 ; 4.737.159.326 ; 587 ; 24.251.938.636 ; 765 ; 28.350.040.241 ; 1.352 ; 52.601.978.877 ; 2.348 ; 57.339.138.202 ;
13;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.950 ; 3.174.897.774 ; 9.581 ; 2.942.177.145 ; 6.312 ; 8.223.011.756 ; 13.379 ; 9.237.127.520 ; 31.222 ; 23.577.214.196 ; 5.823 ; 16.762.678.565 ; 5.715 ; 15.987.727.295 ; 11.538 ; 32.750.405.860 ; 42.760 ; 56.327.620.056 ;
14;60.498.557;BANCO MUFG BRASIL S.A.; 962 ; 347.121.156 ; 2.763 ; 413.074.391 ; 2.823 ; 2.127.267.864 ; 3.128 ; 2.033.452.896 ; 9.676 ; 4.920.916.306 ; 4.733 ; 16.973.024.818 ; 4.978 ; 16.807.591.516 ; 9.711 ; 33.780.616.334 ; 19.387 ; 38.701.532.640 ;
15;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 4.364 ; 9.874.048.026 ; 4.868 ; 11.313.571.656 ; 9.232 ; 21.187.619.682 ; 294 ; 8.444.462.219 ; 260 ; 7.169.635.069 ; 554 ; 15.614.097.288 ; 9.786 ; 36.801.716.970 ;
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 93 ; 630.984.241 ; 28 ; 52.748.269 ; 242 ; 1.196.948.268 ; 441 ; 770.590.383 ; 804 ; 2.651.271.160 ; 1.019 ; 14.732.765.633 ; 1.067 ; 15.730.466.302 ; 2.086 ; 30.463.231.935 ; 2.890 ; 33.114.503.095 ;
17;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 2.220 ; 9.027.040.827 ; 2.562 ; 9.639.640.214 ; 4.782 ; 18.666.681.041 ; 281 ; 7.112.286.132 ; 254 ; 6.135.192.191 ; 535 ; 13.247.478.323 ; 5.317 ; 31.914.159.364 ;
18;59.588.111;BANCO VOTORANTIM S.A.; 944 ; 1.888.554.498 ; 4.908 ; 960.246.413 ; 2.546 ; 3.464.932.053 ; 5.514 ; 4.508.942.694 ; 13.912 ; 10.822.675.657 ; 2.335 ; 7.537.168.624 ; 3.636 ; 6.206.152.388 ; 5.971 ; 13.743.321.012 ; 19.883 ; 24.565.996.669 ;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 764 ; 1.947.179.005 ; 2.465 ; 1.418.939.401 ; 2.525 ; 4.063.669.738 ; 4.275 ; 5.466.303.438 ; 10.029 ; 12.896.091.582 ; 1.022 ; 5.084.325.799 ; 1.199 ; 4.100.819.716 ; 2.221 ; 9.185.145.516 ; 12.250 ; 22.081.237.098 ;
20;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 15 ; 1.693.784 ;;; 1.829 ; 4.275.998.274 ; 2.990 ; 5.736.761.798 ; 4.834 ; 10.014.453.856 ; 142 ; 5.266.561.356 ; 158 ; 4.061.748.122 ; 300 ; 9.328.309.478 ; 5.134 ; 19.342.763.333 ;
21;28.195.667;BANCO ABC BRASIL S.A.; 1.231 ; 1.347.187.022 ; 3.768 ; 829.785.566 ; 922 ; 1.832.857.905 ; 3.270 ; 1.387.861.788 ; 9.191 ; 5.397.692.280 ; 1.875 ; 6.131.508.327 ; 3.247 ; 6.905.602.626 ; 5.122 ; 13.037.110.953 ; 14.313 ; 18.434.803.233 ;
22;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 983 ; 4.366.376.425 ; 370 ; 279.610.782 ; 683 ; 1.104.728.096 ; 1.955 ; 1.009.218.116 ; 3.991 ; 6.759.933.419 ; 234 ; 2.762.319.888 ; 321 ; 6.774.559.919 ; 555 ; 9.536.879.807 ; 4.546 ; 16.296.813.226 ;
23;53.518.684;BANCO HSBC S.A.; 157 ; 1.044.000.587 ; 816 ; 307.607.631 ; 294 ; 2.240.294.616 ; 821 ; 2.084.570.256 ; 2.088 ; 5.676.473.091 ; 834 ; 3.330.996.607 ; 1.010 ; 4.249.545.499 ; 1.844 ; 7.580.542.105 ; 3.932 ; 13.257.015.196 ;
24;58.160.789;BANCO SAFRA S.A.; 1.709 ; 909.712.347 ; 6.410 ; 972.314.216 ; 6.906 ; 1.469.904.447 ; 12.156 ; 2.400.125.766 ; 27.181 ; 5.752.056.776 ; 1.260 ; 3.120.838.275 ; 1.188 ; 2.102.441.066 ; 2.448 ; 5.223.279.341 ; 29.629 ; 10.975.336.117 ;
25;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.250 ; 729.299.334 ; 5.097 ; 697.780.768 ; 3.263 ; 1.313.268.476 ; 4.550 ; 1.754.030.110 ; 14.160 ; 4.494.378.687 ; 695 ; 2.305.335.208 ; 727 ; 1.895.819.504 ; 1.422 ; 4.201.154.712 ; 15.582 ; 8.695.533.400 ;
26;68.900.810;BANCO RENDIMENTO S.A.; 287 ; 19.884.595 ; 1.371 ; 211.318.779 ; 882.609 ; 2.513.805.039 ; 48.009 ; 508.240.941 ; 932.276 ; 3.253.249.355 ; 10.170 ; 1.172.422.218 ; 54.988 ; 3.035.875.716 ; 65.158 ; 4.208.297.933 ; 997.434 ; 7.461.547.288 ;
27;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 123 ; 371.141.167 ; 168 ; 299.176.301 ; 172 ; 2.044.306.651 ; 1.004 ; 1.049.505.211 ; 1.467 ; 3.764.129.330 ; 97 ; 1.182.732.978 ; 161 ; 2.332.061.896 ; 258 ; 3.514.794.875 ; 1.725 ; 7.278.924.204 ;
28;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 4.200 ; 554.193.280 ; 13.711 ; 484.552.347 ; 12.031 ; 897.234.130 ; 23.423 ; 1.691.842.599 ; 53.365 ; 3.627.822.355 ; 10.342 ; 1.934.020.897 ; 35.898 ; 1.211.580.972 ; 46.240 ; 3.145.601.869 ; 99.605 ; 6.773.424.224 ;
29;78.632.767;BANCO OURINVEST S.A.; 3.302 ; 431.882.279 ; 15.498 ; 935.512.705 ; 15.373 ; 826.617.536 ; 14.119 ; 878.668.805 ; 48.292 ; 3.072.681.325 ; 9.439 ; 2.069.571.763 ; 26.338 ; 1.512.015.978 ; 35.777 ; 3.581.587.741 ; 84.069 ; 6.654.269.066 ;
