Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em SETEMBRO / 2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 6.413 ; 2.253.133.384 ; 20.111 ; 2.317.230.910 ; 18.278 ; 3.081.225.648 ; 24.396 ; 3.074.541.459 ; 69.198 ; 10.726.131.401 ; 1.725 ; 9.661.859.649 ; 1.675 ; 9.223.162.762 ; 3.400 ; 18.885.022.410 ; 72.598 ; 29.611.153.811 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 8.521 ; 2.419.515.062 ; 23.132 ; 2.240.720.986 ; 29.910 ; 2.669.764.188 ; 28.338 ; 3.664.962.682 ; 89.901 ; 10.994.962.918 ; 421 ; 6.044.704.728 ; 420 ; 4.860.982.243 ; 841 ; 10.905.686.972 ; 90.742 ; 21.900.649.890 ;
3;33.479.023;BANCO CITIBANK S.A.; 1.354 ; 1.478.227.795 ; 7.514 ; 2.048.683.465 ; 7.422 ; 5.894.023.007 ; 9.113 ; 6.908.671.775 ; 25.403 ; 16.329.606.042 ; 158 ; 2.415.394.718 ; 123 ; 993.056.288 ; 281 ; 3.408.451.006 ; 25.684 ; 19.738.057.049 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 351 ; 518.740.532 ; 2.229 ; 686.621.687 ; 1.071 ; 4.157.161.345 ; 1.852 ; 4.554.654.889 ; 5.503 ; 9.917.178.453 ; 202 ; 2.031.429.061 ; 358 ; 5.145.284.004 ; 560 ; 7.176.713.066 ; 6.063 ; 17.093.891.519 ;
5;60.746.948;BANCO BRADESCO S.A.; 6.343 ; 1.767.087.461 ; 16.657 ; 1.853.236.444 ; 28.887 ; 1.901.704.335 ; 15.574 ; 2.589.567.511 ; 67.461 ; 8.111.595.751 ; 463 ; 2.804.094.307 ; 454 ; 2.091.593.040 ; 917 ; 4.895.687.347 ; 68.378 ; 13.007.283.098 ;
6;30.306.294;BANCO BTG PACTUAL S.A.; 173 ; 422.224.662 ; 640 ; 110.679.034 ; 636 ; 568.929.019 ; 1.538 ; 939.245.022 ; 2.987 ; 2.041.077.738 ; 104 ; 3.441.902.848 ; 168 ; 4.386.158.358 ; 272 ; 7.828.061.206 ; 3.259 ; 9.869.138.944 ;
7;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 5 ; 9.174.944 ;;; 5 ; 9.174.944 ; 6 ; 4.162.267.926 ; 17 ; 5.027.000.000 ; 23 ; 9.189.267.926 ; 28 ; 9.198.442.870 ;
8;00.000.000;BANCO DO BRASIL S.A.; 7.583 ; 2.383.374.229 ; 12.109 ; 1.212.464.802 ; 17.799 ; 587.023.760 ; 13.255 ; 1.336.465.538 ; 50.746 ; 5.519.328.329 ; 300 ; 1.155.270.752 ; 302 ; 1.521.837.279 ; 602 ; 2.677.108.030 ; 51.348 ; 8.196.436.360 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 140 ; 666.186.722 ; 537 ; 299.632.439 ; 370 ; 2.134.819.411 ; 636 ; 2.284.605.453 ; 1.683 ; 5.385.244.025 ; 161 ; 800.611.026 ; 140 ; 1.161.286.284 ; 301 ; 1.961.897.310 ; 1.984 ; 7.347.141.335 ;
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 326 ; 318.428.670 ; 988 ; 431.404.187 ; 712 ; 871.413.371 ; 1.675 ; 897.530.847 ; 3.701 ; 2.518.777.076 ; 762 ; 2.293.984.825 ; 739 ; 1.810.283.842 ; 1.501 ; 4.104.268.667 ; 5.202 ; 6.623.045.743 ;
11;49.336.860;ING BANK N.V.; 37 ; 286.819.936 ;;; 20 ; 36.050.773 ; 43 ; 7.822.751 ; 100 ; 330.693.461 ; 59 ; 2.601.814.772 ; 81 ; 3.053.024.838 ; 140 ; 5.654.839.610 ; 240 ; 5.985.533.071 ;
12;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 48 ; 75.601.278 ; 222 ; 50.934.100 ; 129 ; 1.391.994.618 ; 252 ; 1.507.629.275 ; 651 ; 3.026.159.270 ; 128 ; 1.779.176.569 ; 81 ; 359.976.094 ; 209 ; 2.139.152.663 ; 860 ; 5.165.311.933 ;
13;03.532.415;BANCO ABN AMRO S.A.; 1 ; 36.948 ; 3 ; 10.886.979 ; 165 ; 2.100.483.920 ; 210 ; 2.112.532.573 ; 379 ; 4.223.940.420 ; 8 ; 284.214.865 ; 11 ; 329.217.715 ; 19 ; 613.432.580 ; 398 ; 4.837.373.000 ;
14;60.498.557;BANCO MUFG BRASIL S.A.; 114 ; 83.543.844 ; 298 ; 35.224.175 ; 291 ; 197.900.319 ; 385 ; 313.341.658 ; 1.088 ; 630.009.997 ; 521 ; 1.815.336.320 ; 537 ; 1.752.606.777 ; 1.058 ; 3.567.943.097 ; 2.146 ; 4.197.953.094 ;
15;59.588.111;BANCO VOTORANTIM S.A.; 129 ; 188.972.037 ; 630 ; 109.987.521 ; 205 ; 345.841.570 ; 700 ; 380.544.545 ; 1.664 ; 1.025.345.674 ; 255 ; 1.847.840.037 ; 452 ; 651.126.864 ; 707 ; 2.498.966.900 ; 2.371 ; 3.524.312.575 ;
16;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 195 ; 1.119.777.289 ; 307 ; 839.931.456 ; 502 ; 1.959.708.745 ; 27 ; 412.259.036 ; 31 ; 663.417.993 ; 58 ; 1.075.677.028 ; 560 ; 3.035.385.773 ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 87 ; 137.306.433 ; 175 ; 234.567.729 ; 250 ; 410.030.699 ; 458 ; 383.279.075 ; 970 ; 1.165.183.936 ; 122 ; 562.591.362 ; 134 ; 574.326.580 ; 256 ; 1.136.917.942 ; 1.226 ; 2.302.101.878 ;
18;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 7 ; 70.666.050 ; 12 ; 731.654 ; 25 ; 35.017.674 ; 64 ; 56.527.030 ; 108 ; 162.942.408 ; 99 ; 1.038.350.194 ; 105 ; 1.089.634.658 ; 204 ; 2.127.984.852 ; 312 ; 2.290.927.261 ;
19;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 104 ; 318.247.323 ; 34 ; 27.219.476 ; 67 ; 76.265.302 ; 222 ; 138.274.646 ; 427 ; 560.006.746 ; 35 ; 477.945.433 ; 43 ; 813.431.702 ; 78 ; 1.291.377.135 ; 505 ; 1.851.383.881 ;
20;28.195.667;BANCO ABC BRASIL S.A.; 156 ; 87.002.686 ; 387 ; 50.694.222 ; 103 ; 159.693.622 ; 329 ; 95.421.134 ; 975 ; 392.811.664 ; 219 ; 700.858.017 ; 477 ; 745.329.743 ; 696 ; 1.446.187.760 ; 1.671 ; 1.838.999.424 ;
21;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 331 ; 586.887.746 ; 310 ; 492.796.213 ; 641 ; 1.079.683.959 ; 9 ; 176.165.362 ; 19 ; 488.166.065 ; 28 ; 664.331.427 ; 669 ; 1.744.015.386 ;
22;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 21 ; 70.139.536 ; 46 ; 34.466.232 ; 24 ; 209.481.747 ; 145 ; 348.452.610 ; 236 ; 662.540.126 ; 21 ; 442.444.078 ; 19 ; 382.444.325 ; 40 ; 824.888.403 ; 276 ; 1.487.428.529 ;
23;53.518.684;BANCO HSBC S.A.; 26 ; 193.823.499 ; 187 ; 42.231.522 ; 39 ; 59.035.394 ; 130 ; 145.281.566 ; 382 ; 440.371.981 ; 101 ; 358.253.189 ; 117 ; 449.086.886 ; 218 ; 807.340.075 ; 600 ; 1.247.712.056 ;
24;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 606 ; 82.281.737 ; 2.115 ; 88.330.340 ; 1.306 ; 222.466.305 ; 3.251 ; 389.060.021 ; 7.278 ; 782.138.402 ; 1.452 ; 291.315.115 ; 3.928 ; 124.823.670 ; 5.380 ; 416.138.785 ; 12.658 ; 1.198.277.187 ;
25;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 112 ; 5.425.063 ; 829 ; 25.238.359 ; 249 ; 128.156.657 ; 100.580 ; 111.357.833 ; 101.770 ; 270.177.912 ; 302 ; 428.487.402 ; 403 ; 431.420.631 ; 705 ; 859.908.034 ; 102.475 ; 1.130.085.945 ;
26;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 129 ; 31.542.834 ; 530 ; 83.648.566 ; 325 ; 70.518.008 ; 466 ; 394.741.988 ; 1.450 ; 580.451.397 ; 104 ; 452.774.026 ; 93 ; 71.782.603 ; 197 ; 524.556.629 ; 1.647 ; 1.105.008.025 ;
27;58.160.789;BANCO SAFRA S.A.; 243 ; 92.200.176 ; 1.161 ; 147.227.324 ; 757 ; 111.438.373 ; 1.437 ; 220.401.247 ; 3.598 ; 571.267.120 ; 138 ; 265.323.752 ; 125 ; 98.839.947 ; 263 ; 364.163.699 ; 3.861 ; 935.430.819 ;
28;68.900.810;BANCO RENDIMENTO S.A.; 27 ; 2.686.935 ; 226 ; 27.024.494 ; 92.362 ; 275.413.320 ; 2.818 ; 16.576.919 ; 95.433 ; 321.701.668 ; 1.268 ; 156.270.400 ; 6.822 ; 393.097.360 ; 8.090 ; 549.367.760 ; 103.523 ; 871.069.429 ;
29;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 53 ; 69.035.742 ; 155 ; 32.005.798 ; 74 ; 124.021.519 ; 152 ; 102.803.776 ; 434 ; 327.866.834 ; 54 ; 154.664.103 ; 58 ; 332.940.104 ; 112 ; 487.604.207 ; 546 ; 815.471.041 ;
30;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 208 ; 171.100.048 ; 279 ; 275.033.508 ; 487 ; 446.133.556 ; 16 ; 156.102.999 ; 14 ; 136.103.174 ; 30 ; 292.206.172 ; 517 ; 738.339.728 ;
31;58.616.418;BANCO FIBRA S.A.; 64 ; 51.729.691 ; 513 ; 92.097.683 ; 29 ; 10.769.034 ; 118 ; 107.110.916 ; 724 ; 261.707.324 ; 63 ; 230.880.097 ; 63 ; 205.851.647 ; 126 ; 436.731.744 ; 850 ; 698.439.067 ;
32;78.632.767;BANCO OURINVEST S.A.; 576 ; 98.162.471 ; 2.161 ; 137.907.743 ; 1.912 ; 61.083.565 ; 1.583 ; 70.446.910 ; 6.232 ; 367.600.689 ; 794 ; 186.906.695 ; 1.253 ; 130.453.927 ; 2.047 ; 317.360.622 ; 8.279 ; 684.961.311 ;
33;62.232.889;BANCO DAYCOVAL S.A.; 519 ; 80.426.461 ; 683 ; 44.637.701 ; 36.836 ; 91.735.383 ; 1.211 ; 41.913.703 ; 39.249 ; 258.713.248 ; 231 ; 173.559.290 ; 418 ; 249.861.822 ; 649 ; 423.421.113 ; 39.898 ; 682.134.361 ;
34;62.144.175;BANCO PINE S.A.; 32 ; 27.581.767 ; 125 ; 11.999.209 ; 7 ; 276.330 ; 46 ; 5.842.180 ; 210 ; 45.699.486 ; 28 ; 310.382.674 ; 102 ; 309.097.000 ; 130 ; 619.479.674 ; 340 ; 665.179.160 ;
35;13.059.145;BEXS BANCO DE CÂMBIO S/A; 21 ; 84.934.612 ; 9 ; 528.620 ; 3.364 ; 30.792.057 ; 48.672 ; 200.571.159 ; 52.066 ; 316.826.449 ; 164 ; 182.101.018 ; 36 ; 95.598.177 ; 200 ; 277.699.195 ; 52.266 ; 594.525.644 ;
