Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Out/2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 59.029 ; 27.287.108.537 ; 171.656 ; 24.979.610.407 ; 195.522 ; 44.285.054.064 ; 260.080 ; 56.775.588.966 ; 686.287 ; 153.327.361.974 ; 11.487 ; 105.976.710.911 ; 11.065 ; 93.614.269.221 ; 22.552 ; 199.590.980.132 ; 708.839 ; 352.918.342.106 ;
2;33.479.023;BANCO CITIBANK S.A.; 12.989 ; 15.011.957.211 ; 70.218 ; 18.535.924.871 ; 71.190 ; 68.614.617.584 ; 86.608 ; 80.335.314.081 ; 241.005 ; 182.497.813.747 ; 1.806 ; 33.768.370.611 ; 1.472 ; 16.956.108.444 ; 3.278 ; 50.724.479.054 ; 244.283 ; 233.222.292.801 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 76.462 ; 19.765.039.367 ; 190.496 ; 18.524.134.335 ; 301.592 ; 39.634.158.350 ; 270.323 ; 39.769.443.971 ; 838.873 ; 117.692.776.022 ; 3.774 ; 60.458.650.350 ; 3.913 ; 54.529.730.447 ; 7.687 ; 114.988.380.797 ; 846.560 ; 232.681.156.819 ;
4;60.746.948;BANCO BRADESCO S.A.; 59.921 ; 26.914.672.701 ; 153.966 ; 19.740.424.197 ; 349.233 ; 36.004.311.108 ; 173.203 ; 41.618.501.038 ; 736.323 ; 124.277.909.044 ; 4.698 ; 27.589.997.690 ; 4.767 ; 28.901.435.822 ; 9.465 ; 56.491.433.512 ; 745.788 ; 180.769.342.555 ;
5;33.172.537;BANCO J.P. MORGAN S.A.; 2.703 ; 6.116.443.367 ; 20.670 ; 6.352.993.960 ; 14.286 ; 49.501.428.067 ; 18.566 ; 51.592.745.280 ; 56.225 ; 113.563.610.673 ; 2.266 ; 30.490.818.743 ; 2.235 ; 32.583.925.983 ; 4.501 ; 63.074.744.726 ; 60.726 ; 176.638.355.399 ;
6;03.532.415;BANCO ABN AMRO S.A.; 54 ; 308.671.130 ; 36 ; 92.209.361 ; 1.739 ; 21.099.354.240 ; 1.786 ; 20.794.763.815 ; 3.615 ; 42.294.998.546 ; 460 ; 35.163.908.192 ; 485 ; 35.740.970.201 ; 945 ; 70.904.878.392 ; 4.560 ; 113.199.876.938 ;
7;00.000.000;BANCO DO BRASIL S.A.; 70.697 ; 26.132.951.907 ; 100.246 ; 13.952.114.008 ; 161.384 ; 13.475.102.906 ; 127.198 ; 23.121.165.825 ; 459.525 ; 76.681.334.646 ; 2.421 ; 12.743.686.031 ; 2.425 ; 16.232.365.773 ; 4.846 ; 28.976.051.804 ; 464.371 ; 105.657.386.451 ;
8;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 51 ; 133.554.650 ;;; 51 ; 133.554.650 ; 41 ; 29.921.985.033 ; 285 ; 54.037.863.000 ; 326 ; 83.959.848.033 ; 377 ; 84.093.402.683 ;
9;30.306.294;BANCO BTG PACTUAL S.A.; 1.402 ; 3.527.671.317 ; 4.219 ; 677.859.779 ; 5.789 ; 5.373.998.751 ; 11.746 ; 5.671.803.336 ; 23.156 ; 15.251.333.183 ; 909 ; 32.945.736.832 ; 1.344 ; 33.998.195.269 ; 2.253 ; 66.943.932.101 ; 25.409 ; 82.195.265.284 ;
