Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 6.455 ; 2.866.776.010 ; 20.210 ; 3.165.049.679 ; 20.468 ; 4.029.610.807 ; 24.453 ; 3.382.172.136 ; 71.586 ; 13.443.608.632 ; 1.333 ; 8.147.957.963 ; 1.326 ; 7.928.709.340 ; 2.659 ; 16.076.667.303 ; 74.245 ; 29.520.275.935 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 8.592 ; 2.195.658.961 ; 23.605 ; 2.437.704.871 ; 29.866 ; 2.400.331.843 ; 26.491 ; 4.707.322.578 ; 88.554 ; 11.741.018.252 ; 388 ; 6.062.563.005 ; 343 ; 4.052.888.947 ; 731 ; 10.115.451.951 ; 89.285 ; 21.856.470.203 ;
3;33.172.537;BANCO J.P. MORGAN S.A.; 247 ; 512.785.104 ; 2.139 ; 899.374.239 ; 1.062 ; 4.562.330.177 ; 1.889 ; 3.088.252.082 ; 5.337 ; 9.062.741.602 ; 267 ; 4.335.056.712 ; 223 ; 3.323.134.831 ; 490 ; 7.658.191.543 ; 5.827 ; 16.720.933.145 ;
4;33.479.023;BANCO CITIBANK S.A.; 1.278 ; 873.896.487 ; 7.886 ; 1.530.317.634 ; 7.473 ; 6.019.760.924 ; 9.262 ; 5.626.239.907 ; 25.899 ; 14.050.214.952 ; 81 ; 1.591.803.589 ; 65 ; 945.678.313 ; 146 ; 2.537.481.901 ; 26.045 ; 16.587.696.853 ;
5;00.000.000;BANCO DO BRASIL S.A.; 7.953 ; 2.210.698.936 ; 12.780 ; 1.548.998.975 ; 16.969 ; 627.832.642 ; 12.705 ; 2.349.802.360 ; 50.407 ; 6.737.332.913 ; 294 ; 2.509.863.902 ; 261 ; 1.071.566.072 ; 555 ; 3.581.429.975 ; 50.962 ; 10.318.762.888 ;
6;60.746.948;BANCO BRADESCO S.A.; 6.275 ; 1.579.230.737 ; 16.068 ; 1.634.379.868 ; 30.702 ; 1.768.900.466 ; 14.784 ; 2.482.011.361 ; 67.829 ; 7.464.522.432 ; 455 ; 1.532.646.108 ; 422 ; 986.322.556 ; 877 ; 2.518.968.664 ; 68.706 ; 9.983.491.097 ;
7;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 251 ; 284.660.470 ; 1.394 ; 442.161.756 ; 759 ; 1.369.806.223 ; 1.740 ; 694.500.390 ; 4.144 ; 2.791.128.838 ; 758 ; 2.266.776.370 ; 774 ; 2.749.850.724 ; 1.532 ; 5.016.627.093 ; 5.676 ; 7.807.755.932 ;
8;49.336.860;ING BANK N.V.; 35 ; 156.552.613 ;;; 35 ; 22.741.395 ; 41 ; 33.163.734 ; 111 ; 212.457.742 ; 89 ; 2.834.010.630 ; 79 ; 2.679.251.055 ; 168 ; 5.513.261.686 ; 279 ; 5.725.719.428 ;
9;30.306.294;BANCO BTG PACTUAL S.A.; 183 ; 288.028.671 ; 624 ; 119.968.629 ; 748 ; 867.993.846 ; 1.290 ; 419.713.082 ; 2.845 ; 1.695.704.228 ; 91 ; 1.881.976.287 ; 126 ; 1.991.309.133 ; 217 ; 3.873.285.420 ; 3.062 ; 5.568.989.648 ;
