Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Nov/2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 64.290 ; 29.912.424.405 ; 192.787 ; 28.475.095.554 ; 212.549 ; 51.067.011.607 ; 285.762 ; 61.727.609.073 ; 755.388 ; 171.182.140.640 ; 12.407 ; 113.302.073.219 ; 11.958 ; 100.353.236.330 ; 24.365 ; 213.655.309.548 ; 779.753 ; 384.837.450.189 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 83.830 ; 22.247.024.993 ; 219.118 ; 22.717.882.892 ; 329.385 ; 42.278.091.621 ; 298.979 ; 42.728.519.284 ; 931.312 ; 129.971.518.791 ; 4.101 ; 65.649.169.419 ; 4.230 ; 58.298.185.994 ; 8.331 ; 123.947.355.413 ; 939.643 ; 253.918.874.204 ;
3;33.479.023;BANCO CITIBANK S.A.; 14.154 ; 15.761.206.134 ; 78.777 ; 20.215.949.677 ; 78.361 ; 76.226.487.722 ; 95.560 ; 86.250.377.944 ; 266.852 ; 198.454.021.478 ; 1.899 ; 35.184.100.115 ; 1.627 ; 19.903.241.658 ; 3.526 ; 55.087.341.773 ; 270.378 ; 253.541.363.250 ;
4;60.746.948;BANCO BRADESCO S.A.; 65.043 ; 28.285.092.571 ; 169.959 ; 21.531.251.156 ; 380.228 ; 40.169.841.685 ; 188.061 ; 46.552.587.488 ; 803.291 ; 136.538.772.900 ; 5.182 ; 29.552.418.493 ; 5.211 ; 29.684.376.839 ; 10.393 ; 59.236.795.332 ; 813.684 ; 195.775.568.231 ;
5;33.172.537;BANCO J.P. MORGAN S.A.; 3.014 ; 6.628.988.919 ; 23.454 ; 7.193.777.479 ; 15.365 ; 54.947.819.133 ; 20.530 ; 55.050.982.847 ; 62.363 ; 123.821.568.378 ; 2.452 ; 31.802.901.094 ; 2.477 ; 36.028.077.812 ; 4.929 ; 67.830.978.906 ; 67.292 ; 191.652.547.285 ;
6;03.532.415;BANCO ABN AMRO S.A.; 54 ; 308.671.130 ; 36 ; 92.209.361 ; 1.935 ; 23.339.164.881 ; 1.977 ; 22.786.459.426 ; 4.002 ; 46.526.504.798 ; 465 ; 35.249.658.192 ; 503 ; 36.030.970.201 ; 968 ; 71.280.628.392 ; 4.970 ; 117.807.133.191 ;
7;00.000.000;BANCO DO BRASIL S.A.; 77.359 ; 27.457.480.284 ; 115.713 ; 15.564.660.034 ; 181.273 ; 14.143.678.097 ; 141.324 ; 24.638.710.562 ; 515.669 ; 81.804.528.977 ; 2.668 ; 14.650.930.604 ; 2.665 ; 17.335.950.097 ; 5.333 ; 31.986.880.701 ; 521.002 ; 113.791.409.678 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 1.519 ; 3.806.440.984 ; 5.057 ; 745.666.582 ; 6.458 ; 6.256.235.382 ; 13.150 ; 6.290.655.755 ; 26.184 ; 17.098.998.702 ; 1.008 ; 35.383.317.853 ; 1.513 ; 36.693.201.372 ; 2.521 ; 72.076.519.225 ; 28.705 ; 89.175.517.927 ;
9;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 56 ; 157.810.690 ;;; 56 ; 157.810.690 ; 43 ; 31.185.303.283 ; 287 ; 55.297.863.000 ; 330 ; 86.483.166.283 ; 386 ; 86.640.976.973 ;
