Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em NOVEMBRO / 2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.262 ; 2.627.815.868 ; 21.140 ; 3.497.014.248 ; 17.030 ; 6.782.337.297 ; 25.692 ; 4.952.422.535 ; 69.124 ; 17.859.589.949 ; 920 ; 7.325.362.308 ; 893 ; 6.738.967.109 ; 1.813 ; 14.064.329.416 ; 70.937 ; 31.923.919.365 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 7.373 ; 2.482.394.154 ; 28.635 ; 4.196.671.510 ; 27.788 ; 2.644.169.126 ; 28.642 ; 2.956.366.968 ; 92.438 ; 12.279.601.758 ; 327 ; 5.190.519.069 ; 317 ; 3.768.455.548 ; 644 ; 8.958.974.617 ; 93.082 ; 21.238.576.374 ;
3;33.479.023;BANCO CITIBANK S.A.; 1.165 ; 749.248.923 ; 8.558 ; 1.679.939.055 ; 7.173 ; 7.615.436.139 ; 8.951 ; 5.915.150.010 ; 25.847 ; 15.959.774.127 ; 93 ; 1.415.729.504 ; 155 ; 2.947.133.214 ; 248 ; 4.362.862.718 ; 26.095 ; 20.322.636.845 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 313 ; 512.624.179 ; 2.784 ; 840.783.519 ; 1.077 ; 5.446.312.441 ; 1.964 ; 3.458.237.567 ; 6.138 ; 10.257.957.706 ; 186 ; 1.312.082.351 ; 242 ; 3.444.151.829 ; 428 ; 4.756.234.180 ; 6.566 ; 15.014.191.886 ;
5;60.746.948;BANCO BRADESCO S.A.; 5.131 ; 1.370.641.429 ; 15.995 ; 1.790.868.564 ; 31.005 ; 4.165.543.199 ; 14.865 ; 4.934.086.542 ; 66.996 ; 12.261.139.734 ; 484 ; 1.962.420.803 ; 444 ; 782.941.017 ; 928 ; 2.745.361.820 ; 67.924 ; 15.006.501.554 ;
6;00.000.000;BANCO DO BRASIL S.A.; 6.677 ; 1.328.003.295 ; 15.469 ; 1.614.239.180 ; 19.889 ; 668.575.191 ; 14.127 ; 1.517.876.423 ; 56.162 ; 5.128.694.088 ; 247 ; 1.907.244.573 ; 240 ; 1.103.584.324 ; 487 ; 3.010.828.896 ; 56.649 ; 8.139.522.984 ;
7;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 151 ; 173.048.125 ; 433 ; 287.707.552 ; 391 ; 2.963.506.519 ; 582 ; 2.202.493.481 ; 1.557 ; 5.626.755.677 ; 120 ; 580.242.084 ; 127 ; 1.245.388.212 ; 247 ; 1.825.630.295 ; 1.804 ; 7.452.385.972 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 117 ; 278.769.667 ; 839 ; 67.808.583 ; 669 ; 882.236.631 ; 1.403 ; 618.850.638 ; 3.028 ; 1.847.665.519 ; 99 ; 2.437.581.021 ; 169 ; 2.695.006.104 ; 268 ; 5.132.587.124 ; 3.296 ; 6.980.252.643 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 202 ; 197.792.647 ; 1.340 ; 515.716.477 ; 759 ; 1.306.478.586 ; 1.670 ; 748.677.185 ; 3.971 ; 2.768.664.895 ; 792 ; 1.096.149.158 ; 797 ; 1.204.350.906 ; 1.589 ; 2.300.500.065 ; 5.560 ; 5.069.164.960 ;
10;03.532.415;BANCO ABN AMRO S.A.;;;;; 196 ; 2.239.810.641 ; 191 ; 1.991.695.611 ; 387 ; 4.231.506.252 ; 5 ; 85.750.000 ; 18 ; 290.000.000 ; 23 ; 375.750.000 ; 410 ; 4.607.256.252 ;
11;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 210 ; 2.268.927.796 ; 205 ; 2.224.105.903 ; 415 ; 4.493.033.699 ; 5 ; 50.411.554 ; 6 ; 50.411.278 ; 11 ; 100.822.832 ; 426 ; 4.593.856.532 ;
12;49.336.860;ING BANK N.V.; 19 ; 121.671.120 ;;; 21 ; 151.743.140 ; 40 ; 2.763.472 ; 80 ; 276.177.732 ; 56 ; 1.816.162.143 ; 54 ; 1.754.107.172 ; 110 ; 3.570.269.314 ; 190 ; 3.846.447.046 ;
