Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Dez/2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 70.483 ; 36.747.169.548 ; 213.379 ; 35.368.395.872 ; 234.211 ; 56.083.313.609 ; 314.533 ; 69.038.310.873 ; 832.606 ; 197.237.189.901 ; 13.962 ; 122.827.322.182 ; 13.558 ; 110.769.340.213 ; 27.520 ; 233.596.662.396 ; 860.126 ; 430.833.852.297 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 92.266 ; 24.709.752.191 ; 246.156 ; 26.014.917.682 ; 361.854 ; 46.618.254.084 ; 330.641 ; 50.878.191.139 ; 1.030.917 ; 148.221.115.096 ; 4.572 ; 74.028.356.117 ; 4.654 ; 64.162.485.579 ; 9.226 ; 138.190.841.696 ; 1.040.143 ; 286.411.956.793 ;
3;33.479.023;BANCO CITIBANK S.A.; 15.761 ; 16.757.749.971 ; 87.122 ; 21.753.265.224 ; 87.336 ; 85.210.189.672 ; 106.138 ; 94.486.068.644 ; 296.357 ; 218.207.273.512 ; 2.041 ; 37.069.638.462 ; 1.814 ; 22.991.599.453 ; 3.855 ; 60.061.237.915 ; 300.212 ; 278.268.511.426 ;
4;60.746.948;BANCO BRADESCO S.A.; 70.987 ; 29.735.641.090 ; 185.587 ; 23.697.623.833 ; 413.461 ; 48.629.293.158 ; 204.661 ; 55.250.178.605 ; 874.696 ; 157.312.736.687 ; 5.771 ; 32.154.547.718 ; 5.759 ; 31.493.967.041 ; 11.530 ; 63.648.514.759 ; 886.226 ; 220.961.251.446 ;
5;33.172.537;BANCO J.P. MORGAN S.A.; 3.313 ; 7.184.172.584 ; 25.793 ; 7.919.045.729 ; 16.765 ; 60.018.723.684 ; 23.093 ; 60.072.987.647 ; 68.964 ; 135.194.929.644 ; 2.670 ; 34.062.653.835 ; 2.731 ; 38.505.501.232 ; 5.401 ; 72.568.155.067 ; 74.365 ; 207.763.084.711 ;
6;00.000.000;BANCO DO BRASIL S.A.; 85.236 ; 29.274.864.794 ; 130.316 ; 17.709.606.113 ; 200.446 ; 18.120.068.951 ; 157.861 ; 29.659.049.544 ; 573.859 ; 94.763.589.403 ; 3.037 ; 16.750.542.191 ; 3.025 ; 19.173.157.498 ; 6.062 ; 35.923.699.690 ; 579.921 ; 130.687.289.093 ;
7;03.532.415;BANCO ABN AMRO S.A.; 54 ; 308.671.130 ; 36 ; 92.209.361 ; 2.131 ; 25.896.977.076 ; 2.157 ; 24.981.970.769 ; 4.378 ; 51.279.828.336 ; 469 ; 35.316.408.192 ; 531 ; 36.605.970.201 ; 1.000 ; 71.922.378.392 ; 5.378 ; 123.202.206.729 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 1.650 ; 4.054.632.411 ; 5.742 ; 996.635.324 ; 7.319 ; 8.012.195.580 ; 14.836 ; 8.343.909.249 ; 29.547 ; 21.407.372.563 ; 1.127 ; 37.784.056.341 ; 1.702 ; 39.488.726.557 ; 2.829 ; 77.272.782.898 ; 32.376 ; 98.680.155.461 ;
9;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 59 ; 161.149.504 ; 1 ; 1.196.835 ; 60 ; 162.346.339 ; 46 ; 33.190.265.894 ; 293 ; 57.827.863.000 ; 339 ; 91.018.128.894 ; 399 ; 91.180.475.233 ;
