Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 6.195 ; 6.834.364.915 ; 20.608 ; 6.895.930.707 ; 21.660 ; 5.016.310.254 ; 28.778 ; 7.310.971.799 ; 77.241 ; 26.057.577.675 ; 1.555 ; 9.525.248.964 ; 1.600 ; 10.416.103.884 ; 3.155 ; 19.941.352.847 ; 80.396 ; 45.998.930.522 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 8.440 ; 2.462.995.547 ; 27.063 ; 3.299.275.569 ; 32.463 ; 4.340.069.073 ; 31.640 ; 8.148.828.320 ; 99.606 ; 18.251.168.508 ; 471 ; 8.379.186.698 ; 424 ; 5.864.299.584 ; 895 ; 14.243.486.283 ; 100.501 ; 32.494.654.791 ;
3;60.746.948;BANCO BRADESCO S.A.; 5.945 ; 1.450.955.820 ; 15.632 ; 2.166.492.536 ; 33.457 ; 8.459.718.530 ; 16.597 ; 8.697.554.977 ; 71.631 ; 20.774.721.863 ; 589 ; 2.602.129.226 ; 548 ; 1.809.590.202 ; 1.137 ; 4.411.719.428 ; 72.768 ; 25.186.441.291 ;
4;33.479.023;BANCO CITIBANK S.A.; 1.607 ; 996.543.837 ; 8.345 ; 1.537.315.547 ; 8.975 ; 8.983.701.950 ; 10.578 ; 8.235.690.699 ; 29.505 ; 19.753.252.034 ; 142 ; 1.885.538.347 ; 187 ; 3.088.357.795 ; 329 ; 4.973.896.142 ; 29.834 ; 24.727.148.176 ;
5;00.000.000;BANCO DO BRASIL S.A.; 7.889 ; 1.821.611.055 ; 14.609 ; 2.145.023.159 ; 19.173 ; 3.976.390.854 ; 16.536 ; 5.020.337.594 ; 58.207 ; 12.963.362.662 ; 369 ; 2.099.611.587 ; 360 ; 1.837.207.401 ; 729 ; 3.936.818.989 ; 58.936 ; 16.900.181.650 ;
6;33.172.537;BANCO J.P. MORGAN S.A.; 299 ; 555.183.664 ; 2.340 ; 725.279.830 ; 1.400 ; 5.070.904.551 ; 2.563 ; 5.022.004.800 ; 6.602 ; 11.373.372.846 ; 218 ; 2.259.752.741 ; 254 ; 2.477.423.420 ; 472 ; 4.737.176.161 ; 7.074 ; 16.110.549.006 ;
7;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 181 ; 241.060.639 ; 1.218 ; 391.422.648 ; 814 ; 1.267.251.200 ; 2.368 ; 1.688.043.467 ; 4.581 ; 3.587.777.954 ; 924 ; 4.014.195.533 ; 906 ; 3.399.577.661 ; 1.830 ; 7.413.773.194 ; 6.411 ; 11.001.551.148 ;
8;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 5 ; 20.102.884 ; 13 ; 6.810.752 ; 47 ; 144.964.295 ; 92 ; 446.076.795 ; 157 ; 617.954.726 ; 115 ; 4.839.972.048 ; 104 ; 4.549.917.715 ; 219 ; 9.389.889.763 ; 376 ; 10.007.844.489 ;
9;30.306.294;BANCO BTG PACTUAL S.A.; 131 ; 248.191.427 ; 685 ; 250.968.742 ; 861 ; 1.755.960.198 ; 1.688 ; 2.056.782.317 ; 3.365 ; 4.311.902.684 ; 119 ; 2.400.738.488 ; 189 ; 2.795.525.185 ; 308 ; 5.196.263.673 ; 3.673 ; 9.508.166.357 ;
