Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JANEIRO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 6.208 ; 2.012.252.721 ; 18.290 ; 2.154.359.874 ; 18.659 ; 4.654.063.876 ; 22.712 ; 4.075.636.264 ; 65.869 ; 12.896.312.735 ; 1.971 ; 8.886.879.252 ; 1.856 ; 6.779.168.567 ; 3.827 ; 15.666.047.819 ; 69.696 ; 28.562.360.553 ;
2;33.479.023;BANCO CITIBANK S.A.; 1.246 ; 1.319.550.991 ; 8.348 ; 1.536.568.179 ; 7.986 ; 10.538.977.409 ; 9.126 ; 9.668.470.247 ; 26.706 ; 23.063.566.826 ; 187 ; 2.034.909.839 ; 222 ; 2.236.227.021 ; 409 ; 4.271.136.860 ; 27.115 ; 27.334.703.686 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 8.217 ; 2.026.126.572 ; 23.223 ; 2.682.748.211 ; 29.824 ; 5.159.896.474 ; 24.402 ; 4.731.741.541 ; 85.666 ; 14.600.512.798 ; 308 ; 6.404.266.707 ; 297 ; 5.147.536.744 ; 605 ; 11.551.803.450 ; 86.271 ; 26.152.316.248 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 246 ; 519.501.530 ; 2.732 ; 751.028.581 ; 1.276 ; 4.352.370.465 ; 2.269 ; 3.687.807.235 ; 6.523 ; 9.310.707.811 ; 263 ; 3.221.349.824 ; 310 ; 4.510.631.428 ; 573 ; 7.731.981.252 ; 7.096 ; 17.042.689.063 ;
5;60.746.948;BANCO BRADESCO S.A.; 5.764 ; 1.388.387.816 ; 14.191 ; 1.452.083.460 ; 27.501 ; 1.879.512.232 ; 12.316 ; 2.477.804.132 ; 59.772 ; 7.197.787.640 ; 458 ; 2.109.825.583 ; 430 ; 1.356.375.992 ; 888 ; 3.466.201.575 ; 60.660 ; 10.663.989.215 ;
6;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 174 ; 440.082.000 ; 496 ; 312.802.899 ; 408 ; 3.586.445.026 ; 552 ; 1.751.943.573 ; 1.630 ; 6.091.273.499 ; 148 ; 471.509.728 ; 131 ; 2.676.665.480 ; 279 ; 3.148.175.208 ; 1.909 ; 9.239.448.708 ;
7;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 8 ; 13.632.514 ; 1 ; 201.142 ; 21 ; 284.151.403 ; 48 ; 11.526.197 ; 78 ; 309.511.255 ; 112 ; 4.181.023.837 ; 121 ; 4.541.586.161 ; 233 ; 8.722.609.998 ; 311 ; 9.032.121.254 ;
8;00.000.000;BANCO DO BRASIL S.A.; 7.635 ; 1.553.893.093 ; 11.764 ; 1.236.592.445 ; 26.379 ; 529.346.444 ; 11.395 ; 971.998.601 ; 57.173 ; 4.291.830.584 ; 247 ; 3.297.681.681 ; 223 ; 318.011.257 ; 470 ; 3.615.692.938 ; 57.643 ; 7.907.523.522 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 183 ; 233.872.392 ; 1.278 ; 342.071.546 ; 767 ; 1.190.099.355 ; 1.602 ; 654.795.533 ; 3.830 ; 2.420.838.825 ; 776 ; 1.995.371.838 ; 796 ; 2.548.504.493 ; 1.572 ; 4.543.876.332 ; 5.402 ; 6.964.715.157 ;
