Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Fev/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 12.103 ; 9.102.491.573 ; 34.434 ; 8.853.646.493 ; 37.862 ; 10.198.335.463 ; 44.259 ; 7.899.673.947 ; 128.658 ; 36.054.147.476 ; 3.155 ; 16.230.470.399 ; 3.039 ; 13.391.168.953 ; 6.194 ; 29.621.639.352 ; 134.852 ; 65.675.786.828 ;
2;33.479.023;BANCO CITIBANK S.A.; 2.452 ; 4.880.962.052 ; 15.832 ; 5.679.103.985 ; 15.378 ; 18.594.094.407 ; 17.407 ; 17.093.236.507 ; 51.069 ; 46.247.396.951 ; 447 ; 4.385.769.161 ; 477 ; 3.957.789.180 ; 924 ; 8.343.558.341 ; 51.993 ; 54.590.955.292 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 16.049 ; 5.095.655.352 ; 43.455 ; 5.985.077.331 ; 58.157 ; 7.253.617.067 ; 47.699 ; 7.030.721.567 ; 165.360 ; 25.365.071.317 ; 671 ; 10.445.745.747 ; 685 ; 8.573.888.633 ; 1.356 ; 19.019.634.381 ; 166.716 ; 44.384.705.698 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 556 ; 1.545.792.599 ; 5.286 ; 1.529.925.606 ; 2.398 ; 9.971.602.181 ; 4.078 ; 8.423.099.110 ; 12.318 ; 21.470.419.496 ; 484 ; 6.244.973.310 ; 569 ; 6.612.074.768 ; 1.053 ; 12.857.048.078 ; 13.371 ; 34.327.467.574 ;
5;60.746.948;BANCO BRADESCO S.A.; 11.348 ; 3.164.425.428 ; 26.962 ; 2.968.693.025 ; 54.060 ; 3.803.490.011 ; 23.850 ; 3.987.034.470 ; 116.220 ; 13.923.642.933 ; 913 ; 5.024.740.276 ; 862 ; 3.624.356.296 ; 1.775 ; 8.649.096.572 ; 117.995 ; 22.572.739.505 ;
6;00.000.000;BANCO DO BRASIL S.A.; 14.926 ; 3.574.347.329 ; 23.223 ; 2.863.238.200 ; 45.906 ; 2.331.195.825 ; 23.058 ; 3.602.879.810 ; 107.113 ; 12.371.661.164 ; 486 ; 4.072.551.503 ; 466 ; 1.257.023.500 ; 952 ; 5.329.575.003 ; 108.065 ; 17.701.236.167 ;
7;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 326 ; 1.437.611.055 ; 1.225 ; 532.172.183 ; 827 ; 6.334.182.867 ; 1.007 ; 3.999.776.603 ; 3.385 ; 12.303.742.708 ; 298 ; 1.052.014.185 ; 222 ; 3.989.572.049 ; 520 ; 5.041.586.234 ; 3.905 ; 17.345.328.942 ;
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 349 ; 393.670.988 ; 2.350 ; 628.238.869 ; 1.581 ; 2.422.318.210 ; 3.321 ; 1.515.259.736 ; 7.601 ; 4.959.487.802 ; 1.544 ; 3.391.576.759 ; 1.577 ; 4.216.257.535 ; 3.121 ; 7.607.834.294 ; 10.722 ; 12.567.322.096 ;
9;30.306.294;BANCO BTG PACTUAL S.A.; 198 ; 469.185.075 ; 1.133 ; 195.501.221 ; 1.892 ; 1.419.633.867 ; 3.414 ; 1.309.672.380 ; 6.637 ; 3.393.992.544 ; 210 ; 4.805.919.098 ; 202 ; 4.350.962.980 ; 412 ; 9.156.882.079 ; 7.049 ; 12.550.874.622 ;
