Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em FEVEREIRO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.897 ; 7.090.419.954 ; 16.143 ; 6.698.505.830 ; 19.203 ; 5.544.271.588 ; 21.551 ; 3.824.886.076 ; 62.794 ; 23.158.083.447 ; 1.184 ; 7.343.591.147 ; 1.183 ; 6.612.000.386 ; 2.367 ; 13.955.591.533 ; 65.161 ; 37.113.674.981 ;
2;33.479.023;BANCO CITIBANK S.A.; 1.206 ; 3.561.411.061 ; 7.484 ; 4.142.535.806 ; 7.392 ; 8.055.116.998 ; 8.281 ; 7.424.766.260 ; 24.363 ; 23.183.830.125 ; 260 ; 2.350.859.321 ; 255 ; 1.721.562.160 ; 515 ; 4.072.421.481 ; 24.878 ; 27.256.251.606 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 7.833 ; 3.069.819.860 ; 20.233 ; 3.302.452.628 ; 28.330 ; 2.093.495.415 ; 23.295 ; 2.298.858.874 ; 79.691 ; 10.764.626.776 ; 363 ; 4.041.479.041 ; 388 ; 3.426.351.890 ; 751 ; 7.467.830.930 ; 80.442 ; 18.232.457.706 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 310 ; 1.026.291.069 ; 2.553 ; 778.852.936 ; 1.122 ; 5.619.231.717 ; 1.810 ; 4.735.335.964 ; 5.795 ; 12.159.711.685 ; 221 ; 3.023.623.486 ; 259 ; 2.101.443.340 ; 480 ; 5.125.066.826 ; 6.275 ; 17.284.778.511 ;
5;60.746.948;BANCO BRADESCO S.A.; 5.584 ; 1.776.037.612 ; 12.770 ; 1.516.608.934 ; 26.560 ; 1.923.978.480 ; 11.535 ; 1.509.231.283 ; 56.449 ; 6.725.856.309 ; 455 ; 2.914.914.693 ; 432 ; 2.267.980.304 ; 887 ; 5.182.894.997 ; 57.336 ; 11.908.751.306 ;
6;00.000.000;BANCO DO BRASIL S.A.; 7.291 ; 2.020.454.236 ; 11.459 ; 1.626.645.754 ; 19.597 ; 1.801.849.648 ; 11.662 ; 2.630.817.875 ; 50.009 ; 8.079.767.514 ; 239 ; 774.869.822 ; 243 ; 939.012.243 ; 482 ; 1.713.882.065 ; 50.491 ; 9.793.649.579 ;
7;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 152 ; 997.529.055 ; 729 ; 219.369.283 ; 419 ; 2.747.737.840 ; 455 ; 2.247.833.030 ; 1.755 ; 6.212.469.208 ; 150 ; 580.504.457 ; 91 ; 1.312.906.569 ; 241 ; 1.893.411.026 ; 1.996 ; 8.105.880.234 ;
8;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 3 ; 1.703.381 ; 3 ; 3.259.980 ; 6 ; 4.963.361 ; 2 ; 1.601.145.328 ; 24 ; 4.680.000.000 ; 26 ; 6.281.145.328 ; 32 ; 6.286.108.689 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 166 ; 159.798.596 ; 1.072 ; 286.167.323 ; 814 ; 1.232.218.855 ; 1.719 ; 860.464.203 ; 3.771 ; 2.538.648.977 ; 768 ; 1.396.204.921 ; 781 ; 1.667.753.042 ; 1.549 ; 3.063.957.963 ; 5.320 ; 5.602.606.940 ;
10;30.306.294;BANCO BTG PACTUAL S.A.; 95 ; 246.931.230 ; 476 ; 111.053.574 ; 976 ; 633.573.364 ; 1.973 ; 634.410.034 ; 3.520 ; 1.625.968.201 ; 82 ; 2.150.057.484 ; 103 ; 1.817.910.237 ; 185 ; 3.967.967.721 ; 3.705 ; 5.593.935.922 ;
11;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 206 ; 1.332.790.638 ; 278 ; 1.337.192.531 ; 484 ; 2.669.983.169 ; 39 ; 830.782.824 ; 41 ; 850.777.101 ; 80 ; 1.681.559.925 ; 564 ; 4.351.543.094 ;
12;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 559 ; 860.306.555 ; 566 ; 1.624.737.098 ; 1.125 ; 2.485.043.653 ; 31 ; 1.175.501.446 ; 10 ; 343.999.620 ; 41 ; 1.519.501.065 ; 1.166 ; 4.004.544.719 ;
