Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mar/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 19.721 ; 12.591.212.928 ; 54.658 ; 11.310.813.398 ; 59.670 ; 22.419.201.340 ; 70.943 ; 19.429.764.701 ; 204.992 ; 65.750.992.367 ; 4.098 ; 23.785.098.795 ; 4.078 ; 22.825.808.205 ; 8.176 ; 46.610.906.999 ; 213.168 ; 112.361.899.366 ;
2;33.479.023;BANCO CITIBANK S.A.; 4.011 ; 6.318.891.506 ; 24.779 ; 7.381.629.184 ; 24.882 ; 29.669.379.732 ; 27.851 ; 28.403.359.897 ; 81.523 ; 71.773.260.318 ; 803 ; 8.931.497.786 ; 772 ; 6.813.830.244 ; 1.575 ; 15.745.328.030 ; 83.098 ; 87.518.588.348 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 26.381 ; 7.383.572.819 ; 68.911 ; 9.096.576.346 ; 94.014 ; 12.009.541.785 ; 78.217 ; 11.796.934.232 ; 267.523 ; 40.286.625.182 ; 1.173 ; 17.914.648.906 ; 1.139 ; 14.007.790.604 ; 2.312 ; 31.922.439.510 ; 269.835 ; 72.209.064.692 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 929 ; 2.248.496.931 ; 8.253 ; 2.294.093.924 ; 3.697 ; 18.131.214.966 ; 6.405 ; 17.651.740.548 ; 19.284 ; 40.325.546.369 ; 818 ; 13.592.786.094 ; 969 ; 14.255.992.535 ; 1.787 ; 27.848.778.630 ; 21.071 ; 68.174.324.998 ;
5;60.746.948;BANCO BRADESCO S.A.; 18.562 ; 7.201.244.006 ; 41.732 ; 4.662.638.954 ; 85.047 ; 6.606.279.721 ; 38.503 ; 7.595.301.354 ; 183.844 ; 26.065.464.035 ; 1.425 ; 8.935.949.748 ; 1.411 ; 7.670.567.750 ; 2.836 ; 16.606.517.498 ; 186.680 ; 42.671.981.533 ;
6;00.000.000;BANCO DO BRASIL S.A.; 24.726 ; 7.860.232.903 ; 38.266 ; 5.332.271.213 ; 144.203 ; 3.437.171.294 ; 38.480 ; 5.187.464.521 ; 245.675 ; 21.817.139.931 ; 801 ; 5.743.592.644 ; 797 ; 4.196.594.392 ; 1.598 ; 9.940.187.035 ; 247.273 ; 31.757.326.967 ;
7;30.306.294;BANCO BTG PACTUAL S.A.; 351 ; 947.096.981 ; 1.916 ; 318.736.226 ; 3.082 ; 2.227.117.142 ; 5.561 ; 2.251.092.692 ; 10.910 ; 5.744.043.041 ; 337 ; 10.145.198.917 ; 436 ; 10.677.469.015 ; 773 ; 20.822.667.932 ; 11.683 ; 26.566.710.973 ;
8;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 486 ; 2.211.459.547 ; 1.742 ; 695.946.641 ; 1.290 ; 8.558.960.855 ; 1.647 ; 6.733.569.530 ; 5.165 ; 18.199.936.573 ; 546 ; 2.556.657.955 ; 346 ; 5.791.298.542 ; 892 ; 8.347.956.498 ; 6.057 ; 26.547.893.071 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 559 ; 705.407.904 ; 3.836 ; 1.177.359.743 ; 2.629 ; 4.153.187.256 ; 6.005 ; 3.274.272.492 ; 13.029 ; 9.310.227.395 ; 2.487 ; 7.032.825.381 ; 2.520 ; 7.805.133.107 ; 5.007 ; 14.837.958.488 ; 18.036 ; 24.148.185.883 ;
10;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 8 ; 18.412.759 ; 5 ; 4.574.039 ; 13 ; 22.986.798 ; 14 ; 6.911.349.144 ; 71 ; 13.545.000.000 ; 85 ; 20.456.349.144 ; 98 ; 20.479.335.943 ;
11;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 15 ; 86.615.830 ; 39 ; 14.599.722 ; 62 ; 594.407.672 ; 163 ; 312.962.443 ; 279 ; 1.008.585.667 ; 343 ; 7.082.480.339 ; 362 ; 7.464.570.087 ; 705 ; 14.547.050.427 ; 984 ; 15.555.636.094 ;
12;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 775 ; 4.406.128.181 ; 915 ; 3.514.792.856 ; 1.690 ; 7.920.921.038 ; 128 ; 2.703.220.004 ; 151 ; 3.428.228.103 ; 279 ; 6.131.448.106 ; 1.969 ; 14.052.369.144 ;
