Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MARÇO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 7.614 ; 3.488.362.347 ; 20.192 ; 2.457.528.766 ; 21.795 ; 12.220.856.519 ; 26.591 ; 11.530.770.999 ; 76.192 ; 29.697.518.631 ; 943 ; 7.554.628.396 ; 1.039 ; 9.434.639.251 ; 1.982 ; 16.989.267.647 ; 78.174 ; 46.686.786.278 ;
2;33.172.537;BANCO J.P. MORGAN S.A.; 373 ; 702.704.332 ; 2.964 ; 764.168.318 ; 1.298 ; 8.159.664.590 ; 2.316 ; 9.228.641.438 ; 6.951 ; 18.855.178.678 ; 334 ; 7.347.812.785 ; 400 ; 7.643.917.767 ; 734 ; 14.991.730.552 ; 7.685 ; 33.846.909.230 ;
3;33.479.023;BANCO CITIBANK S.A.; 1.559 ; 1.437.929.454 ; 8.941 ; 1.702.525.199 ; 9.496 ; 11.075.285.325 ; 10.437 ; 11.310.123.390 ; 30.433 ; 25.525.863.367 ; 356 ; 4.545.728.625 ; 295 ; 2.856.041.064 ; 651 ; 7.401.769.689 ; 31.084 ; 32.927.633.056 ;
4;60.701.190;ITAÚ UNIBANCO S.A.; 10.286 ; 2.287.926.517 ; 25.282 ; 3.111.529.667 ; 35.773 ; 4.755.915.667 ; 30.175 ; 4.766.191.308 ; 101.516 ; 14.921.563.160 ; 502 ; 7.468.903.159 ; 454 ; 5.433.901.970 ; 956 ; 12.902.805.129 ; 102.472 ; 27.824.368.289 ;
5;60.746.948;BANCO BRADESCO S.A.; 7.209 ; 4.036.848.179 ; 14.676 ; 1.693.956.883 ; 30.939 ; 2.802.789.710 ; 14.585 ; 3.608.256.111 ; 67.409 ; 12.141.850.884 ; 512 ; 3.911.209.472 ; 549 ; 4.046.211.454 ; 1.061 ; 7.957.420.927 ; 68.470 ; 20.099.271.810 ;
6;00.000.000;BANCO DO BRASIL S.A.; 9.793 ; 4.285.885.574 ; 15.031 ; 2.470.108.905 ; 98.290 ; 1.105.975.469 ; 15.405 ; 1.583.463.990 ; 138.519 ; 9.445.433.938 ; 315 ; 1.671.041.140 ; 331 ; 2.939.570.892 ; 646 ; 4.610.612.032 ; 139.165 ; 14.056.045.970 ;
7;30.306.294;BANCO BTG PACTUAL S.A.; 152 ; 477.911.906 ; 777 ; 123.235.005 ; 1.184 ; 807.483.275 ; 2.124 ; 941.420.312 ; 4.237 ; 2.350.050.498 ; 127 ; 5.339.279.819 ; 234 ; 6.326.506.034 ; 361 ; 11.665.785.853 ; 4.598 ; 14.015.836.351 ;
8;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 2 ; 6.133.343 ; 1 ; 180.744 ; 3 ; 6.314.086 ; 9 ; 4.759.354.761 ; 44 ; 8.315.000.000 ; 53 ; 13.074.354.761 ; 56 ; 13.080.668.848 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 210 ; 311.736.916 ; 1.480 ; 549.120.874 ; 1.045 ; 1.730.869.046 ; 2.668 ; 1.759.012.757 ; 5.403 ; 4.350.739.593 ; 943 ; 3.641.248.622 ; 943 ; 3.588.875.572 ; 1.886 ; 7.230.124.194 ; 7.289 ; 11.580.863.787 ;
