Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Abr/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 25.971 ; 15.617.779.365 ; 74.232 ; 13.699.687.643 ; 80.512 ; 25.948.684.514 ; 96.226 ; 23.139.257.381 ; 276.941 ; 78.405.408.904 ; 5.533 ; 30.520.460.134 ; 5.497 ; 29.095.989.875 ; 11.030 ; 59.616.450.009 ; 287.971 ; 138.021.858.913 ;
2;33.479.023;BANCO CITIBANK S.A.; 5.375 ; 7.507.338.191 ; 33.266 ; 9.169.202.174 ; 32.507 ; 37.803.969.879 ; 36.789 ; 34.518.999.678 ; 107.937 ; 88.999.509.922 ; 1.086 ; 10.804.731.508 ; 1.119 ; 10.845.854.614 ; 2.205 ; 21.650.586.122 ; 110.142 ; 110.650.096.045 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 34.306 ; 9.989.152.810 ; 94.995 ; 12.334.327.440 ; 123.583 ; 15.349.144.622 ; 106.373 ; 15.984.635.440 ; 359.257 ; 53.657.260.312 ; 1.484 ; 23.093.957.233 ; 1.471 ; 18.230.834.615 ; 2.955 ; 41.324.791.848 ; 362.212 ; 94.982.052.160 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 1.258 ; 2.998.889.703 ; 11.322 ; 2.896.073.761 ; 4.971 ; 23.126.206.129 ; 8.352 ; 23.783.800.430 ; 25.903 ; 52.804.970.024 ; 1.161 ; 20.987.275.707 ; 1.266 ; 16.762.459.637 ; 2.427 ; 37.749.735.344 ; 28.330 ; 90.554.705.368 ;
5;60.746.948;BANCO BRADESCO S.A.; 24.300 ; 11.920.327.057 ; 56.467 ; 6.451.065.261 ; 114.495 ; 9.106.799.130 ; 51.675 ; 10.210.062.367 ; 246.937 ; 37.688.253.816 ; 1.863 ; 10.871.670.468 ; 1.953 ; 12.862.842.354 ; 3.816 ; 23.734.512.822 ; 250.753 ; 61.422.766.638 ;
6;00.000.000;BANCO DO BRASIL S.A.; 32.154 ; 10.559.681.033 ; 52.598 ; 7.533.993.658 ; 162.871 ; 4.365.762.883 ; 53.739 ; 6.777.371.651 ; 301.362 ; 29.236.809.226 ; 1.064 ; 7.153.410.784 ; 1.073 ; 5.946.168.227 ; 2.137 ; 13.099.579.011 ; 303.499 ; 42.336.388.237 ;
7;30.306.294;BANCO BTG PACTUAL S.A.; 488 ; 1.545.531.284 ; 2.828 ; 482.057.437 ; 4.007 ; 2.723.002.410 ; 7.646 ; 3.551.862.708 ; 14.969 ; 8.302.453.838 ; 501 ; 13.589.271.266 ; 591 ; 12.191.555.199 ; 1.092 ; 25.780.826.465 ; 16.061 ; 34.083.280.303 ;
8;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 625 ; 3.013.943.267 ; 2.612 ; 959.674.783 ; 1.766 ; 10.887.016.193 ; 2.216 ; 8.334.917.245 ; 7.219 ; 23.195.551.488 ; 726 ; 2.954.619.509 ; 484 ; 7.462.127.753 ; 1.210 ; 10.416.747.262 ; 8.429 ; 33.612.298.751 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 701 ; 1.123.258.665 ; 5.039 ; 1.514.937.580 ; 3.509 ; 5.452.135.610 ; 8.216 ; 4.372.700.672 ; 17.465 ; 12.463.032.526 ; 3.451 ; 8.742.208.471 ; 3.460 ; 9.038.834.867 ; 6.911 ; 17.781.043.338 ; 24.376 ; 30.244.075.865 ;
10;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 8 ; 18.412.759 ; 10 ; 9.937.261 ; 18 ; 28.350.020 ; 14 ; 6.911.349.144 ; 71 ; 13.545.000.000 ; 85 ; 20.456.349.144 ; 103 ; 20.484.699.165 ;
11;03.532.415;BANCO ABN AMRO S.A.;;; 6 ; 1.834.963 ; 679 ; 8.847.526.019 ; 763 ; 8.867.935.457 ; 1.448 ; 17.717.296.438 ; 34 ; 441.026.034 ; 32 ; 405.028.649 ; 66 ; 846.054.682 ; 1.514 ; 18.563.351.121 ;
12;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 29 ; 271.981.063 ; 41 ; 16.765.390 ; 90 ; 660.695.313 ; 210 ; 383.629.778 ; 370 ; 1.333.071.543 ; 442 ; 8.150.542.720 ; 473 ; 8.703.792.839 ; 915 ; 16.854.335.559 ; 1.285 ; 18.187.407.102 ;
13;60.498.557;BANCO MUFG BRASIL S.A.; 451 ; 165.555.294 ; 1.759 ; 316.447.106 ; 1.127 ; 965.090.717 ; 1.532 ; 1.036.429.434 ; 4.869 ; 2.483.522.552 ; 2.858 ; 7.653.927.570 ; 2.920 ; 7.076.041.913 ; 5.778 ; 14.729.969.483 ; 10.647 ; 17.213.492.035 ;
14;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 964 ; 5.154.915.119 ; 1.127 ; 4.812.219.359 ; 2.091 ; 9.967.134.478 ; 161 ; 3.496.103.499 ; 176 ; 3.641.050.735 ; 337 ; 7.137.154.235 ; 2.428 ; 17.104.288.713 ;
15;02.801.938;BANCO MORGAN STANLEY S.A.; 2 ; 105.800.000 ;;; 1.997 ; 4.594.726.994 ; 1.887 ; 5.742.674.417 ; 3.886 ; 10.443.201.411 ; 119 ; 3.758.478.505 ; 91 ; 2.540.729.241 ; 210 ; 6.299.207.746 ; 4.096 ; 16.742.409.157 ;
16;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 242 ; 503.472.047 ; 1.040 ; 406.826.724 ; 497 ; 1.430.279.820 ; 1.173 ; 2.093.874.922 ; 2.952 ; 4.434.453.513 ; 560 ; 5.565.756.686 ; 704 ; 4.799.191.915 ; 1.264 ; 10.364.948.602 ; 4.216 ; 14.799.402.115 ;
17;59.588.111;BANCO VOTORANTIM S.A.; 811 ; 1.051.022.376 ; 3.490 ; 638.600.119 ; 893 ; 1.092.944.997 ; 2.225 ; 1.442.039.769 ; 7.419 ; 4.224.607.262 ; 721 ; 2.980.277.612 ; 1.441 ; 4.045.130.135 ; 2.162 ; 7.025.407.747 ; 9.581 ; 11.250.015.009 ;
18;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 390 ; 893.838.697 ; 749 ; 390.835.612 ; 1.146 ; 1.402.955.470 ; 1.363 ; 1.484.861.664 ; 3.648 ; 4.172.491.442 ; 468 ; 3.035.095.311 ; 596 ; 3.168.036.975 ; 1.064 ; 6.203.132.287 ; 4.712 ; 10.375.623.729 ;
19;28.195.667;BANCO ABC BRASIL S.A.; 520 ; 469.941.849 ; 1.623 ; 201.166.336 ; 555 ; 604.594.850 ; 1.303 ; 633.286.510 ; 4.001 ; 1.908.989.545 ; 733 ; 2.249.978.147 ; 1.520 ; 3.153.383.446 ; 2.253 ; 5.403.361.593 ; 6.254 ; 7.312.351.138 ;
20;53.518.684;BANCO HSBC S.A.; 57 ; 794.860.909 ; 635 ; 159.943.060 ; 193 ; 429.480.337 ; 601 ; 1.648.947.936 ; 1.486 ; 3.033.232.242 ; 448 ; 2.451.554.785 ; 488 ; 1.736.024.412 ; 936 ; 4.187.579.197 ; 2.422 ; 7.220.811.439 ;
21;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; 3 ; 457.241 ; 1 ; 1.500.000 ; 715 ; 1.791.152.362 ; 890 ; 1.819.017.706 ; 1.609 ; 3.612.127.309 ; 41 ; 1.252.109.903 ; 55 ; 1.378.074.231 ; 96 ; 2.630.184.133 ; 1.705 ; 6.242.311.443 ;
22;49.336.860;ING BANK N.V.; 38 ; 149.400.064 ;;; 73 ; 9.704.193 ; 157 ; 50.732.486 ; 268 ; 209.836.743 ; 77 ; 2.564.303.177 ; 89 ; 2.834.503.745 ; 166 ; 5.398.806.922 ; 434 ; 5.608.643.664 ;
23;31.872.495;BANCO C6 S.A.; 97 ; 90.741.012 ; 592 ; 338.835.793 ; 2.047 ; 581.642.940 ; 17.556 ; 840.460.509 ; 20.292 ; 1.851.680.254 ; 396 ; 1.948.972.703 ; 654 ; 1.433.226.343 ; 1.050 ; 3.382.199.046 ; 21.342 ; 5.233.879.300 ;
24;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 409 ; 21.291.284 ; 2.852 ; 123.359.149 ; 1.037 ; 246.177.316 ; 138.607 ; 200.928.571 ; 142.905 ; 591.756.320 ; 1.302 ; 2.177.937.376 ; 1.812 ; 2.119.670.707 ; 3.114 ; 4.297.608.083 ; 146.019 ; 4.889.364.403 ;
25;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 39 ; 160.237.725 ; 83 ; 150.566.149 ; 77 ; 1.104.634.274 ; 486 ; 1.064.789.683 ; 685 ; 2.480.227.831 ; 61 ; 1.129.885.761 ; 68 ; 1.277.312.737 ; 129 ; 2.407.198.498 ; 814 ; 4.887.426.329 ;
