Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em ABRIL / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 6.255 ; 3.026.576.287 ; 19.627 ; 2.388.977.246 ; 20.861 ; 3.529.474.159 ; 25.433 ; 3.709.863.119 ; 72.176 ; 12.654.890.811 ; 1.435 ; 6.735.361.340 ; 1.419 ; 6.270.181.670 ; 2.854 ; 13.005.543.010 ; 75.030 ; 25.660.433.821 ;
2;33.479.023;BANCO CITIBANK S.A.; 1.364 ; 1.188.485.420 ; 8.495 ; 1.787.572.990 ; 7.637 ; 8.134.590.148 ; 8.947 ; 6.115.639.781 ; 26.443 ; 17.226.288.339 ; 283 ; 1.873.233.722 ; 347 ; 4.032.024.370 ; 630 ; 5.905.258.092 ; 27.073 ; 23.131.546.432 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 8.006 ; 2.605.941.709 ; 26.354 ; 3.245.576.623 ; 29.694 ; 3.339.301.265 ; 28.733 ; 4.179.875.679 ; 92.787 ; 13.370.695.276 ; 311 ; 5.179.308.326 ; 332 ; 4.223.044.012 ; 643 ; 9.402.352.338 ; 93.430 ; 22.773.047.614 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 329 ; 750.392.772 ; 3.075 ; 601.979.837 ; 1.277 ; 4.994.991.163 ; 1.960 ; 6.132.059.883 ; 6.641 ; 12.479.423.655 ; 343 ; 7.394.489.612 ; 297 ; 2.506.467.102 ; 640 ; 9.900.956.714 ; 7.281 ; 22.380.380.370 ;
5;60.746.948;BANCO BRADESCO S.A.; 5.746 ; 4.719.083.051 ; 14.862 ; 1.788.836.303 ; 29.519 ; 2.500.519.409 ; 13.273 ; 2.614.392.848 ; 63.400 ; 11.622.831.610 ; 438 ; 1.935.720.719 ; 542 ; 5.192.274.604 ; 980 ; 7.127.995.324 ; 64.380 ; 18.750.826.934 ;
6;00.000.000;BANCO DO BRASIL S.A.; 7.440 ; 2.699.553.357 ; 14.363 ; 2.202.200.672 ; 18.679 ; 928.591.486 ; 15.277 ; 1.589.907.007 ; 55.759 ; 7.420.252.522 ; 263 ; 1.409.818.140 ; 276 ; 1.749.573.835 ; 539 ; 3.159.391.976 ; 56.298 ; 10.579.644.498 ;
7;30.306.294;BANCO BTG PACTUAL S.A.; 139 ; 598.434.302 ; 928 ; 163.321.211 ; 938 ; 495.885.268 ; 2.119 ; 1.300.770.016 ; 4.124 ; 2.558.410.797 ; 164 ; 3.444.072.349 ; 155 ; 1.514.086.184 ; 319 ; 4.958.158.533 ; 4.443 ; 7.516.569.330 ;
8;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 139 ; 802.483.720 ; 872 ; 263.728.142 ; 480 ; 2.328.055.338 ; 570 ; 1.601.347.715 ; 2.061 ; 4.995.614.915 ; 180 ; 397.961.554 ; 138 ; 1.670.829.211 ; 318 ; 2.068.790.765 ; 2.379 ; 7.064.405.680 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 142 ; 417.850.761 ; 1.211 ; 337.577.837 ; 883 ; 1.298.948.354 ; 2.230 ; 1.098.428.179 ; 4.466 ; 3.152.805.131 ; 964 ; 1.709.383.090 ; 940 ; 1.233.701.760 ; 1.904 ; 2.943.084.850 ; 6.370 ; 6.095.889.981 ;
