Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mai/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 32.287 ; 18.560.401.035 ; 93.774 ; 15.928.231.115 ; 99.587 ; 30.963.602.867 ; 123.178 ; 30.402.622.065 ; 348.826 ; 95.854.857.081 ; 7.813 ; 38.012.086.139 ; 7.728 ; 34.881.257.818 ; 15.541 ; 72.893.343.957 ; 364.367 ; 168.748.201.038 ;
2;33.479.023;BANCO CITIBANK S.A.; 6.651 ; 8.450.794.832 ; 42.198 ; 11.083.718.213 ; 40.141 ; 47.750.167.600 ; 46.608 ; 41.760.633.419 ; 135.598 ; 109.045.314.064 ; 1.363 ; 12.720.756.927 ; 1.436 ; 14.006.646.374 ; 2.799 ; 26.727.403.302 ; 138.397 ; 135.772.717.365 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 42.795 ; 13.505.055.399 ; 119.795 ; 15.604.343.031 ; 154.045 ; 17.395.457.548 ; 136.645 ; 20.473.131.728 ; 453.280 ; 66.977.987.706 ; 1.934 ; 28.710.032.997 ; 1.864 ; 22.008.945.529 ; 3.798 ; 50.718.978.526 ; 457.078 ; 117.696.966.232 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 1.567 ; 3.828.388.224 ; 14.027 ; 3.628.738.687 ; 6.107 ; 26.717.983.603 ; 10.422 ; 27.074.017.659 ; 32.123 ; 61.249.128.173 ; 1.382 ; 23.079.623.335 ; 1.630 ; 21.089.631.405 ; 3.012 ; 44.169.254.740 ; 35.135 ; 105.418.382.913 ;
5;60.746.948;BANCO BRADESCO S.A.; 30.406 ; 15.810.557.582 ; 70.779 ; 8.207.812.183 ; 140.749 ; 10.481.855.258 ; 64.988 ; 12.445.306.279 ; 306.922 ; 46.945.531.302 ; 2.262 ; 12.878.451.090 ; 2.365 ; 15.531.596.423 ; 4.627 ; 28.410.047.513 ; 311.549 ; 75.355.578.815 ;
6;00.000.000;BANCO DO BRASIL S.A.; 40.306 ; 13.486.447.335 ; 67.478 ; 9.811.107.782 ; 182.270 ; 5.120.383.039 ; 70.111 ; 8.653.640.728 ; 360.165 ; 37.071.578.883 ; 1.290 ; 8.074.904.483 ; 1.303 ; 6.900.439.622 ; 2.593 ; 14.975.344.106 ; 362.758 ; 52.046.922.989 ;
7;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 790 ; 3.789.317.035 ; 3.221 ; 1.278.597.555 ; 2.217 ; 12.659.523.699 ; 2.880 ; 10.796.249.523 ; 9.108 ; 28.523.687.812 ; 904 ; 4.003.660.679 ; 583 ; 8.316.630.004 ; 1.487 ; 12.320.290.683 ; 10.595 ; 40.843.978.495 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 621 ; 2.043.822.960 ; 3.650 ; 623.533.795 ; 5.009 ; 3.716.633.899 ; 9.859 ; 4.706.200.899 ; 19.139 ; 11.090.191.554 ; 649 ; 15.402.598.795 ; 837 ; 14.102.705.797 ; 1.486 ; 29.505.304.593 ; 20.625 ; 40.595.496.147 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 863 ; 1.284.928.102 ; 6.221 ; 1.958.065.293 ; 4.391 ; 6.615.657.131 ; 10.409 ; 5.658.305.284 ; 21.884 ; 15.516.955.809 ; 4.310 ; 11.065.748.407 ; 4.311 ; 10.962.688.620 ; 8.621 ; 22.028.437.027 ; 30.505 ; 37.545.392.836 ;
10;03.532.415;BANCO ABN AMRO S.A.;;; 7 ; 2.749.838 ; 866 ; 11.713.075.961 ; 994 ; 11.730.364.557 ; 1.867 ; 23.446.190.356 ; 47 ; 674.019.734 ; 40 ; 561.518.498 ; 87 ; 1.235.538.232 ; 1.954 ; 24.681.728.588 ;
