Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MAIO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 6.317 ; 2.942.578.415 ; 19.546 ; 2.228.592.530 ; 19.076 ; 5.014.918.361 ; 26.956 ; 7.263.531.210 ; 71.895 ; 17.449.620.516 ; 2.280 ; 7.491.626.005 ; 2.231 ; 5.785.267.943 ; 4.511 ; 13.276.893.948 ; 76.406 ; 30.726.514.464 ;
2;33.479.023;BANCO CITIBANK S.A.; 1.276 ; 943.456.640 ; 8.933 ; 1.914.579.028 ; 7.635 ; 9.946.260.611 ; 9.819 ; 7.241.633.741 ; 27.663 ; 20.045.930.020 ; 277 ; 1.916.025.419 ; 317 ; 3.160.791.761 ; 594 ; 5.076.817.180 ; 28.257 ; 25.122.747.200 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 8.489 ; 3.519.401.066 ; 24.807 ; 3.271.829.817 ; 30.461 ; 2.042.815.677 ; 30.259 ; 4.486.151.575 ; 94.016 ; 13.320.198.135 ; 450 ; 5.616.075.764 ; 393 ; 3.778.110.914 ; 843 ; 9.394.186.678 ; 94.859 ; 22.714.384.814 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 310 ; 829.783.521 ; 2.705 ; 732.664.926 ; 1.135 ; 3.591.492.473 ; 2.070 ; 3.290.217.229 ; 6.220 ; 8.444.158.149 ; 221 ; 2.092.347.628 ; 364 ; 4.327.171.768 ; 585 ; 6.419.519.396 ; 6.805 ; 14.863.677.545 ;
5;60.746.948;BANCO BRADESCO S.A.; 6.106 ; 3.890.230.705 ; 14.314 ; 1.757.089.455 ; 26.259 ; 1.375.296.166 ; 13.312 ; 2.235.394.907 ; 59.991 ; 9.258.011.233 ; 399 ; 2.006.780.622 ; 412 ; 2.668.754.069 ; 811 ; 4.675.534.691 ; 60.802 ; 13.933.545.924 ;
6;00.000.000;BANCO DO BRASIL S.A.; 8.152 ; 2.926.766.302 ; 14.882 ; 2.278.414.171 ; 19.399 ; 754.620.155 ; 16.379 ; 1.876.650.977 ; 58.812 ; 7.836.451.606 ; 226 ; 921.493.699 ; 230 ; 954.271.395 ; 456 ; 1.875.765.094 ; 59.268 ; 9.712.216.700 ;
7;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 162 ; 161.669.437 ; 1.182 ; 443.187.635 ; 882 ; 1.163.521.521 ; 2.192 ; 1.285.544.690 ; 4.418 ; 3.053.923.283 ; 859 ; 2.323.539.936 ; 851 ; 1.923.853.752 ; 1.710 ; 4.247.393.689 ; 6.128 ; 7.301.316.972 ;
8;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 165 ; 775.373.768 ; 609 ; 318.922.772 ; 451 ; 1.772.507.506 ; 664 ; 2.461.332.278 ; 1.889 ; 5.328.136.324 ; 178 ; 1.049.041.170 ; 99 ; 854.502.250 ; 277 ; 1.903.543.420 ; 2.166 ; 7.231.679.744 ;
9;30.306.294;BANCO BTG PACTUAL S.A.; 133 ; 498.291.677 ; 823 ; 141.486.111 ; 1.002 ; 993.631.490 ; 2.209 ; 1.154.328.439 ; 4.167 ; 2.787.737.716 ; 148 ; 1.813.327.529 ; 246 ; 1.911.150.598 ; 394 ; 3.724.478.128 ; 4.561 ; 6.512.215.844 ;
