Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jun/2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;39.258;22.027.102.883;113.821;18.845.626.376;121.720;34.680.751.907;153.902;35.899.566.580;428.701;111.453.047.745;9.701;46.001.501.079;9.599;42.261.583.751;19.300;88.263.084.830;448.001;199.716.132.575
2;33.479.023;BANCO CITIBANK S.A.;8.012;9.672.301.795;51.453;13.008.048.222;48.600;58.862.673.318;56.127;49.789.677.982;164.192;131.332.701.316;1.735;14.878.581.276;1.859;19.148.803.485;3.594;34.027.384.760;167.786;165.360.086.077
3;60.701.190;ITAÚ UNIBANCO S.A.;51.952;16.201.240.207;146.324;18.860.597.040;185.070;20.327.656.730;170.851;24.944.018.234;554.197;80.333.512.211;2.401;35.678.584.245;2.273;26.327.298.311;4.674;62.005.882.556;558.871;142.339.394.766
4;33.172.537;BANCO J.P. MORGAN S.A.;1.941;4.674.716.370;16.499;4.452.522.738;7.385;30.953.136.432;12.605;30.815.707.756;38.430;70.896.083.296;1.713;29.240.156.391;1.998;26.539.926.196;3.711;55.780.082.587;42.141;126.676.165.882
5;60.746.948;BANCO BRADESCO S.A.;36.772;19.681.122.636;85.206;9.951.901.339;169.677;12.290.058.177;80.558;15.814.727.636;372.213;57.737.809.788;2.682;15.087.973.214;2.806;18.295.164.002;5.488;33.383.137.216;377.701;91.120.947.005
6;00.000.000;BANCO DO BRASIL S.A.;49.220;16.572.403.729;83.866;12.615.851.623;226.287;9.446.372.264;89.665;12.341.688.767;449.038;50.976.316.383;1.578;10.963.945.681;1.581;9.203.674.154;3.159;20.167.619.835;452.197;71.143.936.217
7;30.306.294;BANCO BTG PACTUAL S.A.;799;2.533.031.364;4.491;806.953.052;5.973;4.328.810.306;12.756;6.185.673.035;24.019;13.854.467.758;902;20.724.497.918;1.149;17.844.858.198;2.051;38.569.356.116;26.070;52.423.823.873
8;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;958;4.865.986.170;3.950;1.562.766.315;2.766;15.484.433.024;3.601;13.169.221.867;11.275;35.082.407.375;1.114;5.432.577.364;780;11.028.443.615;1.894;16.461.020.980;13.169;51.543.428.355
9;1.522.368;BANCO BNP PARIBAS BRASIL S.A.;1.055;1.447.922.762;7.557;2.262.917.332;5.360;8.321.471.199;12.612;6.971.619.406;26.584;19.003.930.698;5.184;12.327.581.505;5.181;12.328.563.713;10.365;24.656.145.218;36.949;43.660.075.916
