Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jul/2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;46.320;25.547.402.214;132.443;21.292.814.442;142.448;39.456.117.183;180.911;39.579.705.649;502.122;125.876.039.488;11.092;53.356.822.677;11.005;50.492.878.692;22.097;103.849.701.369;524.219;229.725.740.857
2;33.479.023;BANCO CITIBANK S.A.;9.462;10.764.215.149;61.130;14.749.854.459;56.353;67.286.044.037;65.430;58.474.160.878;192.375;151.274.274.524;2.109;17.761.702.042;2.210;20.865.039.417;4.319;38.626.741.459;196.694;189.901.015.983
3;60.701.190;ITAÚ UNIBANCO S.A.;62.293;19.464.454.109;171.035;22.317.152.841;217.849;22.994.339.350;199.243;28.561.012.396;650.420;93.336.958.696;2.795;39.548.816.615;2.637;29.407.871.537;5.432;68.956.688.151;655.852;162.293.646.847
4;33.172.537;BANCO J.P. MORGAN S.A.;2.255;5.180.691.631;19.311;5.665.338.611;8.608;34.233.212.550;14.966;34.603.096.092;45.140;79.682.338.884;2.077;35.907.887.244;2.332;29.697.121.646;4.409;65.605.008.889;49.549;145.287.347.773
5;60.746.948;BANCO BRADESCO S.A.;43.498;22.867.934.445;98.019;11.680.574.076;197.329;14.509.802.934;94.252;18.235.063.320;433.098;67.293.374.776;3.105;16.198.864.946;3.273;21.440.408.624;6.378;37.639.273.570;439.476;104.932.648.346
6;00.000.000;BANCO DO BRASIL S.A.;58.698;19.715.071.685;98.523;14.932.167.815;248.666;12.947.388.695;105.409;15.875.678.789;511.296;63.470.306.984;1.800;11.989.798.943;1.826;12.215.078.920;3.626;24.204.877.863;514.922;87.675.184.847
7;30.306.294;BANCO BTG PACTUAL S.A.;979;2.962.808.263;5.373;1.044.371.752;7.326;5.856.206.506;14.960;7.506.051.081;28.638;17.369.437.602;1.080;23.354.432.402;1.461;20.328.879.283;2.541;43.683.311.685;31.179;61.052.749.287
8;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;1.119;5.927.923.768;4.734;1.898.335.670;3.222;16.866.635.811;4.306;15.104.498.911;13.381;39.797.394.159;1.298;6.297.185.545;882;11.875.603.620;2.180;18.172.789.165;15.561;57.970.183.324
9;1.522.368;BANCO BNP PARIBAS BRASIL S.A.;1.250;2.024.230.834;8.845;2.711.016.414;6.215;9.254.395.197;14.630;7.829.349.667;30.940;21.818.992.112;6.057;13.363.693.625;6.041;13.485.498.367;12.098;26.849.191.991;43.038;48.668.184.103
