Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JULHO / 2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.;7.063;3.520.711.498;18.631;2.449.045.041;20.728;4.776.126.306;27.014;3.680.562.089;73.436;14.426.444.934;1.391;7.355.321.598;1.406;8.231.294.941;2.797;15.586.616.539;76.233;30.013.061.473
2;33.479.023;BANCO CITIBANK S.A.;1.450;1.091.913.355;9.677;1.741.786.361;7.754;8.423.428.589;9.302;8.684.481.536;28.183;19.941.609.841;374;2.883.120.766;351;1.716.235.932;725;4.599.356.698;28.908;24.540.966.539
3;60.701.190;ITAÚ UNIBANCO S.A.;10.342;3.263.464.970;24.726;3.459.140.252;32.775;2.666.432.620;28.378;3.616.198.281;96.221;13.005.236.123;394;3.870.232.370;364;3.080.573.226;758;6.950.805.596;96.979;19.956.041.719
4;33.172.537;BANCO J.P. MORGAN S.A.;314;505.975.261;2.813;1.212.867.166;1.224;3.280.127.411;2.361;3.787.388.336;6.712;8.786.358.174;364;6.667.730.853;334;3.157.195.450;698;9.824.926.303;7.410;18.611.284.477
5;00.000.000;BANCO DO BRASIL S.A.;9.478;3.142.685.531;14.660;2.316.712.279;22.380;3.500.999.263;15.742;3.533.710.885;62.260;12.494.107.958;222;1.025.853.262;245;3.011.404.766;467;4.037.258.028;62.727;16.531.365.986
6;60.746.948;BANCO BRADESCO S.A.;6.727;3.186.825.843;12.814;1.728.644.770;27.656;2.219.785.287;13.713;2.420.377.342;60.910;9.555.633.242;423;1.110.891.732;467;3.145.244.622;890;4.256.136.353;61.800;13.811.769.595
7;30.306.294;BANCO BTG PACTUAL S.A.;180;429.776.898;882;237.418.700;1.353;1.527.396.200;2.204;1.320.378.046;4.619;3.514.969.844;178;2.629.934.484;312;2.484.021.085;490;5.113.955.570;5.109;8.628.925.414
8;3.532.415;BANCO ABN AMRO S.A.;;;1;12.566;189;3.305.402.673;222;3.201.208.237;412;6.506.623.477;10;239.000.000;17;352.000.000;27;591.000.000;439;7.097.623.477
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;161;1.061.937.598;784;335.569.354;456;1.382.202.787;705;1.935.277.044;2.106;4.714.986.783;184;864.608.181;102;847.160.005;286;1.711.768.185;2.392;6.426.754.969
10;1.522.368;BANCO BNP PARIBAS BRASIL S.A.;195;576.308.072;1.288;448.099.082;856;932.971.033;2.018;857.730.261;4.357;2.815.108.449;873;1.036.112.119;860;1.156.934.654;1.733;2.193.046.773;6.090;5.008.155.222
11;4.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;;262;1.019.427.766;207;2.147.350.765;469;3.166.778.531;47;1.203.974.482;25;229.461.095;72;1.433.435.576;541;4.600.214.107
12;28.195.667;BANCO ABC BRASIL S.A.;180;248.535.980;519;86.219.374;80;441.374.042;428;454.043.382;1.207;1.230.172.778;174;1.188.844.646;283;1.887.837.557;457;3.076.682.203;1.664;4.306.854.981
13;60.498.557;BANCO MUFG BRASIL S.A.;107;32.693.761;273;36.478.622;273;51.869.507;366;201.867.778;1.019;322.909.669;514;1.775.567.133;525;1.621.472.350;1.039;3.397.039.483;2.058;3.719.949.152
14;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.;86;174.722.932;497;169.729.693;151;502.726.666;266;508.457.500;1.000;1.355.636.791;287;775.903.457;358;972.191.645;645;1.748.095.102;1.645;3.103.731.892
15;2.801.938;BANCO MORGAN STANLEY S.A.;;;;;316;895.187.032;354;972.766.494;670;1.867.953.526;29;614.253.534;19;503.252.931;48;1.117.506.465;718;2.985.459.991
16;59.588.111;BANCO VOTORANTIM S.A.;255;196.571.917;709;129.219.489;234;511.893.674;582;322.721.792;1.780;1.160.406.871;231;402.451.805;491;1.389.241.470;722;1.791.693.275;2.502;2.952.100.146
17;9.274.232;STATE STREET BRASIL S.A. – BANCO COMERCIAL;;;;;76;1.270.100.171;83;1.211.061.879;159;2.481.162.050;13;71.958.646;18;130.959.616;31;202.918.262;190;2.684.080.313
18;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;739;121.636.871;1.952;74.914.002;2.198;245.712.709;5.855;760.124.800;10.744;1.202.388.383;1.430;671.771.670;4.183;183.270.183;5.613;855.041.853;16.357;2.057.430.236
19;53.518.684;BANCO HSBC S.A.;9;82.707.444;154;46.521.464;67;141.267.202;132;175.854.125;362;446.350.235;146;642.930.140;168;584.524.448;314;1.227.454.588;676;1.673.804.824
20;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;12;15.842.040;1;552.807;30;42.551.507;41;91.798.398;84;150.744.751;94;777.080.470;95;743.032.312;189;1.520.112.782;273;1.670.857.533
21;58.160.789;BANCO SAFRA S.A.;288;144.214.879;1.103;113.076.718;882;190.955.328;1.443;223.310.089;3.716;671.557.014;323;408.211.337;321;432.664.548;644;840.875.884;4.360;1.512.432.898
22;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;101;183.630.449;167;132.342.111;331;212.275.337;334;234.520.252;933;762.768.149;84;258.178.278;98;435.307.744;182;693.486.023;1.115;1.456.254.172
23;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;1;122.853;;;119;316.569.469;181;500.243.093;301;816.935.415;17;336.229.069;16;236.229.865;33;572.458.934;334;1.389.394.349
24;31.872.495;BANCO C6 S.A.;42;57.078.195;215;31.222.605;1.170;196.328.168;7.740;235.424.315;9.167;520.053.283;107;436.807.468;179;402.403.294;286;839.210.763;9.453;1.359.264.046
25;68.900.810;BANCO RENDIMENTO S.A.;65;6.552.265;195;67.519.309;274.184;477.199.568;2.795;81.271.638;277.239;632.542.780;1.440;126.673.306;6.728;497.855.815;8.168;624.529.121;285.407;1.257.071.901
26;19.307.785;MS BANK S.A. BANCO DE CÂMBIO;77;4.701.355;662;38.446.333;182;17.975.541;17.419;22.989.335;18.340;84.112.564;358;574.683.660;490;534.312.344;848;1.108.996.004;19.188;1.193.108.568
27;1.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;68;181.441.314;14;12.874.182;86;160.381.266;388;213.951.682;556;568.648.444;60;63.820.910;72;452.311.659;132;516.132.569;688;1.084.781.013
28;49.336.860;ING BANK N.V.;;;;;2;648.281;15;599.064;17;1.247.345;9;466.822.787;10;475.807.821;19;942.630.608;36;943.877.953
29;61.088.183;BANCO MIZUHO DO BRASIL S.A.;45;46.344.933;200;59.008.655;65;198.613.609;141;86.123.032;451;390.090.228;95;204.136.940;98;329.088.479;193;533.225.419;644;923.315.647
30;33.264.668;BANCO XP S.A.;224;282.106.573;1.745;188.559.886;564;144.946.004;1.692;269.198.900;4.225;884.811.364;7;9.296.435;9;23.735.562;16;33.031.997;4.241;917.843.360
31;78.632.767;BANCO OURINVEST S.A.;1.071;92.745.553;2.393;136.585.933;8.773;105.586.655;8.155;141.144.323;20.392;476.062.464;543;256.337.676;3.095;150.343.034;3.638;406.680.710;24.030;882.743.174
32;58.616.418;BANCO FIBRA S.A.;154;246.122.589;875;150.025.839;30;10.402.876;198;85.457.780;1.257;492.009.084;87;167.740.991;86;167.939.127;173;335.680.118;1.430;827.689.202
33;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;14;161.283.230;9;46.768.954;26;200.397.411;101;25.701.020;150;434.150.615;19;107.828.026;22;206.078.631;41;313.906.657;191;748.057.272
34;62.232.889;BANCO DAYCOVAL S.A.;596;100.797.919;1.163;93.401.786;72.806;128.123.946;1.620;71.558.444;76.185;393.882.095;269;139.235.061;659;202.434.477;928;341.669.537;77.113;735.551.632
