Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Ago/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 53.251 ; 28.212.969.729 ; 150.755 ; 24.081.630.106 ; 164.926 ; 44.273.053.688 ; 207.888 ; 43.087.355.854 ; 576.820 ; 139.655.009.377 ; 11.830 ; 59.433.457.947 ; 11.708 ; 56.383.585.904 ; 23.538 ; 115.817.043.850 ; 600.358 ; 255.472.053.227 ;
2;33.479.023;BANCO CITIBANK S.A.; 10.916 ; 12.558.547.918 ; 70.485 ; 16.722.085.195 ; 65.026 ; 75.562.439.037 ; 75.672 ; 65.696.456.388 ; 222.099 ; 170.539.528.539 ; 2.433 ; 19.315.879.805 ; 2.563 ; 23.115.847.745 ; 4.996 ; 42.431.727.551 ; 227.095 ; 212.971.256.089 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 72.157 ; 22.993.588.722 ; 197.664 ; 26.282.605.613 ; 251.340 ; 26.735.043.713 ; 229.109 ; 32.228.048.569 ; 750.270 ; 108.239.286.617 ; 3.166 ; 44.283.224.389 ; 2.977 ; 33.176.601.716 ; 6.143 ; 77.459.826.105 ; 756.413 ; 185.699.112.722 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 2.709 ; 5.805.337.057 ; 22.113 ; 6.590.334.542 ; 10.057 ; 37.743.852.891 ; 17.223 ; 39.900.502.048 ; 52.102 ; 90.040.026.538 ; 2.419 ; 41.046.215.493 ; 2.750 ; 32.962.275.450 ; 5.169 ; 74.008.490.943 ; 57.271 ; 164.048.517.482 ;
5;60.746.948;BANCO BRADESCO S.A.; 50.040 ; 25.264.583.577 ; 110.763 ; 13.466.269.070 ; 228.470 ; 16.570.533.202 ; 108.334 ; 20.088.736.546 ; 497.607 ; 75.390.122.396 ; 3.543 ; 18.802.218.615 ; 3.722 ; 24.903.047.806 ; 7.265 ; 43.705.266.422 ; 504.872 ; 119.095.388.817 ;
6;00.000.000;BANCO DO BRASIL S.A.; 67.702 ; 21.915.031.632 ; 113.646 ; 17.666.436.601 ; 275.668 ; 14.696.551.897 ; 121.295 ; 17.315.517.988 ; 578.311 ; 71.593.538.118 ; 2.037 ; 13.140.604.251 ; 2.070 ; 14.012.725.960 ; 4.107 ; 27.153.330.211 ; 582.418 ; 98.746.868.329 ;
7;30.306.294;BANCO BTG PACTUAL S.A.; 1.221 ; 4.304.703.866 ; 6.441 ; 1.642.232.140 ; 8.685 ; 6.978.964.575 ; 17.386 ; 8.457.359.237 ; 33.733 ; 21.383.259.818 ; 1.239 ; 25.530.970.382 ; 1.763 ; 22.621.299.749 ; 3.002 ; 48.152.270.131 ; 36.735 ; 69.535.529.950 ;
8;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 1.308 ; 7.511.780.042 ; 5.254 ; 2.218.739.532 ; 3.723 ; 19.394.532.874 ; 5.004 ; 17.691.441.586 ; 15.289 ; 46.816.494.033 ; 1.522 ; 7.106.577.379 ; 999 ; 13.553.016.487 ; 2.521 ; 20.659.593.866 ; 17.810 ; 67.476.087.900 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.443 ; 2.166.369.475 ; 9.989 ; 3.005.079.919 ; 7.257 ; 11.149.687.334 ; 16.732 ; 9.142.368.748 ; 35.421 ; 25.463.505.475 ; 6.771 ; 15.314.081.506 ; 6.767 ; 15.803.133.655 ; 13.538 ; 31.117.215.161 ; 48.959 ; 56.580.720.636 ;
10;03.532.415;BANCO ABN AMRO S.A.;;; 9 ; 2.793.069 ; 1.473 ; 22.086.779.749 ; 1.706 ; 21.866.891.789 ; 3.188 ; 43.956.464.607 ; 74 ; 1.244.050.181 ; 82 ; 1.417.548.990 ; 156 ; 2.661.599.171 ; 3.344 ; 46.618.063.778 ;
11;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 23 ; 15.057.979.269 ; 14 ; 13.813.500 ; 37 ; 15.071.792.769 ; 14 ; 6.911.349.144 ; 71 ; 13.545.000.000 ; 85 ; 20.456.349.144 ; 122 ; 35.528.141.913 ;
12;02.801.938;BANCO MORGAN STANLEY S.A.; 2 ; 105.800.000 ;;; 3.708 ; 10.931.922.737 ; 3.332 ; 10.009.755.892 ; 7.042 ; 21.047.478.630 ; 191 ; 6.183.711.221 ; 225 ; 7.004.962.301 ; 416 ; 13.188.673.522 ; 7.458 ; 34.236.152.151 ;
13;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 2.019 ; 10.751.976.317 ; 2.167 ; 10.133.233.668 ; 4.186 ; 20.885.209.986 ; 334 ; 5.867.849.359 ; 385 ; 6.601.443.300 ; 719 ; 12.469.292.658 ; 4.905 ; 33.354.502.644 ;
14;60.498.557;BANCO MUFG BRASIL S.A.; 924 ; 337.257.928 ; 3.342 ; 575.080.149 ; 2.220 ; 1.545.972.991 ; 3.050 ; 1.892.884.609 ; 9.536 ; 4.351.195.677 ; 5.267 ; 14.340.146.093 ; 5.372 ; 13.291.131.771 ; 10.639 ; 27.631.277.865 ; 20.175 ; 31.982.473.542 ;
15;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 671 ; 1.215.136.373 ; 3.332 ; 1.224.321.758 ; 1.038 ; 3.347.807.828 ; 2.412 ; 4.086.314.864 ; 7.453 ; 9.873.580.823 ; 1.820 ; 9.455.562.407 ; 2.137 ; 8.493.177.974 ; 3.957 ; 17.948.740.381 ; 11.410 ; 27.822.321.204 ;
16;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 55 ; 323.499.981 ; 58 ; 37.801.038 ; 177 ; 829.519.028 ; 440 ; 677.774.507 ; 730 ; 1.868.594.555 ; 830 ; 12.495.489.514 ; 871 ; 12.960.813.544 ; 1.701 ; 25.456.303.058 ; 2.431 ; 27.324.897.613 ;
17;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 804 ; 2.183.923.568 ; 1.544 ; 1.220.266.997 ; 2.423 ; 2.916.001.342 ; 2.749 ; 3.430.996.698 ; 7.520 ; 9.751.188.604 ; 921 ; 7.415.059.536 ; 1.133 ; 7.677.586.931 ; 2.054 ; 15.092.646.467 ; 9.574 ; 24.843.835.071 ;
18;59.588.111;BANCO VOTORANTIM S.A.; 1.732 ; 1.816.616.398 ; 6.489 ; 1.192.805.209 ; 1.686 ; 2.143.621.824 ; 4.696 ; 3.148.945.224 ; 14.603 ; 8.301.988.656 ; 1.634 ; 6.060.001.407 ; 3.308 ; 6.689.729.497 ; 4.942 ; 12.749.730.903 ; 19.545 ; 21.051.719.559 ;
