Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Set/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 60.495 ; 30.833.028.378 ; 167.276 ; 26.643.098.208 ; 186.996 ; 57.674.539.680 ; 235.022 ; 56.579.972.850 ; 649.789 ; 171.730.639.116 ; 12.841 ; 65.685.741.936 ; 12.681 ; 60.548.858.993 ; 25.522 ; 126.234.600.929 ; 675.311 ; 297.965.240.046 ;
2;33.479.023;BANCO CITIBANK S.A.; 12.479 ; 14.608.736.106 ; 78.488 ; 18.397.817.801 ; 75.090 ; 83.993.171.961 ; 87.174 ; 73.070.147.319 ; 253.231 ; 190.069.873.188 ; 2.722 ; 20.612.091.148 ; 2.894 ; 26.468.240.824 ; 5.616 ; 47.080.331.973 ; 258.847 ; 237.150.205.161 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 82.697 ; 26.470.058.525 ; 221.995 ; 29.833.765.826 ; 286.131 ; 30.551.851.415 ; 259.121 ; 36.803.497.882 ; 849.944 ; 123.659.173.649 ; 3.488 ; 48.840.543.048 ; 3.320 ; 36.890.010.246 ; 6.808 ; 85.730.553.294 ; 856.752 ; 209.389.726.943 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 3.113 ; 6.919.645.859 ; 24.846 ; 7.386.341.100 ; 11.390 ; 42.709.801.861 ; 19.209 ; 44.831.668.888 ; 58.558 ; 101.847.457.709 ; 2.746 ; 42.792.351.473 ; 3.271 ; 38.541.842.410 ; 6.017 ; 81.334.193.883 ; 64.575 ; 183.181.651.591 ;
5;60.746.948;BANCO BRADESCO S.A.; 56.603 ; 27.014.249.027 ; 122.698 ; 15.126.118.366 ; 255.671 ; 18.550.658.203 ; 122.423 ; 23.745.283.953 ; 557.395 ; 84.436.309.550 ; 3.976 ; 21.620.421.894 ; 4.111 ; 25.873.468.766 ; 8.087 ; 47.493.890.660 ; 565.482 ; 131.930.200.210 ;
6;00.000.000;BANCO DO BRASIL S.A.; 77.639 ; 25.047.836.115 ; 128.052 ; 20.450.346.948 ; 360.981 ; 15.445.520.611 ; 137.123 ; 18.468.943.016 ; 703.795 ; 79.412.646.691 ; 2.308 ; 14.273.152.572 ; 2.345 ; 14.737.940.922 ; 4.653 ; 29.011.093.494 ; 708.448 ; 108.423.740.184 ;
7;30.306.294;BANCO BTG PACTUAL S.A.; 1.466 ; 5.494.378.485 ; 7.430 ; 2.299.090.513 ; 10.067 ; 7.853.920.394 ; 19.612 ; 9.578.285.443 ; 38.575 ; 25.225.674.835 ; 1.399 ; 27.543.831.231 ; 2.087 ; 25.596.100.151 ; 3.486 ; 53.139.931.382 ; 42.061 ; 78.365.606.217 ;
8;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 1.461 ; 8.250.225.912 ; 5.716 ; 2.549.118.829 ; 4.239 ; 20.760.427.282 ; 5.711 ; 20.353.014.092 ; 17.127 ; 51.912.786.116 ; 1.746 ; 8.069.694.034 ; 1.080 ; 14.458.999.805 ; 2.826 ; 22.528.693.839 ; 19.953 ; 74.441.479.955 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 1.646 ; 2.421.440.060 ; 11.253 ; 3.362.339.468 ; 8.158 ; 12.192.581.779 ; 18.539 ; 9.957.764.463 ; 39.596 ; 27.934.125.769 ; 7.525 ; 18.573.860.307 ; 7.518 ; 19.193.907.081 ; 15.043 ; 37.767.767.388 ; 54.639 ; 65.701.893.157 ;
