Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 6.740 ; 2.021.671.539 ; 16.177 ; 2.918.620.748 ; 23.522 ; 3.467.126.071 ; 26.256 ; 3.391.252.896 ; 72.695 ; 11.798.671.254 ; 634 ; 7.114.258.328 ; 592 ; 6.197.279.401 ; 1.226 ; 13.311.537.729 ; 73.921 ; 25.110.208.983 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 9.993 ; 2.417.257.776 ; 24.746 ; 3.776.182.958 ; 35.568 ; 3.339.236.674 ; 28.868 ; 3.695.635.910 ; 99.175 ; 13.228.313.318 ; 357 ; 5.501.483.103 ; 302 ; 3.607.684.538 ; 659 ; 9.109.167.642 ; 99.834 ; 22.337.480.960 ;
3;33.479.023;BANCO CITIBANK S.A.; 1.446 ; 1.293.611.520 ; 8.605 ; 1.787.222.459 ; 9.196 ; 7.367.110.437 ; 10.755 ; 7.213.693.036 ; 30.002 ; 17.661.637.452 ; 333 ; 2.049.047.137 ; 303 ; 1.348.070.105 ; 636 ; 3.397.117.242 ; 30.638 ; 21.058.754.694 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 339 ; 460.931.715 ; 3.298 ; 997.162.746 ; 1.209 ; 4.781.350.109 ; 1.932 ; 4.771.464.474 ; 6.778 ; 11.010.909.045 ; 381 ; 4.658.143.707 ; 423 ; 2.424.489.893 ; 804 ; 7.082.633.600 ; 7.582 ; 18.093.542.645 ;
5;60.746.948;BANCO BRADESCO S.A.; 5.953 ; 2.149.564.082 ; 11.515 ; 1.708.948.981 ; 31.931 ; 2.616.357.370 ; 13.686 ; 1.922.802.018 ; 63.085 ; 8.397.672.451 ; 377 ; 1.161.286.617 ; 424 ; 2.818.703.828 ; 801 ; 3.979.990.444 ; 63.886 ; 12.377.662.896 ;
6;00.000.000;BANCO DO BRASIL S.A.; 9.706 ; 2.547.471.560 ; 13.374 ; 2.275.281.494 ; 23.957 ; 934.997.955 ; 16.026 ; 1.473.958.302 ; 63.063 ; 7.231.709.311 ; 261 ; 1.329.750.248 ; 262 ; 1.026.632.818 ; 523 ; 2.356.383.066 ; 63.586 ; 9.588.092.377 ;
7;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 126 ; 549.102.953 ; 470 ; 250.296.527 ; 566 ; 2.862.804.436 ; 632 ; 2.412.388.448 ; 1.794 ; 6.074.592.364 ; 240 ; 1.394.868.679 ; 100 ; 1.722.562.840 ; 340 ; 3.117.431.519 ; 2.134 ; 9.192.023.883 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 272 ; 759.686.890 ; 1.184 ; 1.117.645.157 ; 1.668 ; 1.207.519.937 ; 2.174 ; 1.215.094.502 ; 5.298 ; 4.299.946.486 ; 166 ; 2.495.612.345 ; 304 ; 2.192.465.446 ; 470 ; 4.688.077.791 ; 5.768 ; 8.988.024.277 ;
9;02.801.938;BANCO MORGAN STANLEY S.A.;;;;; 445 ; 860.537.334 ; 320 ; 992.662.645 ; 765 ; 1.853.199.979 ; 14 ; 3.512.086.627 ; 17 ; 3.437.092.427 ; 31 ; 6.949.179.054 ; 796 ; 8.802.379.033 ;
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 244 ; 415.819.929 ; 1.522 ; 372.857.176 ; 1.099 ; 1.957.060.463 ; 1.871 ; 646.821.175 ; 4.736 ; 3.392.558.742 ; 685 ; 1.515.972.766 ; 733 ; 2.904.495.971 ; 1.418 ; 4.420.468.737 ; 6.154 ; 7.813.027.480 ;
11;03.532.415;BANCO ABN AMRO S.A.;;;;; 226 ; 2.582.188.094 ; 263 ; 2.458.918.807 ; 489 ; 5.041.106.901 ; 12 ; 280.750.000 ; 23 ; 527.000.000 ; 35 ; 807.750.000 ; 524 ; 5.848.856.901 ;
12;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 169 ; 321.426.077 ; 632 ; 345.317.198 ; 131 ; 341.463.093 ; 377 ; 504.340.385 ; 1.309 ; 1.512.546.752 ; 479 ; 1.244.638.325 ; 507 ; 1.487.174.528 ; 986 ; 2.731.812.853 ; 2.295 ; 4.244.359.605 ;
13;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;;;; 276 ; 1.446.930.378 ; 285 ; 1.613.160.250 ; 561 ; 3.060.090.628 ; 31 ; 481.397.947 ; 21 ; 369.687.789 ; 52 ; 851.085.736 ; 613 ; 3.911.176.364 ;
