Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Nov/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 73.739 ; 34.456.135.427 ; 201.261 ; 32.033.206.033 ; 231.763 ; 68.275.028.250 ; 291.141 ; 64.613.126.281 ; 797.904 ; 199.377.495.991 ; 14.221 ; 78.160.460.247 ; 14.010 ; 71.277.275.812 ; 28.231 ; 149.437.736.060 ; 826.135 ; 348.815.232.051 ;
2;33.479.023;BANCO CITIBANK S.A.; 15.277 ; 16.980.585.677 ; 95.279 ; 22.307.369.633 ; 93.705 ; 98.690.293.188 ; 108.739 ; 86.267.706.806 ; 313.000 ; 224.245.955.304 ; 3.368 ; 23.641.593.003 ; 3.549 ; 30.026.145.717 ; 6.917 ; 53.667.738.720 ; 319.917 ; 277.913.694.024 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 101.990 ; 31.201.803.488 ; 273.378 ; 38.333.621.920 ; 355.593 ; 38.736.444.341 ; 320.308 ; 45.881.053.951 ; 1.051.269 ; 154.152.923.700 ; 4.287 ; 62.725.092.118 ; 3.946 ; 44.948.545.937 ; 8.233 ; 107.673.638.054 ; 1.059.502 ; 261.826.561.755 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 3.785 ; 7.831.678.549 ; 30.453 ; 9.254.574.176 ; 13.873 ; 52.287.271.322 ; 23.297 ; 53.189.701.601 ; 71.408 ; 122.563.225.648 ; 3.446 ; 49.507.401.429 ; 4.251 ; 45.630.979.643 ; 7.697 ; 95.138.381.073 ; 79.105 ; 217.701.606.720 ;
5;60.746.948;BANCO BRADESCO S.A.; 68.324 ; 30.919.892.096 ; 146.524 ; 18.553.709.854 ; 313.960 ; 23.393.769.786 ; 151.230 ; 28.823.392.697 ; 680.038 ; 101.690.764.433 ; 4.719 ; 23.958.630.853 ; 4.926 ; 30.788.494.480 ; 9.645 ; 54.747.125.333 ; 689.683 ; 156.437.889.766 ;
6;00.000.000;BANCO DO BRASIL S.A.; 96.101 ; 29.480.400.851 ; 156.202 ; 24.922.737.780 ; 407.773 ; 17.680.876.747 ; 171.704 ; 21.367.852.169 ; 831.780 ; 93.451.867.547 ; 2.846 ; 16.540.434.054 ; 2.886 ; 16.496.208.051 ; 5.732 ; 33.036.642.106 ; 837.512 ; 126.488.509.652 ;
7;30.306.294;BANCO BTG PACTUAL S.A.; 2.000 ; 6.988.999.863 ; 9.764 ; 4.884.709.721 ; 13.140 ; 10.376.709.840 ; 24.145 ; 11.842.066.051 ; 49.049 ; 34.092.485.475 ; 1.760 ; 32.489.165.334 ; 2.823 ; 30.944.655.664 ; 4.583 ; 63.433.820.998 ; 53.632 ; 97.526.306.473 ;
8;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 1.708 ; 9.098.585.718 ; 6.939 ; 3.228.561.057 ; 5.585 ; 25.704.881.991 ; 7.074 ; 24.745.936.415 ; 21.306 ; 62.777.965.181 ; 2.185 ; 10.335.261.733 ; 1.285 ; 17.478.551.433 ; 3.470 ; 27.813.813.166 ; 24.776 ; 90.591.778.346 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 2.076 ; 3.122.985.961 ; 14.172 ; 4.352.764.519 ; 10.311 ; 14.915.201.978 ; 22.334 ; 11.405.967.961 ; 48.893 ; 33.796.920.419 ; 8.838 ; 21.209.950.381 ; 8.885 ; 23.292.676.050 ; 17.723 ; 44.502.626.431 ; 66.616 ; 78.299.546.850 ;
10;03.532.415;BANCO ABN AMRO S.A.;;; 9 ; 2.793.069 ; 2.143 ; 28.583.321.667 ; 2.462 ; 28.161.765.417 ; 4.614 ; 56.747.880.153 ; 102 ; 1.866.322.927 ; 116 ; 2.202.573.458 ; 218 ; 4.068.896.385 ; 4.832 ; 60.816.776.537 ;
11;02.801.938;BANCO MORGAN STANLEY S.A.; 3 ; 107.800.000 ;;; 4.994 ; 13.729.700.243 ; 4.268 ; 13.456.676.171 ; 9.265 ; 27.294.176.414 ; 243 ; 11.218.964.080 ; 266 ; 11.487.221.491 ; 509 ; 22.706.185.571 ; 9.774 ; 50.000.361.984 ;
