Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;60.701.190;ITAÚ UNIBANCO S.A.; 10.233 ; 4.244.231.820 ; 25.827 ; 4.371.183.742 ; 37.081 ; 8.823.878.157 ; 34.800 ; 12.133.585.578 ; 107.941 ; 29.572.879.297 ; 515 ; 7.441.038.414 ; 445 ; 4.378.523.869 ; 960 ; 11.819.562.283 ; 108.901 ; 41.392.441.580 ;
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 6.865 ; 2.277.158.356 ; 16.453 ; 3.006.242.239 ; 25.166 ; 4.437.536.537 ; 31.338 ; 5.630.817.836 ; 79.822 ; 15.351.754.968 ; 787 ; 11.716.722.419 ; 938 ; 13.459.881.739 ; 1.725 ; 25.176.604.158 ; 81.547 ; 40.528.359.126 ;
3;60.746.948;BANCO BRADESCO S.A.; 6.245 ; 2.125.655.760 ; 12.128 ; 2.047.451.714 ; 31.276 ; 10.675.423.271 ; 16.392 ; 10.994.048.948 ; 66.041 ; 25.842.579.694 ; 516 ; 3.414.594.499 ; 499 ; 2.797.447.780 ; 1.015 ; 6.212.042.280 ; 67.056 ; 32.054.621.974 ;
4;33.479.023;BANCO CITIBANK S.A.; 1.484 ; 2.132.961.789 ; 8.299 ; 1.973.057.510 ; 9.185 ; 8.411.808.638 ; 11.403 ; 10.068.586.610 ; 30.371 ; 22.586.414.547 ; 288 ; 3.992.414.706 ; 275 ; 2.826.461.160 ; 563 ; 6.818.875.865 ; 30.934 ; 29.405.290.413 ;
5;33.172.537;BANCO J.P. MORGAN S.A.; 331 ; 529.286.257 ; 2.465 ; 705.587.444 ; 1.291 ; 4.337.119.859 ; 2.502 ; 6.642.971.555 ; 6.589 ; 12.214.965.115 ; 481 ; 5.737.243.289 ; 570 ; 5.310.321.987 ; 1.051 ; 11.047.565.276 ; 7.640 ; 23.262.530.391 ;
6;00.000.000;BANCO DO BRASIL S.A.; 9.934 ; 2.885.395.748 ; 14.413 ; 2.879.979.963 ; 31.402 ; 1.921.811.331 ; 18.896 ; 3.350.099.224 ; 74.645 ; 11.037.286.265 ; 404 ; 4.255.783.457 ; 363 ; 1.533.314.416 ; 767 ; 5.789.097.873 ; 75.412 ; 16.826.384.138 ;
7;30.306.294;BANCO BTG PACTUAL S.A.; 256 ; 517.660.572 ; 1.087 ; 739.531.080 ; 1.766 ; 2.296.720.234 ; 2.558 ; 1.917.997.186 ; 5.667 ; 5.471.909.072 ; 191 ; 3.880.883.773 ; 411 ; 6.878.852.805 ; 602 ; 10.759.736.578 ; 6.269 ; 16.231.645.650 ;
8;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 176 ; 468.405.701 ; 584 ; 294.259.784 ; 532 ; 2.972.667.443 ; 809 ; 3.892.031.717 ; 2.101 ; 7.627.364.645 ; 257 ; 2.058.605.637 ; 105 ; 960.045.364 ; 362 ; 3.018.651.001 ; 2.463 ; 10.646.015.646 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 203 ; 177.203.716 ; 1.198 ; 402.677.059 ; 1.108 ; 2.835.043.793 ; 2.253 ; 1.866.229.591 ; 4.762 ; 5.281.154.160 ; 767 ; 2.294.089.344 ; 797 ; 2.926.711.152 ; 1.564 ; 5.220.800.496 ; 6.326 ; 10.501.954.656 ;
