Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jan/2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.524 ; 1.948.990.122 ; 17.071 ; 2.538.433.979 ; 19.670 ; 5.161.226.233 ; 30.151 ; 3.963.712.385 ; 72.416 ; 13.612.362.720 ; 721 ; 6.078.462.815 ; 702 ; 6.025.898.729 ; 1.423 ; 12.104.361.544 ; 73.839 ; 25.716.724.263 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 7.393 ; 2.294.922.760 ; 27.614 ; 4.245.671.710 ; 30.856 ; 4.046.323.415 ; 33.340 ; 3.704.231.469 ; 99.203 ; 14.291.149.355 ; 399 ; 5.665.859.858 ; 348 ; 4.609.772.728 ; 747 ; 10.275.632.586 ; 99.950 ; 24.566.781.940 ;
3;33.479.023;BANCO CITIBANK S.A.; 1.256 ; 1.467.177.376 ; 8.662 ; 1.844.833.564 ; 8.338 ; 8.851.122.685 ; 9.053 ; 6.426.418.371 ; 27.309 ; 18.589.551.996 ; 304 ; 1.325.976.139 ; 375 ; 3.151.501.325 ; 679 ; 4.477.477.463 ; 27.988 ; 23.067.029.459 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 308 ; 474.562.680 ; 2.815 ; 705.000.240 ; 1.361 ; 4.419.135.397 ; 2.137 ; 3.524.940.929 ; 6.621 ; 9.123.639.247 ; 351 ; 2.360.940.575 ; 526 ; 4.331.892.669 ; 877 ; 6.692.833.245 ; 7.498 ; 15.816.472.491 ;
5;00.000.000;BANCO DO BRASIL S.A.; 6.949 ; 2.012.679.460 ; 13.564 ; 1.980.507.622 ; 36.974 ; 1.745.004.386 ; 18.455 ; 3.127.827.991 ; 75.942 ; 8.866.019.460 ; 249 ; 2.114.023.604 ; 233 ; 1.410.484.677 ; 482 ; 3.524.508.281 ; 76.424 ; 12.390.527.741 ;
6;30.306.294;BANCO BTG PACTUAL S.A.; 196 ; 378.567.787 ; 1.104 ; 633.078.979 ; 1.519 ; 915.485.010 ; 2.904 ; 1.091.335.475 ; 5.723 ; 3.018.467.252 ; 219 ; 4.737.222.949 ; 375 ; 3.232.396.534 ; 594 ; 7.969.619.483 ; 6.317 ; 10.988.086.735 ;
7;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 214 ; 361.699.312 ; 1.384 ; 615.082.924 ; 1.452 ; 1.593.207.606 ; 1.933 ; 1.505.267.330 ; 4.983 ; 4.075.257.171 ; 864 ; 3.556.816.455 ; 866 ; 3.155.963.645 ; 1.730 ; 6.712.780.100 ; 6.713 ; 10.788.037.271 ;
8;60.746.948;BANCO BRADESCO S.A.; 4.810 ; 2.153.042.652 ; 11.079 ; 1.685.185.075 ; 25.018 ; 1.867.228.041 ; 13.893 ; 1.540.973.088 ; 54.800 ; 7.246.428.857 ; 387 ; 1.174.912.205 ; 399 ; 1.791.265.168 ; 786 ; 2.966.177.373 ; 55.586 ; 10.212.606.229 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 147 ; 458.213.945 ; 512 ; 162.679.823 ; 476 ; 1.981.439.267 ; 656 ; 1.968.324.557 ; 1.791 ; 4.570.657.592 ; 209 ; 1.058.219.934 ; 84 ; 906.185.568 ; 293 ; 1.964.405.502 ; 2.084 ; 6.535.063.094 ;
10;03.532.415;BANCO ABN AMRO S.A.;;;;; 252 ; 2.359.329.006 ; 286 ; 2.191.973.406 ; 538 ; 4.551.302.413 ; 17 ; 300.000.000 ; 16 ; 430.000.000 ; 33 ; 730.000.000 ; 571 ; 5.281.302.413 ;
11;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;;;;; 172 ; 1.882.446.656 ; 110 ; 682.214.524 ; 282 ; 2.564.661.179 ; 27 ; 449.039.148 ; 104 ; 1.649.541.554 ; 131 ; 2.098.580.703 ; 413 ; 4.663.241.882 ;
12;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;; 1 ; 199.862.045 ; 227 ; 1.059.985.391 ; 212 ; 1.376.885.857 ; 440 ; 2.636.733.293 ; 55 ; 1.679.793.625 ; 23 ; 319.767.540 ; 78 ; 1.999.561.165 ; 518 ; 4.636.294.458 ;
13;60.498.557;BANCO MUFG BRASIL S.A.; 125 ; 73.089.356 ; 405 ; 46.148.082 ; 266 ; 70.964.548 ; 331 ; 67.420.436 ; 1.127 ; 257.622.421 ; 589 ; 2.118.027.638 ; 617 ; 2.213.931.197 ; 1.206 ; 4.331.958.835 ; 2.333 ; 4.589.581.256 ;
14;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 89 ; 133.916.072 ; 555 ; 118.183.531 ; 149 ; 372.148.971 ; 322 ; 335.491.267 ; 1.115 ; 959.739.841 ; 342 ; 1.553.880.871 ; 384 ; 1.698.305.356 ; 726 ; 3.252.186.227 ; 1.841 ; 4.211.926.068 ;
15;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 6 ; 10.245.825 ; 2 ; 1.380.577 ; 23 ; 76.038.625 ; 51 ; 4.263.054 ; 82 ; 91.928.080 ; 82 ; 1.473.206.293 ; 90 ; 1.551.046.094 ; 172 ; 3.024.252.387 ; 254 ; 3.116.180.467 ;
16;53.518.684;BANCO HSBC S.A.; 23 ; 117.892.157 ; 175 ; 425.588.474 ; 97 ; 359.686.225 ; 107 ; 53.189.298 ; 402 ; 956.356.154 ; 172 ; 990.350.226 ; 171 ; 906.202.170 ; 343 ; 1.896.552.396 ; 745 ; 2.852.908.550 ;
17;59.588.111;BANCO VOTORANTIM S.A.; 195 ; 228.221.647 ; 1.091 ; 356.035.228 ; 237 ; 285.109.306 ; 572 ; 309.393.096 ; 2.095 ; 1.178.759.276 ; 242 ; 672.014.107 ; 512 ; 916.574.870 ; 754 ; 1.588.588.978 ; 2.849 ; 2.767.348.254 ;
18;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 100 ; 248.239.183 ; 204 ; 103.804.508 ; 333 ; 435.473.946 ; 401 ; 271.102.376 ; 1.038 ; 1.058.620.013 ; 172 ; 823.319.391 ; 190 ; 874.348.356 ; 362 ; 1.697.667.747 ; 1.400 ; 2.756.287.760 ;
19;02.801.938;BANCO MORGAN STANLEY S.A.; 5 ; 80.500.000 ; 5 ; 819.272 ; 493 ; 964.184.941 ; 229 ; 619.374.354 ; 732 ; 1.664.878.567 ; 6 ; 220.000.000 ; 22 ; 650.000.000 ; 28 ; 870.000.000 ; 760 ; 2.534.878.567 ;
20;28.195.667;BANCO ABC BRASIL S.A.; 135 ; 95.248.029 ; 362 ; 71.731.150 ; 62 ; 222.371.580 ; 368 ; 248.636.135 ; 927 ; 637.986.895 ; 127 ; 705.314.007 ; 196 ; 951.491.280 ; 323 ; 1.656.805.288 ; 1.250 ; 2.294.792.182 ;
21;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 769 ; 95.714.364 ; 2.326 ; 81.197.903 ; 2.112 ; 203.087.755 ; 7.211 ; 667.523.342 ; 12.418 ; 1.047.523.364 ; 1.793 ; 641.517.113 ; 5.350 ; 212.188.579 ; 7.143 ; 853.705.692 ; 19.561 ; 1.901.229.056 ;
