Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Fev/2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 11.122 ; 3.780.694.568 ; 32.062 ; 4.705.305.286 ; 39.843 ; 11.513.012.935 ; 64.399 ; 12.529.715.820 ; 147.426 ; 32.528.728.608 ; 1.399 ; 15.407.011.788 ; 1.317 ; 12.747.488.918 ; 2.716 ; 28.154.500.706 ; 150.142 ; 60.683.229.314 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 14.822 ; 6.112.045.028 ; 51.615 ; 7.434.976.544 ; 59.629 ; 7.638.488.212 ; 70.876 ; 7.809.760.736 ; 196.942 ; 28.995.270.519 ; 807 ; 10.406.761.372 ; 726 ; 8.311.235.215 ; 1.533 ; 18.717.996.588 ; 198.475 ; 47.713.267.107 ;
3;33.479.023;BANCO CITIBANK S.A.; 2.444 ; 3.897.541.712 ; 16.313 ; 4.044.160.981 ; 16.084 ; 17.578.936.432 ; 17.649 ; 12.636.160.272 ; 52.490 ; 38.156.799.396 ; 547 ; 2.093.597.604 ; 684 ; 6.333.623.274 ; 1.231 ; 8.427.220.878 ; 53.721 ; 46.584.020.274 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 588 ; 945.495.728 ; 5.118 ; 1.267.843.571 ; 2.537 ; 9.798.678.326 ; 4.147 ; 6.096.648.931 ; 12.390 ; 18.108.666.556 ; 778 ; 8.274.731.165 ; 1.015 ; 8.926.280.032 ; 1.793 ; 17.201.011.197 ; 14.183 ; 35.309.677.753 ;
5;60.746.948;BANCO BRADESCO S.A.; 9.379 ; 4.221.924.987 ; 20.804 ; 3.073.975.025 ; 48.774 ; 4.446.124.086 ; 32.411 ; 5.598.624.898 ; 111.368 ; 17.340.648.996 ; 786 ; 4.744.552.624 ; 762 ; 4.155.164.580 ; 1.548 ; 8.899.717.204 ; 112.916 ; 26.240.366.200 ;
6;00.000.000;BANCO DO BRASIL S.A.; 14.137 ; 4.494.500.974 ; 26.715 ; 4.014.415.158 ; 55.233 ; 2.707.373.672 ; 42.874 ; 4.851.663.621 ; 138.959 ; 16.067.953.426 ; 467 ; 3.395.314.798 ; 451 ; 2.338.812.443 ; 918 ; 5.734.127.240 ; 139.877 ; 21.802.080.667 ;
7;30.306.294;BANCO BTG PACTUAL S.A.; 416 ; 1.436.804.622 ; 2.069 ; 1.016.496.872 ; 3.007 ; 1.625.723.014 ; 6.601 ; 2.068.827.041 ; 12.093 ; 6.147.851.549 ; 420 ; 7.632.411.501 ; 808 ; 6.061.475.380 ; 1.228 ; 13.693.886.881 ; 13.321 ; 19.841.738.430 ;
8;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 406 ; 701.869.984 ; 2.731 ; 920.307.735 ; 2.778 ; 3.563.111.734 ; 3.664 ; 2.517.092.391 ; 9.579 ; 7.702.381.843 ; 1.646 ; 4.934.056.063 ; 1.685 ; 5.860.696.627 ; 3.331 ; 10.794.752.690 ; 12.910 ; 18.497.134.533 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 282 ; 1.138.701.677 ; 1.212 ; 476.588.793 ; 916 ; 4.078.282.630 ; 1.332 ; 4.858.334.056 ; 3.742 ; 10.551.907.156 ; 397 ; 2.590.145.736 ; 202 ; 2.562.618.572 ; 599 ; 5.152.764.308 ; 4.341 ; 15.704.671.463 ;
10;60.498.557;BANCO MUFG BRASIL S.A.; 223 ; 227.977.271 ; 751 ; 129.376.111 ; 507 ; 640.912.430 ; 667 ; 181.429.429 ; 2.148 ; 1.179.695.241 ; 1.223 ; 5.173.366.352 ; 1.273 ; 5.609.761.263 ; 2.496 ; 10.783.127.615 ; 4.644 ; 11.962.822.857 ;
11;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 161 ; 317.325.484 ; 1.063 ; 255.806.041 ; 263 ; 660.687.634 ; 661 ; 550.415.578 ; 2.148 ; 1.784.234.738 ; 701 ; 4.293.087.387 ; 768 ; 4.453.546.859 ; 1.469 ; 8.746.634.246 ; 3.617 ; 10.530.868.984 ;
12;03.532.415;BANCO ABN AMRO S.A.;;;;; 478 ; 4.592.034.733 ; 545 ; 4.426.530.335 ; 1.023 ; 9.018.565.069 ; 30 ; 552.000.000 ; 28 ; 662.000.000 ; 58 ; 1.214.000.000 ; 1.081 ; 10.232.565.069 ;
