Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em FEVEREIRO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.599 ; 1.831.716.227 ; 14.991 ; 2.167.003.814 ; 20.174 ; 6.352.769.366 ; 34.248 ; 8.565.921.433 ; 75.012 ; 18.917.410.840 ; 678 ; 9.328.548.973 ; 615 ; 6.721.590.190 ; 1.293 ; 16.050.139.163 ; 76.305 ; 34.967.550.002 ;
2;33.479.023;BANCO CITIBANK S.A.; 1.188 ; 2.430.364.335 ; 7.652 ; 2.199.401.354 ; 7.746 ; 8.727.813.747 ; 8.596 ; 6.209.741.901 ; 25.182 ; 19.567.321.336 ; 243 ; 767.621.465 ; 309 ; 3.182.121.949 ; 552 ; 3.949.743.414 ; 25.734 ; 23.517.064.751 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 7.426 ; 3.817.122.268 ; 24.007 ; 3.191.258.010 ; 28.771 ; 3.592.164.796 ; 37.529 ; 4.103.742.466 ; 97.733 ; 14.704.287.539 ; 408 ; 4.740.901.515 ; 378 ; 3.701.462.488 ; 786 ; 8.442.364.002 ; 98.519 ; 23.146.651.542 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 280 ; 470.933.048 ; 2.303 ; 562.843.331 ; 1.177 ; 5.379.544.431 ; 2.010 ; 2.571.708.002 ; 5.770 ; 8.985.028.812 ; 427 ; 5.913.790.590 ; 489 ; 4.594.387.362 ; 916 ; 10.508.177.952 ; 6.686 ; 19.493.206.764 ;
5;60.746.948;BANCO BRADESCO S.A.; 4.569 ; 2.068.892.346 ; 9.726 ; 1.388.790.291 ; 23.758 ; 2.578.922.870 ; 18.517 ; 4.057.651.810 ; 56.570 ; 10.094.257.316 ; 399 ; 3.569.640.419 ; 363 ; 2.363.899.412 ; 762 ; 5.933.539.832 ; 57.332 ; 16.027.797.148 ;
6;00.000.000;BANCO DO BRASIL S.A.; 7.188 ; 2.481.821.514 ; 13.151 ; 2.033.907.537 ; 18.259 ; 962.369.285 ; 24.419 ; 1.723.879.501 ; 63.017 ; 7.201.977.837 ; 218 ; 1.281.291.193 ; 218 ; 928.327.766 ; 436 ; 2.209.618.959 ; 63.453 ; 9.411.596.796 ;
7;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 135 ; 680.487.731 ; 700 ; 313.908.970 ; 440 ; 2.096.843.363 ; 676 ; 2.890.009.499 ; 1.951 ; 5.981.249.563 ; 188 ; 1.531.925.803 ; 118 ; 1.656.433.003 ; 306 ; 3.188.358.806 ; 2.257 ; 9.169.608.369 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 220 ; 1.058.236.835 ; 965 ; 383.417.892 ; 1.488 ; 710.238.004 ; 3.698 ; 977.620.865 ; 6.371 ; 3.129.513.596 ; 201 ; 2.895.188.552 ; 433 ; 2.829.078.845 ; 634 ; 5.724.267.398 ; 7.005 ; 8.853.780.994 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 192 ; 340.170.672 ; 1.347 ; 305.224.811 ; 1.326 ; 1.969.904.128 ; 1.731 ; 1.011.825.061 ; 4.596 ; 3.627.124.672 ; 782 ; 1.377.239.608 ; 819 ; 2.704.732.982 ; 1.601 ; 4.081.972.590 ; 6.197 ; 7.709.097.262 ;
