Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JUNHO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;33.479.023;BANCO CITIBANK S.A.; 1.584 ; 1.640.690.301 ; 7.396 ; 1.796.283.790 ; 8.681 ; 10.752.798.953 ; 10.695 ; 10.877.724.403 ; 28.356 ; 25.067.497.447 ; 349 ; 3.757.866.318 ; 334 ; 2.525.540.014 ; 683 ; 6.283.406.332 ; 29.039 ; 31.350.903.779 ;
2;33.172.537;BANCO J.P. MORGAN S.A.; 461 ; 2.705.894.910 ; 2.768 ; 1.227.302.852 ; 1.459 ; 7.026.145.054 ; 2.243 ; 9.512.115.741 ; 6.931 ; 20.471.458.557 ; 452 ; 4.963.447.689 ; 468 ; 5.416.252.726 ; 920 ; 10.379.700.415 ; 7.851 ; 30.851.158.972 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 11.372 ; 5.192.837.714 ; 25.114 ; 3.867.324.547 ; 38.382 ; 4.608.227.955 ; 38.395 ; 5.333.785.808 ; 113.263 ; 19.002.176.024 ; 523 ; 4.873.220.277 ; 539 ; 4.778.026.611 ; 1.062 ; 9.651.246.888 ; 114.325 ; 28.653.422.912 ;
4;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 93 ; 189.447.409 ; 591 ; 252.906.098 ; 164 ; 332.818.090 ; 418 ; 487.177.308 ; 1.266 ; 1.262.348.906 ; 344 ; 12.125.841.911 ; 363 ; 11.793.992.296 ; 707 ; 23.919.834.207 ; 1.973 ; 25.182.183.113 ;
5;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 6.659 ; 2.236.863.510 ; 16.216 ; 2.268.082.931 ; 25.427 ; 4.022.584.757 ; 32.603 ; 3.799.501.309 ; 80.905 ; 12.327.032.507 ; 674 ; 6.293.759.716 ; 670 ; 5.810.791.500 ; 1.344 ; 12.104.551.216 ; 82.249 ; 24.431.583.723 ;
6;00.000.000;BANCO DO BRASIL S.A.; 11.863 ; 5.158.677.181 ; 16.084 ; 2.938.677.485 ; 36.586 ; 1.500.062.734 ; 21.610 ; 2.108.647.732 ; 86.143 ; 11.706.065.131 ; 422 ; 2.613.532.258 ; 419 ; 2.816.435.725 ; 841 ; 5.429.967.983 ; 86.984 ; 17.136.033.114 ;
7;60.746.948;BANCO BRADESCO S.A.; 6.021 ; 3.831.616.688 ; 9.719 ; 1.368.845.511 ; 27.165 ; 2.525.452.656 ; 17.461 ; 2.005.106.083 ; 60.366 ; 9.731.020.938 ; 375 ; 1.311.220.642 ; 458 ; 4.461.654.923 ; 833 ; 5.772.875.565 ; 61.199 ; 15.503.896.503 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 432 ; 1.561.072.597 ; 1.035 ; 305.073.483 ; 2.529 ; 1.357.219.533 ; 2.450 ; 1.957.839.701 ; 6.446 ; 5.181.205.314 ; 255 ; 4.198.859.200 ; 401 ; 3.441.612.071 ; 656 ; 7.640.471.271 ; 7.102 ; 12.821.676.585 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 188 ; 840.299.922 ; 797 ; 727.593.483 ; 552 ; 2.134.387.071 ; 699 ; 2.742.030.828 ; 2.236 ; 6.444.311.304 ; 198 ; 1.511.881.887 ; 87 ; 891.099.610 ; 285 ; 2.402.981.496 ; 2.521 ; 8.847.292.801 ;
