Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JULHO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.712 ; 2.105.642.958 ; 16.719 ; 2.406.816.524 ; 21.714 ; 3.162.495.765 ; 31.500 ; 3.317.790.937 ; 75.645 ; 10.992.746.183 ; 823 ; 8.178.354.071 ; 825 ; 7.113.807.331 ; 1.648 ; 15.292.161.402 ; 77.293 ; 26.284.907.585 ;
2;33.479.023;BANCO CITIBANK S.A.; 1.393 ; 1.714.194.816 ; 8.270 ; 1.585.496.759 ; 7.534 ; 7.368.778.375 ; 10.458 ; 8.162.586.566 ; 27.655 ; 18.831.056.516 ; 367 ; 3.921.709.084 ; 352 ; 3.028.645.040 ; 719 ; 6.950.354.124 ; 28.374 ; 25.781.410.640 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 9.733 ; 3.971.237.828 ; 27.934 ; 4.207.014.662 ; 35.967 ; 4.799.031.060 ; 35.172 ; 3.796.314.895 ; 108.806 ; 16.773.598.445 ; 520 ; 4.026.279.144 ; 588 ; 4.752.922.797 ; 1.108 ; 8.779.201.941 ; 109.914 ; 25.552.800.386 ;
4;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 131 ; 127.796.762 ; 810 ; 288.460.881 ; 164 ; 342.600.053 ; 431 ; 388.649.532 ; 1.536 ; 1.147.507.228 ; 340 ; 10.534.421.202 ; 376 ; 10.468.207.722 ; 716 ; 21.002.628.925 ; 2.252 ; 22.150.136.152 ;
5;33.172.537;BANCO J.P. MORGAN S.A.; 385 ; 720.717.539 ; 2.736 ; 842.924.821 ; 1.491 ; 5.290.121.693 ; 2.112 ; 6.961.768.325 ; 6.724 ; 13.815.532.378 ; 426 ; 4.607.819.021 ; 379 ; 3.075.488.296 ; 805 ; 7.683.307.317 ; 7.529 ; 21.498.839.695 ;
6;00.000.000;BANCO DO BRASIL S.A.; 9.542 ; 3.533.964.036 ; 16.994 ; 3.094.128.967 ; 21.090 ; 1.567.690.935 ; 21.460 ; 1.445.711.034 ; 69.086 ; 9.641.494.972 ; 343 ; 2.364.653.667 ; 319 ; 2.920.667.653 ; 662 ; 5.285.321.319 ; 69.748 ; 14.926.816.291 ;
7;60.746.948;BANCO BRADESCO S.A.; 4.884 ; 2.996.818.251 ; 10.354 ; 1.566.648.182 ; 24.768 ; 1.310.166.750 ; 18.601 ; 1.780.008.786 ; 58.607 ; 7.653.641.969 ; 390 ; 1.659.035.574 ; 401 ; 2.245.141.126 ; 791 ; 3.904.176.699 ; 59.398 ; 11.557.818.668 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 295 ; 986.255.811 ; 1.236 ; 267.200.936 ; 2.528 ; 1.105.451.716 ; 2.480 ; 627.941.980 ; 6.539 ; 2.986.850.442 ; 176 ; 1.738.020.076 ; 395 ; 3.084.953.859 ; 571 ; 4.822.973.935 ; 7.110 ; 7.809.824.377 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 217 ; 609.268.307 ; 1.226 ; 419.619.953 ; 1.531 ; 977.627.765 ; 2.252 ; 1.256.165.469 ; 5.226 ; 3.262.681.494 ; 926 ; 1.648.949.133 ; 929 ; 1.696.818.257 ; 1.855 ; 3.345.767.390 ; 7.081 ; 6.608.448.884 ;
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 161 ; 794.038.259 ; 668 ; 572.807.620 ; 485 ; 1.528.604.043 ; 632 ; 2.029.552.291 ; 1.946 ; 4.925.002.214 ; 162 ; 748.361.820 ; 80 ; 436.150.251 ; 242 ; 1.184.512.071 ; 2.188 ; 6.109.514.285 ;
11;60.498.557;BANCO MUFG BRASIL S.A.; 116 ; 28.414.921 ; 430 ; 100.814.536 ; 225 ; 98.027.849 ; 324 ; 138.903.757 ; 1.095 ; 366.161.061 ; 531 ; 2.829.633.290 ; 545 ; 2.710.396.451 ; 1.076 ; 5.540.029.741 ; 2.171 ; 5.906.190.803 ;
12;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;; 1 ; 133.887.322 ; 173 ; 1.950.007.602 ; 212 ; 1.331.491.682 ; 386 ; 3.415.386.607 ; 41 ; 880.453.445 ; 38 ; 835.578.247 ; 79 ; 1.716.031.692 ; 465 ; 5.131.418.299 ;
13;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;;;;; 128 ; 1.333.924.049 ; 174 ; 1.450.530.762 ; 302 ; 2.784.454.811 ; 48 ; 789.841.305 ; 46 ; 673.341.735 ; 94 ; 1.463.183.040 ; 396 ; 4.247.637.851 ;
