Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em AGOSTO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;60.701.190;ITAÚ UNIBANCO S.A.; 9.377 ; 4.472.106.898 ; 31.635 ; 5.008.449.146 ; 35.950 ; 5.967.337.241 ; 40.544 ; 5.261.779.666 ; 117.506 ; 20.709.672.951 ; 577 ; 4.727.038.965 ; 639 ; 5.098.094.731 ; 1.216 ; 9.825.133.695 ; 118.722 ; 30.534.806.646 ;
2;33.479.023;BANCO CITIBANK S.A.; 1.576 ; 1.473.521.846 ; 8.061 ; 1.851.126.993 ; 8.160 ; 8.390.330.094 ; 10.746 ; 9.480.051.855 ; 28.543 ; 21.195.030.788 ; 372 ; 4.586.412.915 ; 376 ; 3.595.433.707 ; 748 ; 8.181.846.622 ; 29.291 ; 29.376.877.409 ;
3;33.172.537;BANCO J.P. MORGAN S.A.; 378 ; 954.237.457 ; 3.057 ; 995.152.147 ; 1.683 ; 5.291.153.928 ; 2.476 ; 7.105.987.741 ; 7.594 ; 14.346.531.272 ; 453 ; 5.398.638.245 ; 482 ; 5.066.273.061 ; 935 ; 10.464.911.306 ; 8.529 ; 24.811.442.578 ;
4;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.904 ; 2.030.344.584 ; 18.922 ; 2.989.327.492 ; 24.396 ; 3.379.486.073 ; 37.178 ; 3.052.792.062 ; 86.400 ; 11.451.950.211 ; 927 ; 6.088.369.276 ; 869 ; 4.668.924.089 ; 1.796 ; 10.757.293.365 ; 88.196 ; 22.209.243.576 ;
5;00.000.000;BANCO DO BRASIL S.A.; 9.302 ; 3.650.162.901 ; 19.709 ; 3.131.620.944 ; 22.702 ; 3.594.002.977 ; 25.768 ; 4.534.783.728 ; 77.481 ; 14.910.570.550 ; 398 ; 1.945.032.822 ; 404 ; 2.388.060.516 ; 802 ; 4.333.093.338 ; 78.283 ; 19.243.663.888 ;
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 129 ; 172.668.098 ; 676 ; 339.614.076 ; 200 ; 472.971.203 ; 411 ; 311.084.084 ; 1.416 ; 1.296.337.461 ; 355 ; 8.223.847.560 ; 389 ; 8.176.446.193 ; 744 ; 16.400.293.753 ; 2.160 ; 17.696.631.214 ;
7;30.306.294;BANCO BTG PACTUAL S.A.; 352 ; 930.771.242 ; 1.278 ; 306.085.367 ; 2.610 ; 2.543.672.753 ; 3.715 ; 2.024.403.740 ; 7.955 ; 5.804.933.102 ; 209 ; 3.585.537.280 ; 605 ; 4.412.280.339 ; 814 ; 7.997.817.618 ; 8.769 ; 13.802.750.720 ;
8;60.746.948;BANCO BRADESCO S.A.; 5.147 ; 3.232.464.894 ; 11.094 ; 1.714.538.274 ; 26.592 ; 1.317.145.563 ; 19.371 ; 1.679.434.809 ; 62.204 ; 7.943.583.539 ; 436 ; 2.531.753.147 ; 440 ; 3.000.708.046 ; 876 ; 5.532.461.194 ; 63.080 ; 13.476.044.733 ;
9;60.498.557;BANCO MUFG BRASIL S.A.; 130 ; 30.099.894 ; 457 ; 204.975.503 ; 294 ; 134.875.459 ; 382 ; 301.330.719 ; 1.263 ; 671.281.576 ; 516 ; 3.853.040.950 ; 522 ; 3.516.674.280 ; 1.038 ; 7.369.715.230 ; 2.301 ; 8.040.996.806 ;
