Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em SETEMBRO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 6.615 ; 2.572.098.278 ; 16.719 ; 3.648.304.281 ; 23.787 ; 4.761.603.636 ; 33.749 ; 6.414.764.003 ; 80.870 ; 17.396.770.198 ; 979 ; 15.164.558.933 ; 991 ; 15.190.165.880 ; 1.970 ; 30.354.724.813 ; 82.840 ; 47.751.495.011 ;
2;33.479.023;BANCO CITIBANK S.A.; 1.567 ; 2.138.672.790 ; 7.743 ; 2.251.420.189 ; 8.174 ; 7.610.659.954 ; 11.548 ; 12.050.693.502 ; 29.032 ; 24.051.446.435 ; 410 ; 7.809.269.716 ; 349 ; 3.440.433.738 ; 759 ; 11.249.703.454 ; 29.791 ; 35.301.149.889 ;
3;00.000.000;BANCO DO BRASIL S.A.; 11.067 ; 4.454.459.835 ; 17.866 ; 3.276.569.668 ; 22.797 ; 11.300.785.264 ; 23.777 ; 12.138.749.965 ; 75.507 ; 31.170.564.732 ; 399 ; 1.524.712.632 ; 376 ; 1.811.063.672 ; 775 ; 3.335.776.304 ; 76.282 ; 34.506.341.036 ;
4;60.701.190;ITAÚ UNIBANCO S.A.; 10.636 ; 4.091.619.170 ; 27.346 ; 4.511.153.294 ; 36.508 ; 6.237.706.598 ; 35.914 ; 4.458.202.164 ; 110.404 ; 19.298.681.226 ; 627 ; 7.267.831.835 ; 645 ; 6.489.331.055 ; 1.272 ; 13.757.162.890 ; 111.676 ; 33.055.844.116 ;
5;33.172.537;BANCO J.P. MORGAN S.A.; 319 ; 542.798.671 ; 2.211 ; 774.470.346 ; 1.560 ; 4.980.641.807 ; 2.242 ; 7.117.801.200 ; 6.332 ; 13.415.712.024 ; 510 ; 6.376.232.552 ; 448 ; 5.721.598.907 ; 958 ; 12.097.831.459 ; 7.290 ; 25.513.543.483 ;
6;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 129 ; 209.362.932 ; 754 ; 293.186.595 ; 113 ; 249.883.865 ; 343 ; 392.924.109 ; 1.339 ; 1.145.357.501 ; 407 ; 8.948.890.975 ; 427 ; 8.564.285.172 ; 834 ; 17.513.176.147 ; 2.173 ; 18.658.533.648 ;
7;60.746.948;BANCO BRADESCO S.A.; 5.328 ; 2.765.504.395 ; 10.148 ; 1.475.647.333 ; 24.611 ; 3.956.532.799 ; 15.813 ; 5.251.225.947 ; 55.900 ; 13.448.910.473 ; 439 ; 1.990.992.074 ; 470 ; 2.875.651.633 ; 909 ; 4.866.643.707 ; 56.809 ; 18.315.554.180 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 411 ; 978.016.599 ; 1.119 ; 294.927.958 ; 2.517 ; 2.183.156.414 ; 2.600 ; 917.262.565 ; 6.647 ; 4.373.363.536 ; 272 ; 4.374.756.550 ; 552 ; 7.501.856.228 ; 824 ; 11.876.612.778 ; 7.471 ; 16.249.976.314 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 205 ; 333.320.997 ; 1.484 ; 412.899.735 ; 1.720 ; 2.327.579.700 ; 2.153 ; 1.557.881.991 ; 5.562 ; 4.631.682.422 ; 949 ; 2.614.051.531 ; 963 ; 3.000.168.080 ; 1.912 ; 5.614.219.611 ; 7.474 ; 10.245.902.034 ;
10;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 197 ; 592.963.134 ; 668 ; 564.499.902 ; 618 ; 2.853.817.427 ; 627 ; 2.539.726.919 ; 2.110 ; 6.551.007.383 ; 192 ; 1.048.676.858 ; 161 ; 1.630.807.097 ; 353 ; 2.679.483.955 ; 2.463 ; 9.230.491.338 ;
11;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;; 1 ; 185.730.030 ; 310 ; 2.457.108.733 ; 298 ; 1.612.128.807 ; 609 ; 4.254.967.569 ; 46 ; 870.389.278 ; 61 ; 1.996.783.826 ; 107 ; 2.867.173.104 ; 716 ; 7.122.140.673 ;
