Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Out/2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 59.656 ; 22.064.524.303 ; 167.647 ; 25.903.079.377 ; 228.161 ; 49.395.642.115 ; 354.232 ; 56.912.865.858 ; 809.696 ; 154.276.111.654 ; 8.218 ; 84.298.548.009 ; 8.099 ; 75.366.039.863 ; 16.317 ; 159.664.587.872 ; 826.013 ; 313.940.699.526 ;
2;33.479.023;BANCO CITIBANK S.A.; 14.607 ; 18.732.279.264 ; 80.633 ; 19.729.067.381 ; 83.236 ; 91.606.279.144 ; 105.563 ; 91.395.223.829 ; 284.039 ; 221.462.849.618 ; 3.389 ; 36.603.114.881 ; 3.575 ; 35.218.793.382 ; 6.964 ; 71.821.908.263 ; 291.003 ; 293.284.757.881 ;
3;60.701.190;ITAÚ UNIBANCO S.A.; 92.357 ; 41.233.041.036 ; 273.982 ; 42.414.810.940 ; 343.858 ; 47.040.831.338 ; 379.565 ; 48.260.258.650 ; 1.089.762 ; 178.948.941.964 ; 5.112 ; 58.752.567.642 ; 5.117 ; 50.474.594.971 ; 10.229 ; 109.227.162.613 ; 1.099.991 ; 288.176.104.577 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 3.428 ; 8.440.688.868 ; 25.595 ; 9.062.464.115 ; 14.578 ; 53.889.611.069 ; 22.462 ; 60.661.267.232 ; 66.063 ; 132.054.031.284 ; 4.777 ; 58.109.194.150 ; 4.973 ; 49.527.486.186 ; 9.750 ; 107.636.680.336 ; 75.813 ; 239.690.711.620 ;
5;00.000.000;BANCO DO BRASIL S.A.; 92.071 ; 39.691.809.349 ; 163.532 ; 28.339.853.399 ; 375.709 ; 28.167.600.542 ; 242.991 ; 35.230.954.576 ; 874.303 ; 131.430.217.865 ; 3.497 ; 18.351.524.117 ; 3.436 ; 22.778.514.296 ; 6.933 ; 41.130.038.413 ; 881.236 ; 172.560.256.279 ;
6;60.746.948;BANCO BRADESCO S.A.; 50.494 ; 32.787.333.650 ; 104.496 ; 15.242.858.133 ; 257.014 ; 21.141.849.699 ; 187.264 ; 28.915.429.219 ; 599.268 ; 98.087.470.701 ; 4.097 ; 23.509.378.226 ; 4.261 ; 32.595.600.561 ; 8.358 ; 56.104.978.787 ; 607.626 ; 154.192.449.487 ;
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 1.216 ; 1.863.864.395 ; 6.297 ; 2.505.210.467 ; 1.539 ; 4.760.474.276 ; 3.601 ; 4.631.010.146 ; 12.653 ; 13.760.559.284 ; 3.670 ; 67.666.092.826 ; 3.934 ; 67.251.640.561 ; 7.604 ; 134.917.733.387 ; 20.257 ; 148.678.292.671 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 3.241 ; 10.371.886.201 ; 11.450 ; 4.414.276.590 ; 21.490 ; 14.931.793.959 ; 30.399 ; 11.534.208.473 ; 66.580 ; 41.252.165.224 ; 2.107 ; 34.855.223.997 ; 4.796 ; 42.015.590.752 ; 6.903 ; 76.870.814.749 ; 73.483 ; 118.122.979.973 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 1.660 ; 7.649.290.478 ; 7.414 ; 5.412.403.432 ; 5.295 ; 22.856.851.164 ; 7.134 ; 26.695.571.235 ; 21.503 ; 62.614.116.308 ; 1.902 ; 12.904.839.966 ; 1.155 ; 11.342.748.167 ; 3.057 ; 24.247.588.133 ; 24.560 ; 86.861.704.441 ;
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 2.202 ; 4.514.403.158 ; 14.136 ; 4.167.867.585 ; 16.541 ; 18.136.921.325 ; 22.905 ; 13.308.377.482 ; 55.784 ; 40.127.569.550 ; 8.948 ; 18.345.735.009 ; 9.089 ; 23.367.689.923 ; 18.037 ; 41.713.424.932 ; 73.821 ; 81.840.994.482 ;
11;60.498.557;BANCO MUFG BRASIL S.A.; 1.238 ; 591.205.339 ; 3.968 ; 925.854.579 ; 2.665 ; 2.196.850.466 ; 3.542 ; 2.053.989.198 ; 11.413 ; 5.767.899.582 ; 6.389 ; 25.861.312.815 ; 6.561 ; 25.901.053.808 ; 12.950 ; 51.762.366.624 ; 24.363 ; 57.530.266.205 ;
12;03.532.415;BANCO ABN AMRO S.A.;;;;; 2.649 ; 22.270.277.264 ; 3.002 ; 22.179.910.212 ; 5.651 ; 44.450.187.476 ; 132 ; 2.617.614.180 ; 121 ; 2.705.863.725 ; 253 ; 5.323.477.905 ; 5.904 ; 49.773.665.381 ;
13;04.332.281;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;;; 11 ; 1.586.046.269 ; 2.515 ; 14.708.110.012 ; 2.326 ; 15.000.615.967 ; 4.852 ; 31.294.772.248 ; 360 ; 9.507.608.483 ; 328 ; 7.802.380.896 ; 688 ; 17.309.989.379 ; 5.540 ; 48.604.761.627 ;
14;09.274.232;STATE STREET BRASIL S.A. - BANCO COMERCIAL;;;;; 1.699 ; 15.812.627.065 ; 1.715 ; 13.203.285.794 ; 3.414 ; 29.015.912.859 ; 487 ; 7.201.275.418 ; 677 ; 9.810.841.620 ; 1.164 ; 17.012.117.038 ; 4.578 ; 46.028.029.897 ;
15;53.518.684;BANCO HSBC S.A.; 345 ; 3.489.615.713 ; 1.226 ; 2.469.439.386 ; 1.528 ; 3.840.009.838 ; 1.746 ; 1.895.244.878 ; 4.845 ; 11.694.309.815 ; 1.657 ; 8.209.231.405 ; 1.818 ; 11.111.493.305 ; 3.475 ; 19.320.724.710 ; 8.320 ; 31.015.034.525 ;
16;59.588.111;BANCO VOTORANTIM S.A.; 2.677 ; 3.061.403.414 ; 7.611 ; 1.611.525.497 ; 2.464 ; 3.063.138.396 ; 6.612 ; 2.991.871.896 ; 19.364 ; 10.727.939.203 ; 3.955 ; 8.394.156.645 ; 6.435 ; 10.031.048.639 ; 10.390 ; 18.425.205.284 ; 29.754 ; 29.153.144.487 ;
17;28.195.667;BANCO ABC BRASIL S.A.; 1.564 ; 1.409.892.603 ; 4.449 ; 1.126.875.217 ; 974 ; 4.639.724.724 ; 5.017 ; 3.080.357.702 ; 12.004 ; 10.256.850.247 ; 1.268 ; 8.165.349.644 ; 1.939 ; 9.496.349.013 ; 3.207 ; 17.661.698.657 ; 15.211 ; 27.918.548.904 ;
18;02.801.938;BANCO MORGAN STANLEY S.A.; 111 ; 820.113.734 ; 174 ; 69.810.159 ; 4.037 ; 9.108.191.667 ; 3.423 ; 6.598.822.109 ; 7.745 ; 16.596.937.669 ; 135 ; 3.758.977.867 ; 218 ; 7.075.573.683 ; 353 ; 10.834.551.550 ; 8.098 ; 27.431.489.219 ;
19;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO; 1.026 ; 1.921.729.642 ; 1.966 ; 1.080.423.449 ; 2.893 ; 3.540.491.586 ; 3.553 ; 4.268.725.792 ; 9.438 ; 10.811.370.468 ; 3.274 ; 7.908.762.211 ; 3.414 ; 7.862.210.158 ; 6.688 ; 15.770.972.369 ; 16.126 ; 26.582.342.837 ;
20;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 9.946 ; 955.158.628 ; 23.179 ; 1.032.381.874 ; 39.218 ; 3.393.348.876 ; 78.488 ; 7.092.162.994 ; 150.831 ; 12.473.052.372 ; 17.913 ; 7.392.865.271 ; 60.512 ; 3.614.934.235 ; 78.425 ; 11.007.799.507 ; 229.256 ; 23.480.851.879 ;
21;31.872.495;BANCO C6 S.A.; 977 ; 1.490.427.302 ; 6.951 ; 1.306.341.973 ; 47.553 ; 2.384.534.629 ; 489.950 ; 3.814.659.746 ; 545.431 ; 8.995.963.649 ; 1.402 ; 7.254.179.338 ; 1.943 ; 5.940.280.295 ; 3.345 ; 13.194.459.633 ; 548.776 ; 22.190.423.282 ;
22;33.264.668;BANCO XP S.A.; 3.783 ; 2.287.966.033 ; 25.964 ; 4.300.678.886 ; 18.121 ; 3.727.084.220 ; 47.910 ; 4.837.442.015 ; 95.778 ; 15.153.171.153 ; 723 ; 5.090.275.046 ; 592 ; 1.646.953.547 ; 1.315 ; 6.737.228.593 ; 97.093 ; 21.890.399.746 ;
23;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 69 ; 625.076.010 ; 24 ; 30.644.746 ; 214 ; 534.975.889 ; 498 ; 511.839.027 ; 805 ; 1.702.535.671 ; 817 ; 9.627.600.023 ; 852 ; 10.152.272.383 ; 1.669 ; 19.779.872.406 ; 2.474 ; 21.482.408.078 ;
24;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 772 ; 3.580.926.526 ; 236 ; 249.240.508 ; 974 ; 2.909.737.434 ; 2.674 ; 1.851.117.521 ; 4.656 ; 8.591.021.989 ; 789 ; 3.369.165.408 ; 970 ; 8.128.226.873 ; 1.759 ; 11.497.392.282 ; 6.415 ; 20.088.414.271 ;
25;78.632.767;BANCO OURINVEST S.A.; 10.695 ; 1.158.414.334 ; 23.160 ; 1.599.114.005 ; 177.750 ; 2.364.455.792 ; 463.334 ; 3.513.300.588 ; 674.939 ; 8.635.284.719 ; 6.866 ; 4.682.217.990 ; 113.643 ; 3.130.091.887 ; 120.509 ; 7.812.309.877 ; 795.448 ; 16.447.594.597 ;
26;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;; 1 ; 72.779 ; 1.640 ; 4.913.655.359 ; 1.947 ; 4.883.131.968 ; 3.588 ; 9.796.860.106 ; 264 ; 3.491.478.398 ; 247 ; 2.882.518.649 ; 511 ; 6.373.997.046 ; 4.099 ; 16.170.857.152 ;
27;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 113 ; 628.039.297 ; 80 ; 201.261.919 ; 165 ; 2.837.969.897 ; 1.218 ; 1.584.302.279 ; 1.576 ; 5.251.573.392 ; 267 ; 4.049.537.899 ; 419 ; 6.420.849.777 ; 686 ; 10.470.387.675 ; 2.262 ; 15.721.961.068 ;
28;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 15 ; 31.347.083 ;;; 15 ; 31.347.083 ; 8 ; 7.569.423.750 ; 11 ; 8.071.000.000 ; 19 ; 15.640.423.750 ; 34 ; 15.671.770.833 ;
29;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 834 ; 40.236.531 ; 7.504 ; 431.390.705 ; 2.476 ; 233.375.418 ; 119.741 ; 266.368.879 ; 130.555 ; 971.371.533 ; 3.976 ; 7.503.448.014 ; 4.622 ; 7.074.271.410 ; 8.598 ; 14.577.719.424 ; 139.153 ; 15.549.090.957 ;
30;07.679.404;BANCO TOPÁZIO S.A.; 735 ; 255.474.032 ; 1.563 ; 48.261.343 ; 83.188 ; 1.017.314.010 ; 275.685 ; 5.191.622.347 ; 361.171 ; 6.512.671.732 ; 7.943 ; 6.236.618.709 ; 21.968 ; 2.264.685.864 ; 29.911 ; 8.501.304.573 ; 391.082 ; 15.013.976.306 ;
31;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 730 ; 1.122.019.552 ; 1.914 ; 595.649.734 ; 772 ; 746.273.676 ; 1.335 ; 1.222.135.470 ; 4.751 ; 3.686.078.432 ; 904 ; 4.785.800.672 ; 1.006 ; 4.933.887.945 ; 1.910 ; 9.719.688.618 ; 6.661 ; 13.405.767.049 ;
32;62.232.889;BANCO DAYCOVAL S.A.; 5.679 ; 1.136.414.655 ; 13.989 ; 1.502.556.076 ; 576.123 ; 2.071.866.681 ; 32.259 ; 2.001.776.361 ; 628.050 ; 6.712.613.774 ; 4.422 ; 3.292.337.078 ; 13.548 ; 2.903.955.601 ; 17.970 ; 6.196.292.679 ; 646.020 ; 12.908.906.453 ;
33;58.160.789;BANCO SAFRA S.A.; 3.111 ; 1.183.320.580 ; 9.171 ; 1.436.955.258 ; 9.965 ; 2.541.024.431 ; 19.296 ; 1.729.778.493 ; 41.543 ; 6.891.078.762 ; 2.650 ; 2.337.250.139 ; 2.662 ; 2.671.976.430 ; 5.312 ; 5.009.226.570 ; 46.855 ; 11.900.305.332 ;
34;68.900.810;BANCO RENDIMENTO S.A.; 459 ; 53.083.532 ; 1.932 ; 568.827.793 ; 1.857.032 ; 3.538.100.902 ; 26.445 ; 1.039.009.494 ; 1.885.868 ; 5.199.021.722 ; 13.427 ; 2.249.604.372 ; 80.865 ; 4.243.833.755 ; 94.292 ; 6.493.438.127 ; 1.980.160 ; 11.692.459.849 ;
35;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.345 ; 1.827.600.162 ; 7.009 ; 1.141.049.988 ; 3.266 ; 1.955.767.701 ; 4.785 ; 1.112.252.016 ; 16.405 ; 6.036.669.867 ; 620 ; 1.558.117.475 ; 728 ; 3.104.308.129 ; 1.348 ; 4.662.425.604 ; 17.753 ; 10.699.095.471 ;
36;58.616.418;BANCO FIBRA S.A.; 1.093 ; 1.441.513.936 ; 8.296 ; 1.400.643.262 ; 329 ; 377.036.044 ; 2.573 ; 297.828.681 ; 12.291 ; 3.517.021.923 ; 795 ; 2.613.370.528 ; 771 ; 2.648.627.856 ; 1.566 ; 5.261.998.384 ; 13.857 ; 8.779.020.307 ;
37;71.027.866;BANCO BS2 S.A.; 3.884 ; 1.339.777.667 ; 11.707 ; 747.474.064 ; 87.668 ; 1.588.718.264 ; 169.428 ; 1.269.703.982 ; 272.687 ; 4.945.673.978 ; 342 ; 677.339.921 ; 464 ; 1.576.168.751 ; 806 ; 2.253.508.672 ; 273.493 ; 7.199.182.649 ;
38;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 742 ; 1.059.245.989 ; 3.043 ; 575.963.728 ; 225 ; 934.363.017 ; 2.678 ; 1.263.315.114 ; 6.688 ; 3.832.887.847 ; 418 ; 1.339.048.605 ; 329 ; 1.670.658.826 ; 747 ; 3.009.707.432 ; 7.435 ; 6.842.595.279 ;
39;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;;;;; 583.356 ; 1.430.179.645 ; 3.162.236 ; 1.969.299.897 ; 3.745.592 ; 3.399.479.543 ; 11.978 ; 1.813.455.032 ; 11.886 ; 1.274.342.274 ; 23.864 ; 3.087.797.306 ; 3.769.456 ; 6.487.276.849 ;
40;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 39 ; 426.479.934 ; 53 ; 17.118.685 ; 18 ; 57.354.394 ; 3.499 ; 1.976.259.140 ; 3.609 ; 2.477.212.153 ; 213 ; 2.382.731.415 ; 63 ; 850.649.371 ; 276 ; 3.233.380.786 ; 3.885 ; 5.710.592.939 ;
41;10.690.848;BANCO DA CHINA BRASIL S.A.; 211 ; 1.201.950.186 ; 186 ; 70.593.335 ; 248 ; 980.111.647 ; 815 ; 242.765.965 ; 1.460 ; 2.495.421.133 ; 395 ; 522.788.366 ; 566 ; 2.391.360.509 ; 961 ; 2.914.148.875 ; 2.421 ; 5.409.570.008 ;
42;00.997.185;BANCO B3 S.A.;;;;; 1.783 ; 1.672.818.371 ; 1.640 ; 1.909.272.001 ; 3.423 ; 3.582.090.372 ; 377 ; 582.494.344 ; 390 ; 345.915.288 ; 767 ; 928.409.632 ; 4.190 ; 4.510.500.004 ;
43;15.114.366;BANCO BOCOM BBM S.A.; 129 ; 169.732.617 ; 830 ; 148.200.990 ; 376 ; 791.932.257 ; 2.233 ; 650.279.294 ; 3.568 ; 1.760.145.158 ; 134 ; 974.766.606 ; 191 ; 1.475.977.852 ; 325 ; 2.450.744.458 ; 3.893 ; 4.210.889.617 ;
44;33.923.798;BANCO MASTER S/A; 1.018 ; 535.373.484 ; 2.278 ; 124.345.482 ; 140.809 ; 720.182.277 ; 353.903 ; 923.052.092 ; 498.008 ; 2.302.953.335 ; 498 ; 865.859.333 ; 462 ; 1.005.733.390 ; 960 ; 1.871.592.723 ; 498.968 ; 4.174.546.058 ;
45;13.059.145;BEXS BANCO DE CÂMBIO S/A; 419 ; 731.900.139 ; 1.390 ; 82.031.521 ; 112.758 ; 346.793.833 ; 886.758 ; 856.003.465 ; 1.001.325 ; 2.016.728.958 ; 2.685 ; 765.273.197 ; 457 ; 900.149.361 ; 3.142 ; 1.665.422.558 ; 1.004.467 ; 3.682.151.516 ;
46;00.360.305;CAIXA ECONOMICA FEDERAL; 1.170 ; 426.721.193 ; 790 ; 54.165.989 ; 75.910 ; 503.110.459 ; 8.855 ; 616.446.024 ; 86.725 ; 1.600.443.664 ; 1.810 ; 668.116.321 ; 1.987 ; 963.690.603 ; 3.797 ; 1.631.806.924 ; 90.522 ; 3.232.250.588 ;
47;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 6.450 ; 605.348.952 ; 4.531 ; 313.769.983 ; 3.756 ; 193.210.392 ; 5.468 ; 680.557.646 ; 20.205 ; 1.792.886.972 ; 183 ; 750.043.789 ; 378 ; 552.066.473 ; 561 ; 1.302.110.262 ; 20.766 ; 3.094.997.235 ;
48;03.609.817;BANCO CARGILL S.A.; 222 ; 822.824.034 ; 1 ; 49.271 ; 108 ; 232.946.158 ; 487 ; 198.395.669 ; 818 ; 1.254.215.132 ; 14 ; 405.000.000 ; 39 ; 1.212.500.000 ; 53 ; 1.617.500.000 ; 871 ; 2.871.715.132 ;
49;07.656.500;BANCO KDB DO BRASIL S.A.; 2 ; 20.000.000 ; 65 ; 17.479.294 ; 879 ; 358.529.875 ; 3.289 ; 1.039.179.997 ; 4.235 ; 1.435.189.166 ; 684 ; 971.691.966 ; 113 ; 283.311.301 ; 797 ; 1.255.003.267 ; 5.032 ; 2.690.192.433 ;
50;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 169 ; 15.093.992 ; 1.753 ; 170.924.413 ; 2.264 ; 477.312.549 ; 7.811 ; 819.499.464 ; 11.997 ; 1.482.830.417 ; 1.542 ; 801.580.149 ; 640 ; 303.583.928 ; 2.182 ; 1.105.164.076 ; 14.179 ; 2.587.994.494 ;
51;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 519 ; 78.423.955 ; 534 ; 20.896.254 ; 39.514 ; 1.127.069.138 ; 2.080 ; 92.127.388 ; 42.647 ; 1.318.516.735 ; 614 ; 69.395.456 ; 1.692 ; 1.161.839.346 ; 2.306 ; 1.231.234.802 ; 44.953 ; 2.549.751.537 ;
52;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 2.033 ; 69.448.593 ; 16.695 ; 379.736.854 ; 19.191 ; 357.830.455 ; 39.282 ; 674.512.052 ; 77.201 ; 1.481.527.954 ; 4.660 ; 800.052.134 ; 1.028 ; 173.038.983 ; 5.688 ; 973.091.117 ; 82.889 ; 2.454.619.071 ;
53;61.024.352;BANCO VOITER S.A.; 532 ; 251.540.307 ; 2.036 ; 285.896.575 ; 1.380 ; 208.699.106 ; 8.178 ; 738.406.043 ; 12.126 ; 1.484.542.031 ; 540 ; 707.619.953 ; 449 ; 127.696.865 ; 989 ; 835.316.817 ; 13.115 ; 2.319.858.848 ;
54;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.812 ; 46.932.218 ; 8.059 ; 284.294.143 ; 43.948 ; 277.922.245 ; 32.440 ; 566.976.336 ; 86.259 ; 1.176.124.942 ; 20.546 ; 720.875.141 ; 1.250 ; 194.472.807 ; 21.796 ; 915.347.948 ; 108.055 ; 2.091.472.890 ;
55;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 8.724 ; 443.608.831 ; 8.808 ; 443.362.013 ; 7.018 ; 361.880.855 ; 3.845 ; 217.611.633 ; 28.395 ; 1.466.463.332 ; 138 ; 230.029.303 ; 77 ; 356.169.465 ; 215 ; 586.198.768 ; 28.610 ; 2.052.662.100 ;
56;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 50 ; 201.314.013 ; 205 ; 42.374.573 ; 303 ; 689.801.436 ; 443 ; 344.218.976 ; 1.001 ; 1.277.708.998 ; 92 ; 60.644.320 ; 95 ; 513.597.183 ; 187 ; 574.241.503 ; 1.188 ; 1.851.950.501 ;
57;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 243 ; 269.485.512 ; 193 ; 106.210.785 ; 114 ; 192.098.335 ; 775 ; 73.114.177 ; 1.325 ; 640.908.808 ; 118 ; 303.066.232 ; 163 ; 607.532.372 ; 281 ; 910.598.604 ; 1.606 ; 1.551.507.412 ;
58;61.186.680;BANCO BMG S.A.; 33 ; 39.897.518 ; 10 ; 10.968.716 ; 205 ; 47.255.615 ; 428 ; 45.903.972 ; 676 ; 144.025.820 ; 40 ; 672.013.450 ; 43 ; 622.916.631 ; 83 ; 1.294.930.081 ; 759 ; 1.438.955.901 ;
