Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em NOVEMBRO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 5.648 ; 3.297.019.753 ; 15.644 ; 3.570.860.167 ; 22.807 ; 8.105.641.159 ; 35.701 ; 6.690.071.482 ; 79.800 ; 21.663.592.561 ; 794 ; 14.513.648.587 ; 852 ; 15.474.362.465 ; 1.646 ; 29.988.011.052 ; 81.446 ; 51.651.603.613 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 9.408 ; 3.592.978.731 ; 28.551 ; 3.966.677.304 ; 36.575 ; 4.214.389.926 ; 39.934 ; 4.815.462.318 ; 114.468 ; 16.589.508.280 ; 643 ; 8.622.653.172 ; 600 ; 6.487.506.357 ; 1.243 ; 15.110.159.529 ; 115.711 ; 31.699.667.808 ;
3;33.479.023;BANCO CITIBANK S.A.; 1.437 ; 1.647.114.200 ; 8.360 ; 2.095.270.020 ; 8.264 ; 7.947.792.248 ; 10.286 ; 7.789.307.400 ; 28.347 ; 19.479.483.868 ; 330 ; 4.855.859.156 ; 356 ; 4.686.643.170 ; 686 ; 9.542.502.327 ; 29.033 ; 29.021.986.195 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 307 ; 511.245.915 ; 2.778 ; 571.859.962 ; 1.733 ; 6.348.189.983 ; 2.190 ; 4.780.435.864 ; 7.008 ; 12.211.731.725 ; 473 ; 4.360.940.857 ; 537 ; 6.101.660.444 ; 1.010 ; 10.462.601.301 ; 8.018 ; 22.674.333.026 ;
5;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 112 ; 199.940.789 ; 609 ; 420.596.865 ; 142 ; 451.141.685 ; 306 ; 398.370.963 ; 1.169 ; 1.470.050.303 ; 395 ; 7.410.383.447 ; 427 ; 7.263.897.282 ; 822 ; 14.674.280.729 ; 1.991 ; 16.144.331.032 ;
6;00.000.000;BANCO DO BRASIL S.A.; 9.377 ; 3.438.058.757 ; 19.049 ; 3.103.079.099 ; 22.211 ; 1.739.225.516 ; 27.931 ; 2.868.843.923 ; 78.568 ; 11.149.207.295 ; 400 ; 2.540.536.992 ; 373 ; 2.202.844.516 ; 773 ; 4.743.381.508 ; 79.341 ; 15.892.588.803 ;
7;30.306.294;BANCO BTG PACTUAL S.A.; 328 ; 719.052.550 ; 1.181 ; 342.915.644 ; 2.327 ; 1.159.120.176 ; 3.165 ; 876.079.747 ; 7.001 ; 3.097.168.117 ; 258 ; 5.658.636.854 ; 437 ; 6.544.143.992 ; 695 ; 12.202.780.846 ; 7.696 ; 15.299.948.963 ;
8;60.746.948;BANCO BRADESCO S.A.; 4.804 ; 2.379.538.438 ; 10.099 ; 1.508.986.912 ; 23.631 ; 1.271.255.882 ; 15.941 ; 1.966.568.838 ; 54.475 ; 7.126.350.070 ; 407 ; 2.601.636.396 ; 385 ; 1.824.685.947 ; 792 ; 4.426.322.343 ; 55.267 ; 11.552.672.413 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 140 ; 734.078.220 ; 713 ; 414.891.747 ; 562 ; 2.500.318.774 ; 689 ; 2.986.085.107 ; 2.104 ; 6.635.373.847 ; 195 ; 1.491.272.280 ; 190 ; 1.099.651.282 ; 385 ; 2.590.923.562 ; 2.489 ; 9.226.297.409 ;
