Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Dez/2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 70.866 ; 27.810.432.466 ; 198.836 ; 32.039.091.574 ; 276.190 ; 64.762.445.643 ; 428.650 ; 71.400.187.169 ; 974.542 ; 196.012.156.852 ; 9.965 ; 115.940.835.315 ; 10.076 ; 112.828.319.010 ; 20.041 ; 228.769.154.325 ; 994.583 ; 424.781.311.177 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 110.306 ; 48.258.067.634 ; 330.154 ; 50.696.730.865 ; 416.360 ; 61.053.059.530 ; 465.217 ; 65.813.993.793 ; 1.322.037 ; 225.821.851.823 ; 6.481 ; 75.694.363.299 ; 6.414 ; 61.800.261.992 ; 12.895 ; 137.494.625.291 ; 1.334.932 ; 363.316.477.114 ;
3;33.479.023;BANCO CITIBANK S.A.; 17.432 ; 22.045.869.749 ; 97.305 ; 23.843.859.336 ; 99.974 ; 108.428.268.908 ; 127.221 ; 109.109.660.838 ; 341.932 ; 263.427.658.831 ; 4.094 ; 47.417.980.061 ; 4.283 ; 43.747.958.515 ; 8.377 ; 91.165.938.576 ; 350.309 ; 354.593.597.407 ;
4;33.172.537;BANCO J.P. MORGAN S.A.; 3.976 ; 9.383.659.960 ; 30.417 ; 10.523.176.380 ; 17.910 ; 64.657.626.240 ; 26.942 ; 70.650.347.864 ; 79.245 ; 155.214.810.445 ; 5.788 ; 70.128.057.844 ; 6.096 ; 62.311.518.820 ; 11.884 ; 132.439.576.664 ; 91.129 ; 287.654.387.109 ;
5;00.000.000;BANCO DO BRASIL S.A.; 110.382 ; 47.293.081.424 ; 201.823 ; 34.652.110.370 ; 423.904 ; 31.222.326.224 ; 316.475 ; 42.805.551.876 ; 1.052.584 ; 155.973.069.894 ; 4.381 ; 26.369.945.031 ; 4.213 ; 26.433.722.347 ; 8.594 ; 52.803.667.378 ; 1.061.178 ; 208.776.737.272 ;
6;60.746.948;BANCO BRADESCO S.A.; 59.824 ; 37.260.434.528 ; 123.777 ; 18.220.479.073 ; 306.279 ; 27.425.630.996 ; 221.188 ; 37.070.489.980 ; 711.068 ; 119.977.034.576 ; 4.918 ; 28.304.118.235 ; 5.082 ; 37.196.518.582 ; 10.000 ; 65.500.636.817 ; 721.068 ; 185.477.671.393 ;
7;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 1.385 ; 2.196.186.822 ; 7.407 ; 3.191.526.989 ; 1.799 ; 5.695.127.457 ; 4.259 ; 5.716.421.160 ; 14.850 ; 16.799.262.428 ; 4.491 ; 82.538.486.881 ; 4.834 ; 81.409.363.134 ; 9.325 ; 163.947.850.015 ; 24.175 ; 180.747.112.444 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 3.947 ; 12.110.148.929 ; 13.838 ; 5.313.177.288 ; 26.083 ; 16.863.824.210 ; 37.732 ; 13.716.278.644 ; 81.600 ; 48.003.429.071 ; 2.574 ; 47.849.317.384 ; 5.618 ; 61.506.486.063 ; 8.192 ; 109.355.803.447 ; 89.792 ; 157.359.232.518 ;
9;62.073.200;BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.; 2.059 ; 9.197.924.751 ; 8.873 ; 6.259.045.794 ; 6.418 ; 28.797.255.568 ; 8.697 ; 34.194.500.345 ; 26.047 ; 78.448.726.458 ; 2.298 ; 16.231.658.240 ; 1.500 ; 13.712.954.449 ; 3.798 ; 29.944.612.689 ; 29.845 ; 108.393.339.147 ;
10;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 2.529 ; 5.287.100.654 ; 16.160 ; 4.643.718.000 ; 19.703 ; 22.613.612.754 ; 27.627 ; 17.550.581.953 ; 66.019 ; 50.095.013.361 ; 10.544 ; 24.597.498.392 ; 10.711 ; 30.612.606.763 ; 21.255 ; 55.210.105.155 ; 87.274 ; 105.305.118.516 ;
