Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mar/2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;60.701.190;ITAÚ UNIBANCO S.A.; 14.850 ; 11.981.252.857 ; 38.523 ; 9.713.120.356 ; 143.818 ; 16.542.524.663 ; 208.725 ; 16.089.714.865 ; 405.916 ; 54.326.612.741 ; 1.890 ; 22.720.731.941 ; 2.086 ; 27.799.901.934 ; 3.976 ; 50.520.633.875 ; 409.892 ; 104.847.246.616 ;
2;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 8.690 ; 8.409.713.905 ; 19.571 ; 6.769.881.596 ; 78.029 ; 14.643.389.662 ; 136.090 ; 14.391.363.509 ; 242.380 ; 44.214.348.672 ; 2.622 ; 32.941.618.276 ; 2.466 ; 25.740.746.636 ; 5.088 ; 58.682.364.912 ; 247.468 ; 102.896.713.584 ;
3;33.172.537;BANCO J.P. MORGAN S.A.; 909 ; 3.446.227.724 ; 6.960 ; 1.757.713.024 ; 6.339 ; 16.380.560.990 ; 9.032 ; 17.042.171.340 ; 23.240 ; 38.626.673.078 ; 1.483 ; 20.885.991.391 ; 1.534 ; 19.636.456.571 ; 3.017 ; 40.522.447.963 ; 26.257 ; 79.149.121.041 ;
4;33.479.023;BANCO CITIBANK S.A.; 3.756 ; 5.282.183.695 ; 21.420 ; 5.403.822.931 ; 24.102 ; 22.493.317.493 ; 31.297 ; 21.650.114.295 ; 80.575 ; 54.829.438.414 ; 674 ; 11.193.223.889 ; 780 ; 12.475.545.576 ; 1.454 ; 23.668.769.465 ; 82.029 ; 78.498.207.879 ;
5;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 306 ; 528.957.635 ; 1.428 ; 1.282.784.632 ; 400 ; 1.239.349.484 ; 1.161 ; 1.162.827.412 ; 3.295 ; 4.213.919.163 ; 1.347 ; 25.916.277.284 ; 1.422 ; 25.247.816.591 ; 2.769 ; 51.164.093.875 ; 6.064 ; 55.378.013.038 ;
6;30.306.294;BANCO BTG PACTUAL S.A.; 755 ; 2.197.622.926 ; 3.505 ; 1.600.301.382 ; 7.352 ; 5.349.743.572 ; 11.275 ; 3.550.687.638 ; 22.887 ; 12.698.355.518 ; 827 ; 19.633.903.029 ; 1.120 ; 19.325.225.289 ; 1.947 ; 38.959.128.318 ; 24.834 ; 51.657.483.835 ;
7;60.746.948;BANCO BRADESCO S.A.; 9.175 ; 8.460.892.417 ; 15.986 ; 3.576.961.176 ; 70.599 ; 6.905.174.585 ; 60.214 ; 7.142.667.032 ; 155.974 ; 26.085.695.211 ; 1.420 ; 6.447.261.858 ; 1.560 ; 10.905.921.849 ; 2.980 ; 17.353.183.706 ; 158.954 ; 43.438.878.917 ;
8;00.000.000;BANCO DO BRASIL S.A.; 24.781 ; 12.125.447.755 ; 49.868 ; 8.534.184.635 ; 113.072 ; 3.852.453.359 ; 165.494 ; 6.133.980.846 ; 353.215 ; 30.646.066.595 ; 1.172 ; 5.184.212.897 ; 1.157 ; 7.155.892.588 ; 2.329 ; 12.340.105.485 ; 355.544 ; 42.986.172.081 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 506 ; 1.716.364.256 ; 2.301 ; 871.816.384 ; 4.759 ; 4.154.429.975 ; 7.423 ; 4.199.757.427 ; 14.989 ; 10.942.368.042 ; 2.680 ; 8.462.662.581 ; 2.709 ; 9.049.409.980 ; 5.389 ; 17.512.072.561 ; 20.378 ; 28.454.440.603 ;
