Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MARÇO / 2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
1;90.400.888;BANCO SANTANDER (BRASIL) S.A.; 3.314 ; 4.563.242.505 ; 7.117 ; 2.378.846.900 ; 27.821 ; 6.015.191.098 ; 49.647 ; 6.737.703.407 ; 87.899 ; 19.694.983.910 ; 950 ; 12.364.510.446 ; 932 ; 11.341.917.637 ; 1.882 ; 23.706.428.083 ; 89.781 ; 43.401.411.993 ;
2;60.701.190;ITAÚ UNIBANCO S.A.; 5.649 ; 3.144.722.548 ; 14.467 ; 3.647.082.211 ; 43.848 ; 6.052.445.344 ; 70.094 ; 5.959.785.796 ; 134.058 ; 18.804.035.899 ; 783 ; 8.502.983.943 ; 816 ; 8.473.331.318 ; 1.599 ; 16.976.315.261 ; 135.657 ; 35.780.351.160 ;
3;33.172.537;BANCO J.P. MORGAN S.A.; 382 ; 2.411.158.062 ; 2.195 ; 535.082.576 ; 2.455 ; 5.292.727.733 ; 3.513 ; 8.696.757.609 ; 8.545 ; 16.935.725.979 ; 546 ; 7.355.801.467 ; 548 ; 6.811.564.371 ; 1.094 ; 14.167.365.838 ; 9.639 ; 31.103.091.817 ;
4;33.479.023;BANCO CITIBANK S.A.; 1.373 ; 2.192.183.140 ; 7.082 ; 1.837.587.755 ; 8.490 ; 8.042.813.826 ; 11.509 ; 7.954.618.927 ; 28.454 ; 20.027.203.647 ; 207 ; 3.684.889.741 ; 248 ; 4.498.434.710 ; 455 ; 8.183.324.451 ; 28.909 ; 28.210.528.098 ;
5;61.533.584;BANCO SOCIETE GENERALE BRASIL S.A.; 93 ; 145.764.402 ; 498 ; 402.973.971 ; 152 ; 391.061.499 ; 383 ; 407.113.104 ; 1.126 ; 1.346.912.975 ; 526 ; 11.401.252.345 ; 535 ; 10.891.832.162 ; 1.061 ; 22.293.084.507 ; 2.187 ; 23.639.997.482 ;
6;60.746.948;BANCO BRADESCO S.A.; 3.442 ; 3.445.991.890 ; 5.883 ; 1.178.387.900 ; 23.412 ; 2.985.355.862 ; 21.080 ; 3.003.866.551 ; 53.817 ; 10.613.602.203 ; 545 ; 2.463.577.164 ; 632 ; 5.116.226.877 ; 1.177 ; 7.579.804.041 ; 54.994 ; 18.193.406.244 ;
7;00.000.000;BANCO DO BRASIL S.A.; 9.684 ; 5.736.352.325 ; 19.641 ; 3.455.033.011 ; 32.700 ; 1.177.705.045 ; 56.797 ; 2.387.479.396 ; 118.822 ; 12.756.569.778 ; 462 ; 2.122.977.824 ; 460 ; 3.018.920.343 ; 922 ; 5.141.898.167 ; 119.744 ; 17.898.467.945 ;
8;30.306.294;BANCO BTG PACTUAL S.A.; 301 ; 564.471.158 ; 1.411 ; 756.733.998 ; 2.743 ; 1.836.231.541 ; 4.002 ; 1.503.914.145 ; 8.457 ; 4.661.350.842 ; 308 ; 6.654.054.315 ; 412 ; 5.665.062.352 ; 720 ; 12.319.116.667 ; 9.177 ; 16.980.467.510 ;
9;01.522.368;BANCO BNP PARIBAS BRASIL S.A.; 200 ; 489.692.864 ; 844 ; 308.218.084 ; 1.706 ; 1.341.435.780 ; 2.571 ; 1.708.467.825 ; 5.321 ; 3.847.814.552 ; 951 ; 3.394.223.408 ; 938 ; 2.958.264.610 ; 1.889 ; 6.352.488.019 ; 7.210 ; 10.200.302.571 ;
